id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURXbHZyN3lRRRAB,,5 days ago,2022-03-28 17:00:20.687388,1.0,Mary Ann Balancin,0,0,https://www.google.com/maps/contrib/118197426067461069507/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURXNkk3c1JnEAE,"(Translated by Google) Driving back and forth, almost colliding with my car and other people. Give some driving lessons. The turn signal comes free. and use brakes …",2 weeks ago,2022-03-28 17:00:20.688576,1.0,Asuka Yamashita,0,0,https://www.google.com/maps/contrib/103389506816718134530/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNXci16YmlRRRAB,,2 weeks ago,2022-03-28 17:00:20.691293,2.0,ประสงค์ พันพินิจ,0,0,https://www.google.com/maps/contrib/118219036117103288739/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURtbTZfaXV3RRAB,Super terrible service!!. Driver is super rude and has no responsibility for the delivered item.,a month ago,2022-03-28 17:00:20.692217,1.0,Pasathorn Potivongsajarn,0,0,https://www.google.com/maps/contrib/115799234169125251413/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURtOWRDemJnEAE,,a month ago,2022-03-28 17:00:20.694396,5.0,เทพธิดารัตน์ พันธุ,0,0,https://www.google.com/maps/contrib/103134488855290672859/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURtbWNUREtBEAE,(Translated by Google) Request to call the Lalamove driver to register 8 5882 Come to train to have a good standard company as well. Drive to the burden of others on the road. …,a month ago,2022-03-28 17:00:20.695647,1.0,ศูนย์อํานวยการบรรเทาสาธารณภัย กรม ปภ.,0,0,https://www.google.com/maps/contrib/113859668597445225219/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURtbWVDZzh3RRAB,"(Translated by Google) Today, I came to send to the wrong house. There is a clip for Phong to contact the customer first. Even if I come in, it disturbs people in the house. I'm sick. …",a month ago,2022-03-28 17:00:20.696605,1.0,Busaya Tritanont,0,0,https://www.google.com/maps/contrib/111161481869620901890/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURteHFpZzVnRRAB,(Translated by Google) Employees wearing lalamove shirts drive to cut their faces. And get off the car to open the door to hurt because of the honking of the horn that ran into the right lens twice even to have to hurt Good that I locked …,2 months ago,2022-03-28 17:00:20.699147,1.0,Prapat Jiwarangsan,0,0,https://www.google.com/maps/contrib/108286161876789634790/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNtOGVXTXVBRRAB,Reasonably priced but ordering web platform is getting old and needs to be improved,2 months ago,2022-03-28 17:00:20.700541,4.0,Chris Smith,0,0,https://www.google.com/maps/contrib/111999057217549834776/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSURHd1l2ZDlBRRAB,Do NOT use this service. The movers refused to take the items to the second floor of the house as agreed. This is unacceptable! I will not use this service again and will keep telling everyone i know to not use this service.,3 months ago,2022-03-28 17:00:20.701737,1.0,Neung P,0,0,https://www.google.com/maps/contrib/114755115230888421259/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNHdjVHOG5BRRAB,,4 months ago,2022-03-28 17:00:20.702800,5.0,Apicha Yonghnoo,0,0,https://www.google.com/maps/contrib/108457265738668061685/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNHanN2Nm9RRRAB,"(Translated by Google) The system presses the work, the more the day it gets, the worse it gets. Press work, bounce off, press not at all. Terrible, hard press, hard work. The price is broken a lot. A lot of deductions are enough to endure, …",4 months ago,2022-03-28 17:00:20.703731,1.0,NTTTK “Sa TanG”,0,0,https://www.google.com/maps/contrib/111003466828030427499/reviews?hl=en-US
