rating,Late reviews,Sentiment score
5,item arrived damage high school delivery long date date okay,Negative
5,nobodys siii nobody broken long delivery delivery,Negative
5,long shipping items according expectations functioning broken,Negative
4,sorry photo video packaging box remote courier know contents almost contents come dents cardboard cardboard delivery little long come seller bigger,Negative
5,product good price cheapbut unfortunately delivery rather long maybe yesterday bought event seller also bothered buybut product good tried redmi cellphoneits shame theres bubble wrap gpp,Negative
5,socks products according picture delivery long pair broken shoes dent ordered sent item regretfully used promo message new baby fit disappointed shoe pictureshark pink broken,Negative
5,packaging long time might fitting weekend fast delivery funny models defects according expectations guaranteed regret buying,Negative
5,item arrived delivery quite long maybe overload everything complete like,Negative
5,packaging delivery long ago waiting days laamaaaa finally arrived package panicking come cant turn turns battery revoked,Negative
4,really limited stock delivery also said quite long enough taded gpp important thing okay didalem cardboard turns camera letter button protector disappointment colorful convex glass including kedalem cardboard,Negative
5,price standard according picture unfortunately shipping long time,Negative
5,already shopping subscription heresatisfied service good itemsonly made disappointed courierlong expeditionnext time message,Negative
5,long packaging may due emergency ppkm fast delivery day tothank seller,Negative
5,item good according price unfortunately product little longer courier error shop sellers response fast,Negative
2,price quality less sharpness less package already bad torn long shipping tajem peeler fruit skali,Negative
5,item arrived according picture turns item small shipping bit long item shortage anything,Negative
5,unfortunately shipping long time,Negative
5,dont know havent tried already trying weather still cloudy blom changes photocromik maybe later hot tricks delivery bit long still,Negative
5,chocolate message comes gray color error please check shipping,Negative
4,cheap price quality yet akhiiiirrnyaaaa awaited dtg toowait old daysmaybe krn ppkm shipping little choked upbut shop items mgg olshops effectyaach already long time,Negative
3,item appropriate unfortunately delivery quite long,Negative
5,according order disappointed shipment long time ok,Negative
4,material standard rather rough material still quality according price affordable prices dont like packaging neat right comes cardboard mleyot mleyot keeps village long whole still,Negative
5,material bad quality mid range cheap price delivery speed little longer okay item price thats quite cheap enough,Negative
4,material material dont know yet design simple usability blankets long time arrived item original still disappointed old deliverydont get disappointed itembtw thank,Negative
1,material material thin usability use disappointed shopour blue message comes whiteshipping slow,Negative
5,packaging shipping hr jktsafe packing thick bubbleewrapexp jg still long time june want try first childhopefully suitable child rainynot bad practical doesnt need make lg broththx seller,Negative
5,price bad composition chicken broth texture powder yet tried delivery quite long neat packing,Negative
5,good items quality according price shipping rather slow yaudah deh gpp models clothes wrong whats message come come,Negative
2,price standard rather disappointed item came cardboard state torn edge many scratched peeled white color pity rules given bubblewrap wrapped outside safer delivery long hands courier,Negative
5,price bad quality decent form decent thank order arrived long time,Negative
5,price bad according items obtained quality good banrang kokohhhhjjj form ba item good sturdy sesuai price unfortunately shipping long sampe times failed send,Negative
1,either courier buyer ngaco problem late broken cardboard regretted iron less,Negative
3,broken long delivery canceled order org also aq,Negative
4,fast packaging complete product really short looks bad also dirty robe floor delivery long enough,Negative
3,packaging shipping rather longthe numbers tangible according orderedquality according pricethe sandals soft stiff hard hard road box severely destroyed okay according price thank,Negative
5,likeaaaaa flops lightweight extttttttttttttt long shipping may overloaded yeah dont know likaa karan discount heheheh,Negative
4,bad price product comes order maybe delivery long time ago,Negative
5,realpict severe shipping long maybe shopee probleme,Negative
4,gemoyyyy woyyyyy sukakk bet aseliiii unfortunately delivery slow beudded tpiii feel feeling wkwk wkwk wkwk,Negative
4,quality hasnt tried taste blm try price really cheap price really nurah buy flash sale packaging delivery long huhu problem flash sale maybe buy,Negative
5,complete items long delivery packing use plastic items want macaroni packaging box even pouch disappointment yaudahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,Negative
5,bad quality according price cheap price shipping bit slow ok,Negative
5,sorry photos videos sweetenersthe item receive wellbut unfortunately long shippingfellow surabaya days arrived,Negative
5,havent tried pretty long delivery trying scrub matches order,Negative
4,competitive price material bad quality decent bad initially little worried seller follows flash sale slow shipping,Negative
5,price standard material bad quality decent standard packing shipping long ingredients quite thick thank seller,Negative
5,mantapppp bgttttt order championaaaaaaaaaaaaaaaaaaaaaaaaaaa anabul suitable bgt seller delivery quickly wrap doesnt use long time package doesnt less definite subscription thnks u seller,Negative
5,safe packaging fast delivery damage defects orderexpired still longi often shipped never disappoint price also cheaper stores even cheaper petshop,Negative
4,clothes ingredients teball unfortunately shipping slow,Negative
4,comfort try effectiveness shipping bit long absorption mask sent according orderold courier also made irritated,Negative
4,mask okayjust sorry shipment bit slow,Negative
3,material thin quality decent affordable prices items according full order lack delivery packaging really slow chatt lom sent x,Negative
5,material thin quality according price price cheap beud already come delivery old agathin material really layers masknot bad using around house near house long distance meet many people want use,Negative
2,packaging long days possible asked jwb patiently kaka udh courier status packaged packed sent send told patient already patient gasabar might cancel,Negative
3,material bad thin thick quality still okay price still accordingly bit long shipping expedition,Negative
5,safe packingan sihhh rest also okee bangettits shame longer still packed,Negative
2,expensive price material ugly quality thin packaging delivery long,Negative
1,material thin quality ugly expensive price get easily shopping hereanother asked another sentand old deliveryat chat slow responselast shopping ya pok,Negative
5,material good quality mantap cheap price ive sending little longer ive lost stiring get upset,Negative
1,material thin quality ugly expensive price get easily shopping hereanother asked another sentand old deliveryat chat slow responselast shopping bg,Negative
1,material thin quality ugly expensive price get easily shopping hereanother asked another sentand old deliveryat chat slow responselast shopping,Negative
4,material bad quality decent affordable prices bad adding stock replace count wasteful use mask delivery long enough repair shipment tq,Negative
5,material little thin good quality cheap price packaging delivery old expedition send always long time fail continue huhu pesen long time arrived material bit thin,Negative
3,material bad quality standard cheap price bad price delivery long asked new expedition dateng,Negative
5,item wrong lacking delivery quite long,Negative
4,product good want review expeditiondear jnt since cp sold partners performance jnt delivery decreasing case keeper warehouse courier part time hadeeeh resentful expedition long problem first,Negative
4,bad cheap price long time ago even though bought,Negative
4,order suitable shipment store long h many hours auto cancel shopeenya long send,Negative
4,according order disappointed shipping long time days packagingso weektrims,Negative
5,price okay goods shipping safely feared fear broken long turn alhamdulillah alhamdulillah,Negative
5,material bad quality decent price bad matap prefers color quality aj kyak mask biased good shipping little long,Negative
5,price bad material unopened good quality alhamdulillah arrived long time ago,Negative
3,bigss connection leave betdelivery late one day estimated date comes,Negative
5,mantabtest unfortunately delivery little longer,Negative
5,steady unfortunately delivery rather slow,Negative
3,absorption try effectiveness try comfort try disadvantages packaging turned small fast delivery quality still trial stage matches message later,Negative
4,effectiveness rich face mask general absorption bad comfort enk shipping bit long po said buying face mask got frabies bought facial masks got frabies,Negative
5,absorption dont know comfort good effectiveness know long delivery affordable,Negative
4,package arrived given gift spoon mask also wkwkjust picture mianhe aga disappointed delivery slowif accelerated,Negative
3,quality decent form broken thing cheap price color good part broken delivery long,Negative
5,price bad quality thick form unique packaging quite long time delivery fast,Negative
5,cheap price alhamdulillah waiting long time agobut complete item wrong,Negative
3,hard enter hard yaampunnshopee packaging long newfortunately shipping using j fast cmn day,Negative
4,sorry sis evaluation problem getting delivery getting longerthe message new date sent know writing po daysbut description days rightin meantime h,Negative
5,subscription pesen monday tuesday sentlong time messy courier,Negative
5,good according expectations next larger orderonly shipping long plus po process,Negative
5,yh lumyan bro bro photo landscape mademust cut jdiin portrait gttp gpp baek give stars even though delivery isnt long agooverall bags,Negative
4,packaging long week delivery soon long already lot photos failed send right less huuu,Negative
3,helmet goodbut disappointed shop delivery sent long time sent doesnt matter anymoreif one wrote wrong color doesnt dad plottedthis two two two colors,Negative
1,dus termos ccd items thin foam lbh delivery long estimated time dangerous helmet fast disappointing dont know ashamed sell goods endanger buyer,Negative
5,long shipping helmet symmetrical aka dent mleyot whether delirious shop bad price,Negative
5,okay know wkwkbtw ya cheap helmet bgtbut rather disappointed long time legara continued shipping,Negative
5,product according description long shipping reasonable outside city keeps flash sale jgcuma slang torn,Negative
1,disappointing slow delivery destroyed packing broken messbut natural cheap prices toothanks,Negative
5,package cheap realpict delivery fast little confused tutor youtube size opened rubber bolt gpp later tired,Negative
5,fairly long delivery doesnt matter product good order,Negative
5,basically steady items accordingly disappointed long time courier,Negative
4,color cinamon suitablewhether wrong send like rada pink doesnt like itothers okay item hasnt arrived yet later arrive im value delivery fast,Negative
5,alhamdulillah also long wait obstacle delivery,Negative
4,absorption ok thickness medium tenderness soft cheap prices fast packaging unfortunate shipping long using standard expedition another expeditionwhere plastic torn wipe broken,Negative
5,thickness tips tenderness rugged absorption bad tissue arrived cheap price gaa delivery long,Negative
5,effectiveness bad absorption yet tried comfort yet tried quite long time even though used fast courier also long week arrived home even though usually three days home tetep debes served many people,Negative
5,absorption try convenience yet tried effectiveness yet tried alhamdulillah package delivery quite long doesnt come completely safely,Negative
5,effectiveness ordinary absorption doesnt absorb comfort mayan dry long time minutes really able peel sticky good fragrance difficult effectbtw long delivery almost week,Negative
