,rating,Late reviews,Sentiment score
116,5.0,good shippingproducts accurate complete inexpensive variety items choose fromthe product actually used problem order repeated second timebut stick transportation problem kerryslowly slow causing wait many days,Negative
535,5.0,sneak transport little slowmaybe shoppiece understand im okis loose falls often entered,Negative
656,1.0,price quality relatedbecause used starting put wheel difficult waste time pim still cantif price strong strongbut assembly process difficult lot timeyounger wheels splashes every time,Negative
690,5.0,fast delivery wait long time complete product damage bigger overall price okay,Negative
762,4.0,round second round ordered everything cannot found first round round prepares little longerthe floor looks tilted first round distorted first round rubbing,Negative
896,5.0,send quickly slowly transportcall postpone delivery dategood product,Negative
1095,5.0,delivery ok slowreceived product completely damagedthe assembly easycan without toolsthe product strong put lot,Negative
1948,4.0,products likematch desiredproducts put boxdid wrap bubble product damagedshow transport carefuldidnt take anything overotherwise would definitely broken delivery slow order received,Negative
2057,5.0,received nothing damage ordering plastic shelf bubble wrap another layer insert box alone afraid damaged transportation box noticed first layer tilted picture okay bought cheap pricethe company slow,Negative
2775,5.0,normal products damaged waiting long timegood quality products,Negative
3262,3.0,get productthe shop slowfrom beginning saturday sent monday insteadbut staff answered question wellgood wrap broken,Negative
3431,5.0,fast fast product gang price impressed ground floor wrong thing bit difficult normally problem product boxthere shockbut mind long product damagedfit temple,Negative
3950,4.0,good product right pricethe service service broken star slow delivery order day delivery shopreceived day,Negative
4757,5.0,transportation quite fast wait wait long time wrapped tightlythere cloth mask toookay productscan adjust low level,Negative
4797,4.0,quality products available suitable prices request broken stars slow deliverythe shipping company also sent slowlyin system delivered,Negative
4863,4.0,received product without problemsthe shop pack goodand important price cheapbut disadvantage transportation delivered relatively slow,Negative
4957,5.0,sorry press slow,Negative
5863,4.0,star broken product broken edge leaves sure production production thintransportation long,Negative
6016,5.0,product price baht per piece pack damaged delivery products slow product okay damaged,Negative
6219,5.0,wrapped diver product damaged wait long wrapped diver product damaged wait long wrapped diver product damaged wait long wrapped diver product damaged wait long wrapped diver product damaged wait long wrapped diver product damaged wait long,Negative
6703,5.0,received product completely orderedthe shipping longthe shop goodthere problem inquiry chat wait long timereply quickly,Negative
6880,5.0,cheap pricebut transport slowdid hurry use seriousness wait overallthere another order,Negative
7428,5.0,quality dense pack complete complete sizesthe transport bit slow serious doesnt hurry,Negative
7682,4.0,price price chance subsidize regret long time,Negative
7857,5.0,ok qualityspecified size orderedcovering wellvery slowbut reason comes transportation companyno problems,Negative
8127,5.0,shop goodthe product damaged damagedquality productssuitable pricereceived product exactly orderedfast delivery wait longer,Negative
8196,5.0,received productbut lacking air pipecoordinate line difficult answer slow overthe shop proposed full refund lose air conditionerbut waiting dayswhich okaygood stores staff followersthank shop got cheap air add btu,Negative
8198,5.0,order product one day received air conditioner installation time still cant find problemwait see long run encounter problems,Negative
8210,1.0,copper pipe cs respond pay money buy pipe aircraft anotheryou wait delivery firstand install service slow explained sign complete,Negative
8368,5.0,product suitable priceorder another model side sent say better ordered versionturn machine delay seconds temperature display brightthe shop delivery delayed slowly,Negative
8396,5.0,received product probleminstalled compressor cut faster notified problem company know summarize wasted board must wait spare parts change long time wait wait wait technician finish replaced new air conditioner without chargeadded,Negative
8401,5.0,received product long timebut installedgood product damaged complete equipmentthe stick another version shop informed item outthe sound cool cold inexpensive,Negative
8512,5.0,installed air conditioner price air expensive compared btu saidmechanic fee plus air conditionerstill tens thousands cold juicy allergic brands wait see long time,Negative
8615,1.0,box dancing products damaged slowly,Negative
8641,5.0,shop soonbut transport knowncall ask many times preliminary stick yet found cold open problems took order btu btu pay technician worth long quality,Negative
8757,5.0,wait product little longerthe shop told us enough send week solve problem upgrading model without chargeconsidered good responsibility cold air wooki must wait see long,Negative
8759,1.0,air solution waste time waste feeling bad slownormally buy electrical appliances come today end recommended anymore,Negative
8867,5.0,send slowly wait order shop changed much money doesnt pay like trust band,Negative
8931,5.0,received item got queue todayoverall satisfied thinking choice wrong shop transportation goodgood products durability maintenance must see long time never use brand,Negative
8982,5.0,ordered shop informed quiet problem look long,Negative
9044,4.0,send slowly plain plus air pipes waste purchases,Negative
9045,1.0,purchase device completelack air sauce krem must waste time waiting mechanichave pay yourselfdelivery slower several days label attachment communication shop quite slow,Negative
9071,2.0,product little slow big point plus copper pipemust pay conclusion didnt get much,Negative
9114,3.0,cheap broken two stars complete copper pipebut shop sent latersent later usedbecause already install air buy pipe itselfbecause beenif stuck technician lose trip booking mechanicaftersales service,Negative
9238,1.0,terrible delivered slowly completed,Negative
9388,3.0,good product deducts little slow delivery ordered date received dhl shipping star broken broken zip swipe check zip broken,Negative
9494,5.0,products correct exactly selecteddelivery takes long timeoverall satisfied productnot disappointed product received,Negative
9545,4.0,give broken one starthere deformation inch long stitching must sewn repair soft tight overall enough,Negative
9555,5.0,oh soft sitting sucked dont know long usedbut item straight coverit covers chair took soft blanket insteadhealed back plastic tattooed,Negative
9620,5.0,soft sitting long time knowing collapse soft sit long time,Negative
9696,5.0,product advertised cutethe delivery quite sensitive sitting comfortably used according ride styledo expect disappear back pain cushionthe long came backrest,Negative
9786,5.0,get product fast delivery good problem productthe seat soft sitting long time hurts butt wave smooththe product affordable baht,Negative
9861,5.0,product ok cover soft damage send slow product ok straight cover soft damage damaged delivered slow,Negative
9921,4.0,quality price accepted transportation uses dhl thinks changed long bangkok chonburi takes week full long confused go buy elsewhere first,Negative
10170,4.0,passing dhl quite slow understand situation nowgood softnessthe waves help massage back pain sitting front computer long timerubber band rare chairso use rope againthere slippery flow chairs,Negative
10847,4.0,star broken slow good product,Negative
10890,5.0,get fasttry sit soft hurt butt used long time,Negative
10922,4.0,received product cover onesided binding line make longerlonger shortlet customers cut chair overall except line,Negative
11111,2.0,deliveryknowing cutting heartthat sitting flat halffolded still use long flat soft,Negative
11313,5.0,transport sorting wrong parcel making slow,Negative
11624,5.0,press order pay day mina received day afternoonhow long waithavent tried,Negative
11701,4.0,shop wrapped shocking star broken whole product damaged may delayed slowlybut transportation sensitive,Negative
11751,5.0,received alcohol spray brandname smellthe shop fast customer shockedthe product received box put box shockproofwell product leaked fragrant inexpensive resistant smellcan collected long time impressive customer shop real disappointment,Negative
11869,5.0,fragrance goodbut time accidentally inside alcohol insolation feeling bitter maybe alcohol quite high shipped small bottles long time,Negative
11967,5.0,receivedcomplete orderwait long time get okay dont know reviewthe long pomp little difficult,Negative
12209,5.0,received product already complete correct exactly orderedthere problem wait long time delivery fast,Negative
12605,5.0,try good fragrance derived package see product damage damage fast overall like available long time,Negative
12650,5.0,delivery longthe product fully damaged done correctly ordered smell onion perfume style far thinking fragrant much ok,Negative
12652,3.0,received productrequest deduct deliverya little slow doesnt hurry okay product strange,Negative
12937,5.0,box drilled shop slownot wrapped bubble shockproofunderstand product price iswould like consider damage product customer pays buy,Negative
13189,4.0,good product send slowly broken slowly overall okra right price ordered many timesbefore purple smell fragrantthis round hasnt tried smellbut good,Negative
13314,4.0,would like deduct stars wrapped shocking sealing bottle mouth outsideprobably used longall,Negative
13320,3.0,wish stars order shop pressed receive orders delivery shockedlike hurry put boxif product damaged story long waste time everything disturbingpolite delivery,Negative
13375,5.0,fragrant transport delivered bit slowalmost pressed cancel,Negative
13581,4.0,product leaked order dec date december smell sweetbut still try spray receipt faded long,Negative
14588,5.0,preparation fast delivery wait longertransit long receivethe product torn damaged soft crab bed,Negative
14602,3.0,service shop ok product many bad stitchesbut rashes may goodquality available delivery slow good transportation including enough,Negative
14866,3.0,blame productsthe sewn line many frayed bad stitching points lot thread lot artificial goose filling tight loose delivered slowly sender usual product normalthe package according picture taken price includes pieces including delivery fee discount baht,Negative
14921,5.0,nong somboonsleeping bed tower back pain long timevery good morevery fast ordered yesterday afternoonsend evening yesterday today u,Negative
14961,5.0,fast transportation good packthe product waiting long time reducing purchase price shop disappointedprovide fast transportationgood packthe product waiting long time reducing purchase price shop disappointed,Negative
14990,3.0,received product alreadycheck product damage anythingproduct packmay bit damaged due transportationdelivery products slower specified timethe top thick reasonable,Negative
15215,4.0,delivery fastbut people order lot leave days thickness say less inches dont templesee picturelazy send claim long used buy flash sale maybe thick,Negative
15230,2.0,slowly waiting long time important expensive storesthe size expensiveoh miss lot press order regret quality quality soft soft sleep collapse must take layers,Negative
15356,4.0,must broken one stardelivery delayed rather leaving storedo understand many days topper looks goodtook bag inflated thick enough fabric slipperysuitable price,Negative
