rating,reviews,sentiment,country,company
4,hour incoming storage,Neutral,ID,JNE
3,delicious taste service little slow,Positive,ID,JNE
1,jne bad late ask forgiveness good delivered sleep time ...,Positive,ID,JNE
1,taiik slow expedition,Neutral,ID,JNE
5,service good friendly management taking money wu fast complicated additional information withdrawing money million subject additional fee stamp ...,Positive,ID,JNE
4,friendly service,Positive,ID,JNE
1,njir bad really slow point use jne ...,Negative,ID,JNE
3,bit surprised little disappointed shipping batam outside batam even though still indonesia tax really big ...,Negative,ID,JNE
1,worst jne bad service handle product bad good damaged ...,Negative,ID,JNE
5,send good,Positive,ID,JNE
1,worker professional clear package tracking site arrival say ...,Positive,ID,JNE
5,good delivery service company provides good onestop service support convenience consumer ...,Positive,ID,JNE
1,better use jne useless slow work contact picked complained told wait ...,Negative,ID,JNE
1,day still stuck batam there update anyway im tired using jne ...,Negative,ID,JNE
2,hard get touch,Negative,ID,JNE
1,send document incidentally include taxable good crazy long drop shipping jne counter day still sorting process jne tiban center edannnnn ...,Negative,ID,JNE
5,slow,Neutral,ID,JNE
2,,Neutral,ID,JNE
5,friendly structured service,Positive,ID,JNE
1,want ask true buying electronic good batam send java pay security deposit expedite custom problem bought cellphone ig already transferred money ...,Positive,ID,JNE
5,reasonable,Neutral,ID,JNE
4,helpfull business,Neutral,ID,JNE
5,jne tge best ever,Positive,ID,JNE
1,slow time,Neutral,ID,JNE
4,far ok,Positive,ID,JNE
1,package august movement professional ...,Neutral,ID,JNE
1,package week hasnt arrived say day ...,Neutral,ID,JNE
5,ok,Positive,ID,JNE
4,good luckammiinn,Positive,ID,JNE
1,shipping holded long time offer make package faster ...,Neutral,ID,JNE
5,always success,Positive,ID,JNE
1,wasnt package sent,Neutral,ID,JNE
3,item delivered day,Neutral,ID,JNE
1,bad long day since package moving ...,Negative,ID,JNE
4,,Neutral,ID,JNE
4,good service,Positive,ID,JNE
4,shipping good difficult sending clothes must new subject tax jne jtr apply per kg still calculated per kilo ...,Positive,ID,JNE
2,leader jne batam center branch respect ...,Positive,ID,JNE
1,package detained courier day delivered bad ...,Negative,ID,JNE
1,package received week yet shipment bogor behalf yulianti recipient behalf suartini address tiban block aa rt rw kel patam ...,Negative,ID,JNE
5,fast,Neutral,ID,JNE
1,rate marked accordance stated official website tax reason etc asked calculation tax answer round ...,Neutral,ID,JNE
