word,count,Sentiment,company,country
...,23,Neutral,JNE,ID
jne,16,Neutral,JNE,ID
slow,15,Neutral,JNE,ID
batam,13,Neutral,JNE,ID
long,12,Neutral,JNE,ID
delivery,12,Neutral,JNE,ID
bad,11,Negative,JNE,ID
package,8,Neutral,JNE,ID
service,8,Neutral,JNE,ID
time,8,Neutral,JNE,ID
use,6,Neutral,JNE,ID
good,6,Positive,JNE,ID
week,6,Neutral,JNE,ID
really,5,Neutral,JNE,ID
customer,5,Neutral,JNE,ID
dont,5,Neutral,JNE,ID
using,5,Neutral,JNE,ID
day,4,Neutral,JNE,ID
still,4,Neutral,JNE,ID
want,4,Positive,JNE,ID
first,4,Neutral,JNE,ID
work,3,Neutral,JNE,ID
send,3,Neutral,JNE,ID
crazy,3,Negative,JNE,ID
took,3,Neutral,JNE,ID
even,3,Neutral,JNE,ID
longer,3,Neutral,JNE,ID
one,3,Neutral,JNE,ID
shop,3,Neutral,JNE,ID
disappointed,3,Negative,JNE,ID
please,3,Positive,JNE,ID
shopee,3,Neutral,JNE,ID
item,3,Neutral,JNE,ID
overload,3,Negative,JNE,ID
reason,3,Neutral,JNE,ID
july,3,Neutral,JNE,ID
better,2,Positive,JNE,ID
jakarta,2,Neutral,JNE,ID
place,2,Neutral,JNE,ID
didnt,2,Neutral,JNE,ID
order,2,Neutral,JNE,ID
stuff,2,Neutral,JNE,ID
already,2,Neutral,JNE,ID
know,2,Neutral,JNE,ID
expedition,2,Neutral,JNE,ID
option,2,Neutral,JNE,ID
another,2,Neutral,JNE,ID
sent,2,Neutral,JNE,ID
people,2,Neutral,JNE,ID
many,2,Neutral,JNE,ID
complaining,2,Negative,JNE,ID
poor,2,Negative,JNE,ID
doesnt,2,Neutral,JNE,ID
answer,2,Neutral,JNE,ID
hasnt,2,Neutral,JNE,ID
also,2,Neutral,JNE,ID
online,2,Neutral,JNE,ID
late,2,Neutral,JNE,ID
dec,2,Neutral,JNE,ID
super,2,Positive,JNE,ID
delivering,2,Neutral,JNE,ID
na,2,Neutral,JNE,ID
worst,2,Negative,JNE,ID
njir,1,Neutral,JNE,ID
point,1,Neutral,JNE,ID
useless,1,Negative,JNE,ID
contact,1,Neutral,JNE,ID
picked,1,Neutral,JNE,ID
complained,1,Negative,JNE,ID
told,1,Neutral,JNE,ID
wait,1,Neutral,JNE,ID
document,1,Neutral,JNE,ID
incidentally,1,Neutral,JNE,ID
include,1,Neutral,JNE,ID
taxable,1,Neutral,JNE,ID
drop,1,Negative,JNE,ID
shipping,1,Neutral,JNE,ID
counter,1,Neutral,JNE,ID
sorting,1,Neutral,JNE,ID
process,1,Neutral,JNE,ID
tiban,1,Neutral,JNE,ID
center,1,Neutral,JNE,ID
edannnnn,1,Neutral,JNE,ID
since,1,Neutral,JNE,ID
moving,1,Neutral,JNE,ID
never,1,Neutral,JNE,ID
worked,1,Neutral,JNE,ID
slowly,1,Neutral,JNE,ID
period,1,Neutral,JNE,ID
delayed,1,Negative,JNE,ID
right,1,Neutral,JNE,ID
thing,1,Neutral,JNE,ID
consumer,1,Neutral,JNE,ID
satisfied,1,Positive,JNE,ID
get,1,Neutral,JNE,ID
loss,1,Negative,JNE,ID
anymore,1,Neutral,JNE,ID
close,1,Neutral,JNE,ID
wont,1,Neutral,JNE,ID
last,1,Neutral,JNE,ID
regular,1,Neutral,JNE,ID
pekanbaru,1,Neutral,JNE,ID
tracking,1,Neutral,JNE,ID
yet,1,Neutral,JNE,ID
come,1,Neutral,JNE,ID
huh,1,Neutral,JNE,ID
sorted,1,Neutral,JNE,ID
phone,1,Neutral,JNE,ID
rejected,1,Negative,JNE,ID
continued,1,Neutral,JNE,ID
professional,1,Neutral,JNE,ID
choice,1,Neutral,JNE,ID
go,1,Neutral,JNE,ID
detained,1,Negative,JNE,ID
follow,1,Neutral,JNE,ID
holding,1,Neutral,JNE,ID
pay,1,Negative,JNE,ID
attention,1,Neutral,JNE,ID
arrival,1,Neutral,JNE,ID
followup,1,Neutral,JNE,ID
exchanged,1,Neutral,JNE,ID
must,1,Neutral,JNE,ID
complain,1,Negative,JNE,ID
satisfying,1,Positive,JNE,ID
severe,1,Negative,JNE,ID
lose,1,Negative,JNE,ID
month,1,Neutral,JNE,ID
cancel,1,Negative,JNE,ID
coyyyy,1,Neutral,JNE,ID
make,1,Neutral,JNE,ID
anyone,1,Neutral,JNE,ID
cool,1,Positive,JNE,ID
regret,1,Negative,JNE,ID
suggest,1,Neutral,JNE,ID
seller,1,Neutral,JNE,ID
buyer,1,Neutral,JNE,ID
arrived,1,Neutral,JNE,ID
contacted,1,Neutral,JNE,ID
response,1,Neutral,JNE,ID
stop,1,Negative,JNE,ID
think,1,Neutral,JNE,ID
due,1,Neutral,JNE,ID
fact,1,Neutral,JNE,ID
purchased,1,Neutral,JNE,ID
including,1,Neutral,JNE,ID
tp,1,Neutral,JNE,ID
every,1,Neutral,JNE,ID
call,1,Neutral,JNE,ID
ever,1,Neutral,JNE,ID
often,1,Neutral,JNE,ID
delivered,1,Neutral,JNE,ID
afternoon,1,Neutral,JNE,ID
evening,1,Neutral,JNE,ID
office,1,Neutral,JNE,ID
closed,1,Neutral,JNE,ID
address,1,Neutral,JNE,ID
included,1,Neutral,JNE,ID
cellphone,1,Neutral,JNE,ID
moved,1,Neutral,JNE,ID
courier,1,Neutral,JNE,ID
given,1,Neutral,JNE,ID
flawed,1,Negative,JNE,ID
said,1,Neutral,JNE,ID
understand,1,Neutral,JNE,ID
condition,1,Neutral,JNE,ID
blablabla,1,Neutral,JNE,ID
whatever,1,Neutral,JNE,ID
job,1,Neutral,JNE,ID
mean,1,Neutral,JNE,ID
arrive,1,Neutral,JNE,ID
guy,1,Neutral,JNE,ID
longest,1,Neutral,JNE,ID
youre,1,Neutral,JNE,ID
quickly,1,Neutral,JNE,ID
losing,1,Negative,JNE,ID
shipment,1,Neutral,JNE,ID
abroad,1,Neutral,JNE,ID
fix,1,Neutral,JNE,ID
whats,1,Neutral,JNE,ID
fate,1,Neutral,JNE,ID
aware,1,Neutral,JNE,ID
wan,1,Neutral,JNE,ID
shopping,1,Neutral,JNE,ID
would,1,Neutral,JNE,ID
freak,1,Negative,JNE,ID
gon,1,Neutral,JNE,ID
tell,1,Neutral,JNE,ID
waiting,1,Neutral,JNE,ID
nonsense,1,Negative,JNE,ID
disappointing,1,Negative,JNE,ID
damaged,1,Negative,JNE,ID
hadeh,1,Neutral,JNE,ID
little,1,Neutral,JNE,ID
bit,1,Neutral,JNE,ID
respond,1,Neutral,JNE,ID
jnt,1,Neutral,JNE,ID
cant,1,Neutral,JNE,ID
responsible,1,Positive,JNE,ID
difficult,1,Negative,JNE,ID
operate,1,Neutral,JNE,ID
always,1,Neutral,JNE,ID
stuck,1,Negative,JNE,ID
made,1,Neutral,JNE,ID
worse,1,Negative,JNE,ID
overlod,1,Neutral,JNE,ID
accept,1,Positive,JNE,ID
end,1,Neutral,JNE,ID
accommodated,1,Neutral,JNE,ID
nothing,1,Neutral,JNE,ID
