word,count,Sentiment,company,country
...,50,Neutral,JNT,ID
long,32,Negative,JNT,ID
package,20,Neutral,JNT,ID
day,19,Neutral,JNT,ID
delivery,18,Neutral,JNT,ID
time,17,Neutral,JNT,ID
slow,15,Negative,JNT,ID
service,11,Neutral,JNT,ID
bad,11,Negative,JNT,ID
even,11,Neutral,JNT,ID
express,11,Neutral,JNT,ID
use,10,Neutral,JNT,ID
expedition,10,Neutral,JNT,ID
good,10,Positive,JNT,ID
really,10,Neutral,JNT,ID
jt,10,Positive,JNT,ID
courier,9,Neutral,JNT,ID
sent,8,Neutral,JNT,ID
still,8,Neutral,JNT,ID
arrived,8,Neutral,JNT,ID
disappointed,7,Negative,JNT,ID
item,6,Neutral,JNT,ID
arrive,6,Neutral,JNT,ID
though,6,Neutral,JNT,ID
take,6,Neutral,JNT,ID
shipping,6,Neutral,JNT,ID
dont,6,Neutral,JNT,ID
want,5,Positive,JNT,ID
using,5,Neutral,JNT,ID
jakarta,5,Neutral,JNT,ID
lose,5,Negative,JNT,ID
took,5,Neutral,JNT,ID
j,5,Neutral,JNT,ID
worst,4,Negative,JNT,ID
destination,4,Neutral,JNT,ID
fast,4,Positive,JNT,ID
c,4,Neutral,JNT,ID
already,4,Neutral,JNT,ID
give,4,Neutral,JNT,ID
hasnt,3,Neutral,JNT,ID
received,3,Neutral,JNT,ID
delayed,3,Negative,JNT,ID
wait,3,Negative,JNT,ID
often,3,Neutral,JNT,ID
late,3,Neutral,JNT,ID
turn,3,Neutral,JNT,ID
worse,3,Negative,JNT,ID
many,3,Neutral,JNT,ID
im,3,Neutral,JNT,ID
delivered,3,Neutral,JNT,ID
didnt,3,Neutral,JNT,ID
crazy,3,Negative,JNT,ID
sorting,3,Neutral,JNT,ID
bandung,3,Neutral,JNT,ID
usually,3,Neutral,JNT,ID
drop,3,Negative,JNT,ID
new,3,Neutral,JNT,ID
solution,3,Positive,JNT,ID
make,3,Neutral,JNT,ID
longest,3,Neutral,JNT,ID
dc,3,Neutral,JNT,ID
move,3,Neutral,JNT,ID
one,3,Neutral,JNT,ID
next,3,Neutral,JNT,ID
said,3,Neutral,JNT,ID
regular,3,Neutral,JNT,ID
need,3,Neutral,JNT,ID
jnt,3,Neutral,JNT,ID
seller,3,Neutral,JNT,ID
later,2,Neutral,JNT,ID
unprofessional,2,Negative,JNT,ID
customer,2,Neutral,JNT,ID
company,2,Neutral,JNT,ID
problem,2,Negative,JNT,ID
say,2,Neutral,JNT,ID
almost,2,Neutral,JNT,ID
month,2,Neutral,JNT,ID
know,2,Neutral,JNT,ID
irresponsible,2,Negative,JNT,ID
address,2,Neutral,JNT,ID
week,2,Neutral,JNT,ID
lost,2,Negative,JNT,ID
complained,2,Negative,JNT,ID
call,2,Neutral,JNT,ID
update,2,Neutral,JNT,ID
period,2,Neutral,JNT,ID
center,2,Neutral,JNT,ID
much,2,Neutral,JNT,ID
phone,2,Neutral,JNT,ID
receipt,2,Neutral,JNT,ID
always,2,Neutral,JNT,ID
shipment,2,Neutral,JNT,ID
whats,2,Neutral,JNT,ID
let,2,Neutral,JNT,ID
close,2,Neutral,JNT,ID
yet,2,Neutral,JNT,ID
application,2,Neutral,JNT,ID
