word,count,Sentiment,company,country
...,90,Neutral,Ninja Van,ID
long,62,Neutral,Ninja Van,ID
time,58,Neutral,Ninja Van,ID
package,48,Neutral,Ninja Van,ID
service,48,Neutral,Ninja Van,ID
ninja,48,Neutral,Ninja Van,ID
delivery,38,Neutral,Ninja Van,ID
slow,32,Neutral,Ninja Van,ID
bad,30,Negative,Ninja Van,ID
use,28,Neutral,Ninja Van,ID
courier,26,Neutral,Ninja Van,ID
expedition,22,Neutral,Ninja Van,ID
day,22,Neutral,Ninja Van,ID
disappointed,22,Negative,Ninja Van,ID
really,22,Neutral,Ninja Van,ID
using,22,Neutral,Ninja Van,ID
express,20,Neutral,Ninja Van,ID
want,20,Positive,Ninja Van,ID
even,20,Neutral,Ninja Van,ID
like,14,Positive,Ninja Van,ID
one,14,Neutral,Ninja Van,ID
took,14,Neutral,Ninja Van,ID
arrived,14,Neutral,Ninja Van,ID
sent,14,Neutral,Ninja Van,ID
late,12,Neutral,Ninja Van,ID
dont,12,Neutral,Ninja Van,ID
star,12,Neutral,Ninja Van,ID
pick,12,Neutral,Ninja Van,ID
many,12,Neutral,Ninja Van,ID
work,10,Neutral,Ninja Van,ID
send,10,Neutral,Ninja Van,ID
first,10,Neutral,Ninja Van,ID
arrive,10,Neutral,Ninja Van,ID
didnt,10,Neutral,Ninja Van,ID
though,10,Neutral,Ninja Van,ID
already,10,Neutral,Ninja Van,ID
disappointing,10,Negative,Ninja Van,ID
week,8,Neutral,Ninja Van,ID
another,8,Neutral,Ninja Van,ID
c,8,Neutral,Ninja Van,ID
status,8,Neutral,Ninja Van,ID
still,8,Neutral,Ninja Van,ID
always,8,Neutral,Ninja Van,ID
yet,8,Neutral,Ninja Van,ID
afternoon,8,Neutral,Ninja Van,ID
jakarta,8,Neutral,Ninja Van,ID
name,8,Neutral,Ninja Van,ID
order,8,Neutral,Ninja Van,ID
seller,8,Neutral,Ninja Van,ID
take,8,Neutral,Ninja Van,ID
good,8,Positive,Ninja Van,ID
crazy,8,Negative,Ninja Van,ID
bekasi,6,Neutral,Ninja Van,ID
online,6,Neutral,Ninja Van,ID
night,6,Neutral,Ninja Van,ID
failed,6,Negative,Ninja Van,ID
last,6,Neutral,Ninja Van,ID
pickup,6,Neutral,Ninja Van,ID
stuff,6,Neutral,Ninja Van,ID
instead,6,Neutral,Ninja Van,ID
xpress,6,Neutral,Ninja Van,ID
old,6,Neutral,Ninja Van,ID
city,6,Neutral,Ninja Van,ID
information,6,Neutral,Ninja Van,ID
shipping,6,Neutral,Ninja Van,ID
change,6,Neutral,Ninja Van,ID
picked,6,Neutral,Ninja Van,ID
new,6,Neutral,Ninja Van,ID
complaint,6,Negative,Ninja Van,ID
later,6,Neutral,Ninja Van,ID
shopping,6,Neutral,Ninja Van,ID
july,6,Neutral,Ninja Van,ID
check,6,Neutral,Ninja Van,ID
worst,6,Negative,Ninja Van,ID
ago,6,Neutral,Ninja Van,ID
kaga,6,Neutral,Ninja Van,ID
sorting,6,Neutral,Ninja Van,ID
close,6,Neutral,Ninja Van,ID
response,6,Neutral,Ninja Van,ID
oath,4,Neutral,Ninja Van,ID
give,4,Neutral,Ninja Van,ID
choosing,4,Neutral,Ninja Van,ID
problem,4,Negative,Ninja Van,ID
recommend,4,Positive,Ninja Van,ID
way,4,Neutral,Ninja Van,ID
gave,4,Neutral,Ninja Van,ID
call,4,Neutral,Ninja Van,ID
wrong,4,Negative,Ninja Van,ID
month,4,Neutral,Ninja Van,ID
im,4,Neutral,Ninja Van,ID
used,4,Neutral,Ninja Van,ID
longest,4,Neutral,Ninja Van,ID
badly,4,Negative,Ninja Van,ID
unclear,4,Negative,Ninja Van,ID
got,4,Neutral,Ninja Van,ID
email,4,Neutral,Ninja Van,ID
yesterday,4,Neutral,Ninja Van,ID
arrives,4,Neutral,Ninja Van,ID
come,4,Neutral,Ninja Van,ID
severe,4,Negative,Ninja Van,ID
address,4,Neutral,Ninja Van,ID
ask,4,Neutral,Ninja Van,ID
hasnt,4,Neutral,Ninja Van,ID
directly,4,Neutral,Ninja Van,ID
partner,4,Neutral,Ninja Van,ID
turned,4,Neutral,Ninja Van,ID
fast,4,Neutral,Ninja Van,ID
onion,4,Neutral,Ninja Van,ID
abroad,4,Neutral,Ninja Van,ID
doesnt,4,Neutral,Ninja Van,ID
dated,4,Neutral,Ninja Van,ID
pa,4,Neutral,Ninja Van,ID
ga,4,Neutral,Ninja Van,ID
complain,4,Negative,Ninja Van,ID
lazada,4,Neutral,Ninja Van,ID
lost,4,Negative,Ninja Van,ID
know,4,Neutral,Ninja Van,ID
regret,4,Negative,Ninja Van,ID
hub,4,Neutral,Ninja Van,ID
called,4,Neutral,Ninja Van,ID
pasuruan,4,Neutral,Ninja Van,ID
kapok,4,Neutral,Ninja Van,ID
customer,4,Neutral,Ninja Van,ID
recipient,4,Neutral,Ninja Van,ID
sale,4,Neutral,Ninja Van,ID
kg,4,Neutral,Ninja Van,ID
antered,2,Neutral,Ninja Van,ID
right,2,Neutral,Ninja Van,ID
anter,2,Neutral,Ninja Van,ID
never,2,Neutral,Ninja Van,ID
pake,2,Neutral,Ninja Van,ID
intention,2,Neutral,Ninja Van,ID
cikarang,2,Neutral,Ninja Van,ID
maybe,2,Neutral,Ninja Van,ID
store,2,Neutral,Ninja Van,ID
would,2,Neutral,Ninja Van,ID
choose,2,Neutral,Ninja Van,ID
slowness,2,Neutral,Ninja Van,ID
sting,2,Neutral,Ninja Van,ID
death,2,Negative,Ninja Van,ID
estimate,2,Neutral,Ninja Van,ID
normal,2,Neutral,Ninja Van,ID
ninjaid,2,Neutral,Ninja Van,ID
seemed,2,Neutral,Ninja Van,ID
cheat,2,Negative,Ninja Van,ID
deliver,2,Neutral,Ninja Van,ID
paid,2,Neutral,Ninja Van,ID
thousand,2,Neutral,Ninja Van,ID
said,2,Neutral,Ninja Van,ID
contact,2,Neutral,Ninja Van,ID
hadeeuh,2,Neutral,Ninja Van,ID
employee,2,Neutral,Ninja Van,ID
sure,2,Positive,Ninja Van,ID
twice,2,Neutral,Ninja Van,ID
lateness,2,Neutral,Ninja Van,ID
next,2,Neutral,Ninja Van,ID
priority,2,Neutral,Ninja Van,ID
tried,2,Neutral,Ninja Van,ID
waiting,2,Neutral,Ninja Van,ID
running,2,Neutral,Ninja Van,ID
reprimanded,2,Neutral,Ninja Van,ID
start,2,Neutral,Ninja Van,ID
playing,2,Positive,Ninja Van,ID
high,2,Neutral,Ninja Van,ID
school,2,Neutral,Ninja Van,ID
little,2,Neutral,Ninja Van,ID
wouldnt,2,Neutral,Ninja Van,ID
real,2,Neutral,Ninja Van,ID
nearly,2,Neutral,Ninja Van,ID
changed,2,Neutral,Ninja Van,ID
snail,2,Neutral,Ninja Van,ID
wow,2,Positive,Ninja Van,ID
stop,2,Negative,Ninja Van,ID
moving,2,Neutral,Ninja Van,ID
sad,2,Negative,Ninja Van,ID
bro,2,Neutral,Ninja Van,ID
supposed,2,Neutral,Ninja Van,ID
trade,2,Neutral,Ninja Van,ID
hadehhh,2,Neutral,Ninja Van,ID
gimna,2,Neutral,Ninja Van,ID
si,2,Neutral,Ninja Van,ID
ship,2,Neutral,Ninja Van,ID
march,2,Neutral,Ninja Van,ID
outside,2,Neutral,Ninja Van,ID
lack,2,Negative,Ninja Van,ID
solution,2,Positive,Ninja Van,ID
original,2,Positive,Ninja Van,ID
worse,2,Negative,Ninja Van,ID
move,2,Neutral,Ninja Van,ID
monday,2,Neutral,Ninja Van,ID
bandung,2,Neutral,Ninja Van,ID
friday,2,Neutral,Ninja Van,ID
telephoned,2,Neutral,Ninja Van,ID
asking,2,Neutral,Ninja Van,ID
umpteenth,2,Neutral,Ninja Van,ID
thursday,2,Neutral,Ninja Van,ID
tlp,2,Neutral,Ninja Van,ID
ad,2,Neutral,Ninja Van,ID
according,2,Neutral,Ninja Van,ID
schedule,2,Neutral,Ninja Van,ID
huftt,2,Neutral,Ninja Van,ID
fake,2,Negative,Ninja Van,ID
report,2,Neutral,Ninja Van,ID
operating,2,Neutral,Ninja Van,ID
hour,2,Neutral,Ninja Van,ID
pm,2,Neutral,Ninja Van,ID
expecting,2,Neutral,Ninja Van,ID
far,2,Neutral,Ninja Van,ID
expected,2,Neutral,Ninja Van,ID
fact,2,Neutral,Ninja Van,ID
year,2,Neutral,Ninja Van,ID
buy,2,Neutral,Ninja Van,ID
red,2,Neutral,Ninja Van,ID
eeeh,2,Neutral,Ninja Van,ID
strayed,2,Neutral,Ninja Van,ID
north,2,Neutral,Ninja Van,ID
etc,2,Neutral,Ninja Van,ID
finally,2,Neutral,Ninja Van,ID
think,2,Neutral,Ninja Van,ID
feel,2,Neutral,Ninja Van,ID
annoying,2,Negative,Ninja Van,ID
ordered,2,Neutral,Ninja Van,ID
estimation,2,Neutral,Ninja Van,ID
received,2,Neutral,Ninja Van,ID
cek,2,Neutral,Ninja Van,ID
latest,2,Neutral,Ninja Van,ID
