word,count,Sentiment,company,country
...,20,Neutral,Paxel,ID
time,11,Neutral,Paxel,ID
package,11,Neutral,Paxel,ID
long,9,Neutral,Paxel,ID
day,9,Neutral,Paxel,ID
service,7,Neutral,Paxel,ID
late,6,Neutral,Paxel,ID
bad,5,Negative,Paxel,ID
courier,5,Neutral,Paxel,ID
even,5,Neutral,Paxel,ID
though,5,Neutral,Paxel,ID
c,4,Neutral,Paxel,ID
really,4,Neutral,Paxel,ID
via,4,Neutral,Paxel,ID
response,4,Neutral,Paxel,ID
pickup,4,Neutral,Paxel,ID
paxel,4,Neutral,Paxel,ID
first,3,Neutral,Paxel,ID
hour,3,Neutral,Paxel,ID
wait,3,Neutral,Paxel,ID
delivery,3,Neutral,Paxel,ID
one,3,Neutral,Paxel,ID
disappointing,3,Negative,Paxel,ID
food,3,Neutral,Paxel,ID
said,3,Neutral,Paxel,ID
application,2,Neutral,Paxel,ID
answered,2,Neutral,Paxel,ID
longer,2,Neutral,Paxel,ID
contact,2,Neutral,Paxel,ID
contacted,2,Neutral,Paxel,ID
lost,2,Negative,Paxel,ID
wa,2,Neutral,Paxel,ID
address,2,Neutral,Paxel,ID
call,2,Neutral,Paxel,ID
say,2,Neutral,Paxel,ID
pick,2,Neutral,Paxel,ID
still,2,Neutral,Paxel,ID
delivered,2,Neutral,Paxel,ID
take,2,Neutral,Paxel,ID
can,2,Neutral,Paxel,ID
not,2,Neutral,Paxel,ID
schedule,2,Neutral,Paxel,ID
customer,2,Neutral,Paxel,ID
reached,2,Positive,Paxel,ID
slow,2,Neutral,Paxel,ID
expedition,2,Neutral,Paxel,ID
send,2,Neutral,Paxel,ID
professional,2,Neutral,Paxel,ID
arrive,2,Neutral,Paxel,ID
crazy,2,Negative,Paxel,ID
arrived,2,Neutral,Paxel,ID
took,2,Neutral,Paxel,ID
also,2,Neutral,Paxel,ID
reason,2,Neutral,Paxel,ID
situation,2,Neutral,Paxel,ID
shipping,2,Neutral,Paxel,ID
used,2,Neutral,Paxel,ID
answer,2,Neutral,Paxel,ID
keep,2,Neutral,Paxel,ID
using,2,Neutral,Paxel,ID
order,2,Neutral,Paxel,ID
item,2,Neutral,Paxel,ID
clearcs,1,Neutral,Paxel,ID
doesnt,1,Neutral,Paxel,ID
helpthe,1,Neutral,Paxel,ID
bot,1,Neutral,Paxel,ID
queuing,1,Neutral,Paxel,ID
before,1,Neutral,Paxel,ID
person,1,Neutral,Paxel,ID
want,1,Positive,Paxel,ID
try,1,Neutral,Paxel,ID
way,1,Neutral,Paxel,ID
use,1,Neutral,Paxel,ID
email,1,Neutral,Paxel,ID
paraaaahhhhhh,1,Neutral,Paxel,ID
morning,1,Neutral,Paxel,ID
set,1,Neutral,Paxel,ID
canceled,1,Neutral,Paxel,ID
unilaterally,1,Neutral,Paxel,ID
couldnt,1,Neutral,Paxel,ID
find,1,Neutral,Paxel,ID
didnt,1,Neutral,Paxel,ID
played,1,Positive,Paxel,ID
cancel,1,Negative,Paxel,ID
lazy,1,Negative,Paxel,ID
although,1,Neutral,Paxel,ID
proof,1,Neutral,Paxel,ID
black,1,Neutral,Paxel,ID
picture,1,Neutral,Paxel,ID
signature,1,Neutral,Paxel,ID
cross,1,Neutral,Paxel,ID
company,1,Neutral,Paxel,ID
big,1,Neutral,Paxel,ID
fraud,1,Negative,Paxel,ID
severe,1,Negative,Paxel,ID
super,1,Positive,Paxel,ID
duper,1,Neutral,Paxel,ID
professionalnot,1,Neutral,Paxel,ID
timeno,1,Neutral,Paxel,ID
nmr,1,Neutral,Paxel,ID
cmb,1,Neutral,Paxel,ID
wabut,1,Neutral,Paxel,ID
pkbanget,1,Neutral,Paxel,ID
recommended,1,Positive,Paxel,ID
contect,1,Neutral,Paxel,ID
center,1,Neutral,Paxel,ID
whatsapp,1,Neutral,Paxel,ID
entered,1,Neutral,Paxel,ID
blacklist,1,Neutral,Paxel,ID
anteraja,1,Neutral,Paxel,ID
jne,1,Neutral,Paxel,ID
give,1,Neutral,Paxel,ID
