word,count,Sentiment,company,country
...,58,Neutral,Shopee Express,ID
long,50,Negative,Shopee Express,ID
time,40,Neutral,Shopee Express,ID
really,26,Neutral,Shopee Express,ID
delivery,25,Neutral,Shopee Express,ID
package,25,Neutral,Shopee Express,ID
bad,20,Negative,Shopee Express,ID
shopee,19,Neutral,Shopee Express,ID
express,19,Neutral,Shopee Express,ID
bandung,17,Neutral,Shopee Express,ID
day,17,Neutral,Shopee Express,ID
courier,16,Neutral,Shopee Express,ID
service,15,Neutral,Shopee Express,ID
slow,15,Negative,Shopee Express,ID
even,14,Neutral,Shopee Express,ID
arrived,12,Neutral,Shopee Express,ID
item,12,Neutral,Shopee Express,ID
dont,11,Neutral,Shopee Express,ID
sent,10,Neutral,Shopee Express,ID
took,10,Neutral,Shopee Express,ID
using,9,Neutral,Shopee Express,ID
expedition,9,Neutral,Shopee Express,ID
though,9,Neutral,Shopee Express,ID
use,8,Neutral,Shopee Express,ID
disappointed,8,Negative,Shopee Express,ID
want,7,Positive,Shopee Express,ID
still,7,Neutral,Shopee Express,ID
late,6,Negative,Shopee Express,ID
take,6,Neutral,Shopee Express,ID
waiting,6,Neutral,Shopee Express,ID
im,5,Neutral,Shopee Express,ID
lazy,5,Negative,Shopee Express,ID
one,5,Neutral,Shopee Express,ID
address,5,Neutral,Shopee Express,ID
estimated,5,Neutral,Shopee Express,ID
doesnt,5,Neutral,Shopee Express,ID
didnt,5,Neutral,Shopee Express,ID
send,5,Neutral,Shopee Express,ID
tired,4,Negative,Shopee Express,ID
ive,4,Neutral,Shopee Express,ID
used,4,Neutral,Shopee Express,ID
know,4,Neutral,Shopee Express,ID
night,4,Neutral,Shopee Express,ID
good,4,Positive,Shopee Express,ID
right,4,Neutral,Shopee Express,ID
swear,4,Negative,Shopee Express,ID
already,4,Neutral,Shopee Express,ID
please,4,Positive,Shopee Express,ID
arrive,4,Neutral,Shopee Express,ID
hub,4,Neutral,Shopee Express,ID
crazy,4,Negative,Shopee Express,ID
sending,4,Neutral,Shopee Express,ID
stupid,3,Negative,Shopee Express,ID
review,3,Neutral,Shopee Express,ID
negative,3,Negative,Shopee Express,ID
regret,3,Negative,Shopee Express,ID
first,3,Neutral,Shopee Express,ID
last,3,Neutral,Shopee Express,ID
like,3,Positive,Shopee Express,ID
hour,3,Neutral,Shopee Express,ID
always,3,Neutral,Shopee Express,ID
stuck,3,Negative,Shopee Express,ID
taking,3,Neutral,Shopee Express,ID
come,3,Neutral,Shopee Express,ID
slowest,3,Negative,Shopee Express,ID
failed,3,Negative,Shopee Express,ID
name,3,Neutral,Shopee Express,ID
morning,3,Neutral,Shopee Express,ID
much,3,Neutral,Shopee Express,ID
ordered,2,Neutral,Shopee Express,ID
point,2,Neutral,Shopee Express,ID
yet,2,Neutral,Shopee Express,ID
week,2,Neutral,Shopee Express,ID
worse,2,Negative,Shopee Express,ID
shipping,2,Neutral,Shopee Express,ID
call,2,Neutral,Shopee Express,ID
also,2,Neutral,Shopee Express,ID
status,2,Neutral,Shopee Express,ID
home,2,Neutral,Shopee Express,ID
every,2,Neutral,Shopee Express,ID
problem,2,Negative,Shopee Express,ID
lost,2,Negative,Shopee Express,ID
disappointing,2,Negative,Shopee Express,ID
warehouse,2,Neutral,Shopee Express,ID
instead,2,Neutral,Shopee Express,ID
delivered,2,Neutral,Shopee Express,ID
strange,2,Negative,Shopee Express,ID
