word,count,Sentiment,company,country
the,6,Neutral,TNT,TH
to,4,Neutral,TNT,TH
very,3,Neutral,TNT,TH
be,3,Neutral,TNT,TH
item,3,Neutral,TNT,TH
…,2,Neutral,TNT,TH
for,2,Neutral,TNT,TH
delivered,2,Neutral,TNT,TH
will,2,Neutral,TNT,TH
use,2,Neutral,TNT,TH
Can,1,Neutral,TNT,TH
you,1,Neutral,TNT,TH
change,1,Neutral,TNT,TH
gate,1,Neutral,TNT,TH
again?,1,Neutral,TNT,TH
The,1,Neutral,TNT,TH
door,1,Neutral,TNT,TH
is,1,Neutral,TNT,TH
difficult,1,Negative,TNT,TH
open.,1,Neutral,TNT,TH
Prolonged,1,Neutral,TNT,TH
fixed.,1,Neutral,TNT,TH
Waiting,1,Neutral,TNT,TH
a,1,Neutral,TNT,TH
long,1,Neutral,TNT,TH
time.,1,Neutral,TNT,TH
Need,1,Neutral,TNT,TH
order,1,Neutral,TNT,TH
so,1,Neutral,TNT,TH
on,1,Neutral,TNT,TH
day,1,Neutral,TNT,TH
of,1,Neutral,TNT,TH
But,1,Neutral,TNT,TH
it,1,Neutral,TNT,TH
didn't,1,Neutral,TNT,TH
catch,1,Neutral,TNT,TH
up,1,Neutral,TNT,TH
"Later,",1,Neutral,TNT,TH
not,1,Neutral,TNT,TH
service,1,Neutral,TNT,TH
anymore.,1,Neutral,TNT,TH
Very,1,Neutral,TNT,TH
"disappointed,",1,Negative,TNT,TH
