,word,count,Sentiment,country
0,good,33170,Positive,ID
1,fast,24131,Neutral,ID
2,delivery,23684,Neutral,ID
3,quality,14279,Neutral,ID
4,price,13895,Neutral,ID
5,shipping,9469,Neutral,ID
6,also,8332,Neutral,ID
7,seller,8293,Neutral,ID
8,product,8009,Neutral,ID
9,thank,7745,Positive,ID
10,packaging,7145,Neutral,ID
11,cheap,6934,Neutral,ID
12,really,6921,Neutral,ID
13,according,6390,Neutral,ID
14,order,6383,Neutral,ID
15,courier,5540,Neutral,ID
16,items,4808,Neutral,ID
17,packing,4805,Neutral,ID
18,okay,4690,Positive,ID
19,safe,4559,Positive,ID
20,material,4401,Neutral,ID
21,ok,4365,Positive,ID
22,arrived,4275,Neutral,ID
23,thanks,3998,Positive,ID
24,goods,3815,Neutral,ID
25,prices,3791,Neutral,ID
26,item,3681,Neutral,ID
27,neat,3629,Positive,ID
28,pretty,3221,Positive,ID
29,friendly,3212,Positive,ID
30,affordable,3062,Neutral,ID
31,response,2846,Neutral,ID
32,package,2791,Neutral,ID
33,hopefully,2560,Positive,ID
34,like,2543,Positive,ID
35,alhamdulillah,2513,Neutral,ID
36,long,2400,Neutral,ID
37,original,2322,Positive,ID
38,color,2311,Neutral,ID
39,speed,2287,Neutral,ID
40,products,2252,Neutral,ID
41,absorption,2202,Neutral,ID
42,comfort,2189,Positive,ID
43,always,2048,Neutral,ID
44,buy,2045,Neutral,ID
45,time,2043,Neutral,ID
46,shopee,1968,Neutral,ID
47,already,1917,Neutral,ID
48,standard,1776,Neutral,ID
49,soft,1736,Neutral,ID
50,thickness,1703,Neutral,ID
51,shop,1674,Neutral,ID
52,received,1436,Neutral,ID
53,nice,1421,Positive,ID
54,size,1379,Neutral,ID
55,safely,1361,Positive,ID
56,comfortable,1343,Positive,ID
57,even,1340,Neutral,ID
58,sellers,1311,Neutral,ID
59,well,1288,Positive,ID
60,though,1283,Neutral,ID
61,dont,1268,Neutral,ID
62,next,1255,Neutral,ID
63,quite,1247,Neutral,ID
64,shopping,1221,Neutral,ID
65,old,1155,Neutral,ID
66,complete,1125,Neutral,ID
67,quickly,1111,Neutral,ID
68,tried,1048,Neutral,ID
69,doesnt,1042,Neutral,ID
70,ingredients,1024,Neutral,ID
71,use,1020,Neutral,ID
72,satisfied,1002,Positive,ID
73,recommended,1001,Positive,ID
74,design,999,Neutral,ID
75,accordingly,983,Neutral,ID
76,durable,972,Neutral,ID
77,effectiveness,972,Neutral,ID
78,come,970,Neutral,ID
79,bad,928,Negative,ID
80,mask,927,Neutral,ID
81,super,914,Positive,ID
82,thick,895,Neutral,ID
83,bgt,894,Neutral,ID
84,little,886,Neutral,ID
85,still,884,Neutral,ID
86,sorry,876,Negative,ID
87,subscription,875,Neutral,ID
88,steady,855,Neutral,ID
89,orders,853,Neutral,ID
90,likes,844,Positive,ID
91,easy,809,Positive,ID
92,funny,806,Positive,ID
93,sent,794,Neutral,ID
94,suitable,782,Neutral,ID
95,form,778,Neutral,ID
96,tenderness,759,Positive,ID
97,day,749,Neutral,ID
98,cool,742,Positive,ID
99,yet,733,Neutral,ID
100,yes,730,Positive,ID
101,rather,722,Neutral,ID
102,picture,722,Neutral,ID
103,want,721,Positive,ID
104,one,718,Neutral,ID
105,get,706,Neutral,ID
106,success,705,Positive,ID
107,best,703,Positive,ID
108,days,696,Neutral,ID
109,excellent,696,Positive,ID
110,try,683,Neutral,ID
111,less,677,Neutral,ID
112,mattress,654,Neutral,ID
113,resilience,651,Neutral,ID
114,thin,650,Neutral,ID
115,fragrant,637,Neutral,ID
116,bit,629,Neutral,ID
117,free,618,Positive,ID
118,used,601,Neutral,ID
119,bought,601,Neutral,ID
120,bubble,600,Neutral,ID
121,store,593,Neutral,ID
122,lot,591,Neutral,ID
123,wangi,587,Neutral,ID
124,first,572,Neutral,ID
125,brother,571,Neutral,ID
126,wrap,570,Neutral,ID
127,texture,563,Neutral,ID
128,know,559,Neutral,ID
129,photo,554,Neutral,ID
130,sis,552,Neutral,ID
131,real,548,Neutral,ID
132,right,544,Neutral,ID
133,usability,530,Neutral,ID
134,god,524,Positive,ID
135,delicious,523,Positive,ID
136,main,521,Neutral,ID
137,jg,513,Neutral,ID
138,description,512,Neutral,ID
139,process,511,Neutral,ID
140,using,509,Neutral,ID
141,disappointed,502,Negative,ID
142,worth,502,Positive,ID
143,much,491,Neutral,ID
144,subscribed,484,Neutral,ID
145,taste,484,Neutral,ID
146,ordered,477,Neutral,ID
147,cpt,473,Neutral,ID
148,n,473,Neutral,ID
149,new,471,Neutral,ID
150,make,465,Neutral,ID
151,shipment,463,Neutral,ID
152,decent,455,Neutral,ID
153,thx,444,Positive,ID
154,message,444,Neutral,ID
155,realpict,438,Neutral,ID
156,thing,437,Neutral,ID
157,bag,436,Neutral,ID
158,maybe,432,Neutral,ID
159,times,431,Neutral,ID
160,pict,430,Neutral,ID
161,admin,429,Neutral,ID
162,happy,427,Positive,ID
163,bro,411,Neutral,ID
164,top,409,Positive,ID
165,enough,405,Neutral,ID
166,plastic,403,Neutral,ID
167,comes,399,Neutral,ID
168,box,396,Neutral,ID
169,yesterday,395,Neutral,ID
170,ease,395,Positive,ID
171,regret,394,Negative,ID
172,tebel,394,Neutral,ID
173,appropriate,389,Neutral,ID
174,gpp,386,Neutral,ID
175,smooth,379,Neutral,ID
176,small,376,Neutral,ID
177,features,375,Neutral,ID
178,beautiful,369,Positive,ID
179,satisfying,363,Positive,ID
180,condition,362,Neutral,ID
181,second,357,Neutral,ID
182,bangett,356,Neutral,ID
183,buying,355,Neutral,ID
184,accordance,353,Neutral,ID
185,many,351,Neutral,ID
186,finally,339,Neutral,ID
187,shape,339,Neutral,ID
188,cant,337,Neutral,ID
189,child,337,Neutral,ID
190,cardboard,333,Neutral,ID
191,unfortunately,328,Negative,ID
192,expectations,325,Neutral,ID
193,ori,318,Neutral,ID
194,service,310,Neutral,ID
195,never,309,Neutral,ID
196,immediately,306,Neutral,ID
197,turns,305,Neutral,ID
198,successful,303,Positive,ID
199,broken,299,Negative,ID
200,mandate,299,Neutral,ID
201,hehe,295,Neutral,ID
202,u,293,Neutral,ID
203,problem,292,Negative,ID
204,mksh,288,Neutral,ID
205,pokonya,283,Neutral,ID
206,everything,281,Neutral,ID
207,bangettt,277,Neutral,ID
208,overall,273,Neutral,ID
209,useful,272,Positive,ID
210,sharpness,272,Neutral,ID
211,house,271,Neutral,ID
212,lg,270,Neutral,ID
213,love,270,Positive,ID
214,flavor,270,Neutral,ID
215,fit,264,Positive,ID
216,strong,263,Positive,ID
217,send,260,Neutral,ID
218,blm,260,Neutral,ID
219,pesen,259,Neutral,ID
220,kak,256,Neutral,ID
221,bonus,255,Positive,ID
222,murmer,254,Neutral,ID
223,cute,251,Positive,ID
224,function,251,Neutral,ID
225,photos,250,Neutral,ID
226,hope,250,Positive,ID
227,mantap,248,Neutral,ID
228,landed,246,Neutral,ID
229,give,245,Neutral,ID
230,continues,244,Neutral,ID
231,hasnt,244,Neutral,ID
232,afternoon,241,Neutral,ID
233,sturdy,240,Neutral,ID
234,tender,235,Neutral,ID
235,directly,233,Neutral,ID
236,promo,233,Neutral,ID
237,high,233,Neutral,ID
238,udh,231,Neutral,ID
239,im,231,Neutral,ID
240,without,230,Neutral,ID
241,please,230,Positive,ID
242,trust,230,Positive,ID
243,today,230,Neutral,ID
244,installed,230,Neutral,ID
245,sale,228,Neutral,ID
246,glasses,226,Neutral,ID
247,fitting,224,Neutral,ID
248,properly,223,Neutral,ID
249,pas,223,Neutral,ID
250,damaged,219,Negative,ID
251,slow,219,Neutral,ID
252,arrive,217,Neutral,ID
253,cheaper,216,Neutral,ID
254,often,215,Neutral,ID
255,longer,215,Neutral,ID
256,home,215,Neutral,ID
257,quick,214,Neutral,ID
258,cheapest,212,Neutral,ID
259,continue,211,Neutral,ID
260,hard,210,Negative,ID
261,disappoint,209,Negative,ID
262,deh,209,Neutral,ID
263,cat,209,Neutral,ID
264,opened,208,Neutral,ID
265,image,208,Neutral,ID
266,deliverythank,208,Neutral,ID
267,tissue,208,Neutral,ID
268,tp,205,Neutral,ID
269,wrong,205,Negative,ID
270,thankyou,200,Neutral,ID
271,recommendation,200,Neutral,ID
272,fairly,199,Neutral,ID
273,huh,199,Neutral,ID
274,defects,199,Negative,ID
275,ga,199,Neutral,ID
276,neatly,197,Positive,ID
277,expedition,196,Neutral,ID
278,far,196,Neutral,ID
279,ny,196,Neutral,ID
280,pillow,194,Neutral,ID
281,work,193,Neutral,ID
282,week,193,Neutral,ID
283,seler,193,Neutral,ID
284,works,190,Neutral,ID
285,didnt,190,Neutral,ID
286,mantul,190,Neutral,ID
287,murce,189,Neutral,ID
288,contents,188,Neutral,ID
