,Organization Name,latitude,longitude,Organization Name URL,Operating Status,Total Funding Amount Currency (in USD),Estimated Revenue Range
0,Leaf Logistics,40.7214998,-74.0042745,https://www.crunchbase.com/organization/leaf-logistics,Active,58500000,$1M to $10M
1,Shippo,37.7867914,-122.4040495,https://www.crunchbase.com/organization/shippo,Active,154275000,$10M to $50M
2,Nexxiot,47.3861889,8.5172587,https://www.crunchbase.com/organization/nexiot,Active,104885118,Less than $1M
3,Nexxiot,49.9925488,8.4125409,https://www.crunchbase.com/organization/nexiot,Active,104885118,Less than $1M
4,Nexxiot,33.2008489,-96.7123588,https://www.crunchbase.com/organization/nexiot,Active,104885118,Less than $1M
5,Nexxiot,59.3366426,18.046789,https://www.crunchbase.com/organization/nexiot,Active,104885118,Less than $1M
6,Zuum Transportation,33.6776789,-117.8506491,https://www.crunchbase.com/organization/zuum-transportation-inc,Active,38580000,$1M to $10M
7,TakeOff,42.3672494,-71.2431812,https://www.crunchbase.com/organization/takeoff-technologies,Active,146131342,$10M to $50M
8,Transfix,33.9298601,-84.3505078,https://www.crunchbase.com/organization/transfix,Active,128500000,$100M to $500M
9,Transfix,40.7527456,-73.9897297,https://www.crunchbase.com/organization/transfix,Active,128500000,$100M to $500M
10,Nuvocargo,19.4318149,-99.1940586,https://www.crunchbase.com/organization/Nuvocargo,Active,37800000,$1M to $10M
11,Nuvocargo,40.7202344,-73.9986357,https://www.crunchbase.com/organization/Nuvocargo,Active,37800000,$1M to $10M
12,ShipHero,40.587302,-75.6049866,https://www.crunchbase.com/organization/shiphero,Active,50000000,Less than $1M
13,ShipHero,32.8148113,-97.3449833,https://www.crunchbase.com/organization/shiphero,Active,50000000,Less than $1M
14,ShipHero,30.3418492,-81.6360009,https://www.crunchbase.com/organization/shiphero,Active,50000000,Less than $1M
15,ShipHero,36.2538685,-115.1051858,https://www.crunchbase.com/organization/shiphero,Active,50000000,Less than $1M
