,rating,reviews,sentiment
0,1.0,pengiriman jauh melebihi bata waktu manajemennya gimanaaa,Neutral
1,1.0,worst worst use courier youll regret later unprofessional customer service experience bad expedition company sent package december customer still hasnt received good ...,Negative
2,5.0,good,Positive
3,1.0,call center whatsapp answered bot email customer call center reply ...,Neutral
4,1.0,jt notified package arrived wasnt place explain package ...,Positive
5,1.0,slow work item ordered still even delivery attempt failed delayed really want wait date ...,Negative
6,1.0,noticed google play google map assessment jt bad category jt see ...,Positive
7,1.0,delivery service clear irritates sender recipient long traffic jam package clear sure end package also lost know lose dear j ...,Positive
8,1.0,jt delivery service removed package item nominal value december last lost oebufu irresponsible work sending package good eliminating consumer good ...,Positive
9,1.0,,Neutral
10,1.0,wow ahmad suhendar wheres package fixed package lost cant work well disband become mass organization jt ...,Positive
11,1.0,dont want close company forever burden world niyh jnt kacruuuut ...,Negative
12,1.0,service bad short distance delivery take day ...,Negative
13,1.0,package still stored staff promise im tired jt express service better move another expedition professional respect customer ...,Positive
14,1.0,slow,Neutral
15,1.0,use jt cargo week package stuck change c could reached ...,Positive
16,1.0,badly broken,Negative
17,1.0,slowest expedition,Neutral
18,1.0,nothing arrived day status hasnt changed customer service whatsapp call center paying attention dont use jt anymore better hurry lion parcel arrive immediately ...,Positive
19,1.0,competitor often late delivery estimation problem turn jt worse appropriate say express using company like ...,Negative
20,1.0,almost month package say delivery courier anjayyyyyy really long package bad know long cook anteraja day ...,Negative
21,1.0,city though week hasnt arrived ...,Neutral
22,1.0,really slow delivery today december dont know arrive jt service slow first last time using service better close jt ...,Positive
23,1.0,courier joke shop ordering good address clearly still wrong address continues handling slow different antering jne quickly oh angry name express ...,Positive
24,1.0,delivery service often problem yes jt employee dont know procedure dont think consumer ...,Positive
25,1.0,irresponsible missorted package arrive kupang destination address ternate week good arrived bad service hotlines slow respond ...,Negative
26,1.0,recommended ive waiting long time day apparently package lost complained many time zonks answer clear disappointed ...,Negative
27,1.0,central jnt keep straying clear package ciparay sent afternoon destination afternoon instead sent bandung sent afternoon sent bandung sent ...,Positive
28,1.0,disappointing transit package jnt jakarta since december december package arrived manado yet arrived address ...,Negative
29,1.0,sent package hasnt arrived day package thrown back forth jnt office tuntang semarang tangerang serang tangerang serang balaraja delivery clear ...,Positive
30,1.0,really bad week package hasnt arrived jakarta im really tired complaining change ...,Negative
31,1.0,even though noncod courier still asks money ...,Neutral
32,1.0,call center bad one answered tried wa many time hour still reply try next day youre welcome one answer c responsible intention helping consumer ...,Positive
33,1.0,bad regular package arrive ive waiting week hasnt arrived ...,Negative
34,1.0,lately im disappointed jt really bad item wasnt delivered destination didnt call tell buyer knew return jt responsible ...,Negative
35,1.0,cleaning business cipondoh tangerang woiii package stuck management silent solution close cant get ...,Positive
36,1.0,send marketplace declared cancel good still sent buyer ive reported asking hour already overtime ...,Positive
37,1.0,consumer harmed wheres bos really,Negative
38,1.0,frog,Neutral
39,1.0,first time using courier delivery within city take day usually short distance use jne tiki sicepat everything must take day good ...,Positive
40,1.0,bad long delivery,Negative
41,1.0,use regular jet express service send tangsel south jakarta take day pray close name express service doesnt express ...,Positive
42,1.0,bad service use express service regular day arrived ...,Negative
43,1.0,express mean line name term take long time express system management must changed ...,Neutral
44,5.0,ok,Positive
45,1.0,broken system human error isnt delivery progressing day still sorting place jakarta many receive complaint repaired still suitable place ...,Negative
46,1.0,sending jakbar jakut take long time ask forgiveness ...,Positive
47,1.0,june buy medicine online jakarta bogor june gileenya medicine sent pontianak june medicine sent back pontianak jakarta ...,Neutral
48,1.0,bad delivery service,Negative
49,1.0,crazy expedition package received sorting place update problem durability long even though ...,Negative
50,1.0,delivery service good indonesia,Positive
51,1.0,come delivery getting clear compared courier service took long time west jakarta east jakarta package arrived almost week jt party ...,Positive
52,1.0,package broken opened without confirmation bad order ...,Negative
53,1.0,old stuff service satisfactory,Positive
54,1.0,delivery clear package brought courier sent address disappointed ...,Negative
55,1.0,old,Neutral
56,1.0,close cant afford way work much worse arrived jakarta jakarta day item hasnt arrived know going use jt price ...,Negative
57,1.0,day getting better getting messier buying spare part north jakarta central jakarta day arrived see history going back forth dont know kapok ...,Positive
58,1.0,close si dont open expedition cant deliver write package take office arrives ...,Neutral
59,1.0,surabayabanyuwangi go gresik sidoarjo finally dont know go ...,Neutral
60,5.0,called express far express,Neutral
61,1.0,best expedition ever ninja express big yet delivery fast warehouse part slow good dont run still stuck central warehouse ...,Positive
62,1.0,yesterday order jambi gone directly kerinci usual sent pekan baru new week called pangkalan kerinci ...,Neutral
63,1.0,really swear j t service like time good stuck jakarta havent sent day heiiiii thought nice told wait j t threat severe ...,Negative
64,1.0,lelet expedition period bandung jakarta day still arrived usually using fast surabaya day arrived bandung day take long drop center ...,Negative
65,1.0,bad service delivery address clear package arrives another city different destination address sop complaint hour confirmation hour service ...,Negative
66,3.0,disappointed already package often missorted traced receipt delivery turn around wrong sort day delivery delay receipt package ...,Negative
67,1.0,disappointing time using expedition package didnt work give next time using expedition delivery service ...,Negative
68,1.0,status delivery morning evening hasnt arrived check j n linggau branch ...,Neutral
69,1.0,worst expedition service long use expedition lose period vehicle service incidentally much economical ...,Negative
