,rating,reviews,sentiment
0,4.0,hour incoming storage,Neutral
1,3.0,delicious taste service little slow,Positive
2,1.0,jne bad late ask forgiveness good delivered sleep time ...,Positive
3,1.0,taiik slow expedition,Neutral
4,5.0,service good friendly management taking money wu fast complicated additional information withdrawing money million subject additional fee stamp ...,Positive
5,4.0,friendly service,Positive
6,1.0,njir bad really slow point use jne ...,Negative
7,3.0,bit surprised little disappointed shipping batam outside batam even though still indonesia tax really big ...,Negative
8,1.0,worst jne bad service handle product bad good damaged ...,Negative
9,5.0,send good,Positive
10,1.0,worker professional clear package tracking site arrival say ...,Positive
11,5.0,good delivery service company provides good onestop service support convenience consumer ...,Positive
12,1.0,better use jne useless slow work contact picked complained told wait ...,Negative
13,1.0,day still stuck batam there update anyway im tired using jne ...,Negative
14,2.0,hard get touch,Negative
15,1.0,send document incidentally include taxable good crazy long drop shipping jne counter day still sorting process jne tiban center edannnnn ...,Negative
16,5.0,slow,Neutral
17,2.0,,Neutral
18,5.0,friendly structured service,Positive
19,1.0,want ask true buying electronic good batam send java pay security deposit expedite custom problem bought cellphone ig already transferred money ...,Positive
20,5.0,reasonable,Neutral
21,4.0,helpfull business,Neutral
22,5.0,jne tge best ever,Positive
23,1.0,slow time,Neutral
24,4.0,far ok,Positive
25,1.0,package august movement professional ...,Neutral
26,1.0,package week hasnt arrived say day ...,Neutral
27,5.0,ok,Positive
28,4.0,good luckammiinn,Positive
29,1.0,shipping holded long time offer make package faster ...,Neutral
30,5.0,always success,Positive
31,1.0,wasnt package sent,Neutral
32,3.0,item delivered day,Neutral
33,1.0,bad long day since package moving ...,Negative
34,4.0,,Neutral
35,4.0,good service,Positive
36,4.0,shipping good difficult sending clothes must new subject tax jne jtr apply per kg still calculated per kilo ...,Positive
37,2.0,leader jne batam center branch respect ...,Positive
38,1.0,package detained courier day delivered bad ...,Negative
39,1.0,package received week yet shipment bogor behalf yulianti recipient behalf suartini address tiban block aa rt rw kel patam ...,Negative
40,5.0,fast,Neutral
41,1.0,rate marked accordance stated official website tax reason etc asked calculation tax answer round ...,Neutral
42,3.0,good service,Positive
43,5.0,familiar shipping company,Neutral
44,5.0,hoped staff friendly huh,Positive
45,5.0,mba helpful providing lot info good banged friendly n always like send using jne thanks mba e forgot whose name ...,Positive
46,4.0,friendly service,Positive
47,2.0,cant contacted bad,Positive
48,4.0,good,Positive
49,1.0,service really bad waited day package doesnt move instead sorting process start ...,Negative
50,5.0,jne good delivery packet around indonesia jne ago old good company,Positive
51,1.0,stupid taken package around indonesia one month ...,Negative
52,5.0,safe enough send package good service quite friendly clear ...,Positive
53,1.0,jne never worked slowly good period jakarta delayed day place right thing consumer satisfied ...,Negative
54,1.0,item sent incorrectly even though recipient complete address must fadjar mahardhika even fadil solution correct courier even though cellphone number ...,Positive
55,1.0,mf package come havent given receipt number even though already cream insurance every time ask receipt number keep giving ...,Positive
56,2.0,long time customer hurried away detrimental,Neutral
57,1.0,delivery good area take day arrive ...,Positive
58,5.0,okay service,Positive
59,5.0,traffic jam,Neutral
60,5.0,friendly informative solution fast comfortable service ...,Positive
61,1.0,difficult call jne anywhere,Negative
62,1.0,please repair bureaucracy customer disappointed ...,Negative
63,1.0,movementa slow,Neutral
64,4.0,one busiest courier nearby area service ok sometimes need liaise government body custom tax send something,Positive
65,5.0,nice one officer really fussy ...,Positive
66,1.0,sent good october november medan didnt arrive really jne customer service said would ask let u know called time thats answer ...,Positive
67,5.0,good service informative,Positive
68,1.0,bad,Negative
69,5.0,good service,Positive
70,1.0,geez jne really slow order good lazada hold month order good september havent arrived thing shop really fast still queued ...,Positive
71,1.0,worst delivery service batam missing item dont know recipient ...,Negative
72,1.0,please jne batam dont make name jne bad pay dearly day day good havent shipped cant professional better close look new employee ...,Positive
73,5.0,responsive,Positive
74,5.0,great stuff cheap price,Positive
75,5.0,good service,Positive
76,3.0,easy find,Positive
77,1.0,unsatisfactory service,Neutral
78,1.0,want check true nm deni sofyan wa courier jne batam jl gajah mada tiban sekupang ...,Positive
79,1.0,come sent july received jne july doesnt move thats already month already package lost replace money worth ten thousand ...,Negative
80,1.0,really slow dont intend close,Neutral
81,1.0,package monday today moved status still sorting process want arrive bought ...,Positive
82,5.0,fast response,Neutral
83,1.0,rotten week motion dsini teros,Negative
84,5.0,father,Neutral
85,1.0,ordered good august arrived batam dufah august yet arrived natuna even though estimate arrive later august whats going ...,Positive
86,1.0,think one experienced delay package delivery turn review bought good online shop process fast starting february ...,Positive
87,5.0,want take package directly contact call center first booking take send old package sender data often made lie ...,Positive
88,4.0,best logistics courier ever use,Positive
89,1.0,bad package update reason corona aseeeem want sworn ...,Negative
90,1.0,crazy package didnt go,Negative
91,1.0,bad waiter old stuff reach destination,Negative
92,1.0,month package isnt finished,Neutral
93,1.0,wrong batam cirebon trace status still process day ...,Negative
94,5.0,good,Positive
95,1.0,package sent wednesday thursday used jne yes come time arrived day package track reached batam ...,Positive
96,5.0,friendly officer,Positive
97,1.0,assalamualaikum package day still batam doesnt move motion process writing batam bandung day still batam day ...,Neutral
98,5.0,central place city batam friendly service clear information conveyed regarding financing charged sent batam ...,Positive
99,1.0,already seven today dear jne batam status still moving batam go batam get thing wake employee afraid ...,Positive
100,1.0,come hasnt come n changed already day batam warehouse status jne batam ni im watching korea something transportation smooth ...,Neutral
101,1.0,slow,Neutral
102,2.0,penitent send brg tax money shipping,Neutral
103,1.0,good batam tanjungpinang arrived yet already arrived june come status still like motion want send ...,Positive
104,1.0,delivery good almost week estimated day ...,Positive
105,1.0,worse jne send item already week package move swear use jne better use expedition j ...,Negative
106,1.0,doc didnt arrive status received,Neutral
107,1.0,much,Neutral
108,1.0,point package changed week,Neutral
109,1.0,bad unlike expedition next door,Negative
110,1.0,taking long usually day package arrived longest day week since move ...,Neutral
111,5.0,responsive service,Positive
112,1.0,send package may may changed status even though using reg service please improve performance also update phone number contacted ...,Positive
113,1.0,thats hate order good batam delivery half month feeling ordering good abroad message sent item status ...,Positive
114,1.0,april may package still batam movement ...,Neutral
