,rating,Late reviews,sentiment
24,1.0,oath work slow package antered week right anter never pake expedition like intention work ...,Negative
26,1.0,delivery bekasi cikarang maybe day another courier online store would choose another courier slowness sting death give choosing courier ...,Negative
30,1.0,bad expedition estimate late,Negative
52,1.0,problem long delivery normal disappointed one ninjaid courier seemed cheat deliver package night paid thousand courier said ...,Negative
62,1.0,delivery took long time one contact c dont recommend ...,Negative
65,1.0,bad long time status still way hadeeuh employee gave star sure ...,Negative
75,1.0,package delivery failed twice send last night failed lateness next day priority ...,Negative
88,1.0,tried call c waiting long time one pick bad delivery service always wrong pickup month running always wrong reprimanded start ...,Negative
91,1.0,long time playing package status yet afternoon afternoon problem afternoon yet high school ...,Negative
94,3.0,im little disappointed delivery really slow,Negative
110,1.0,first time used ninja really disappointed wouldnt use another delivery service longest one week jakarta ...,Negative
117,1.0,real badly slow ninja nearly week stuff ...,Negative
122,1.0,name express ninja changed snail ninja delivery took long unclear,Negative
129,1.0,wow bad package took really long time stop moving want use work sad,Negative
170,1.0,bro package package really late got email supposed arrive yesterday instead failed send xpress trade hadehhh gimna si ...,Negative
173,1.0,ninja express took long time ship march really bad order old stuff arrives ...,Negative
195,1.0,bad old service like expedition outside city one day city really long ...,Negative
197,1.0,bad service lack information solution late delivery,Negative
200,1.0,longest original shipping expedition disappointed badly ...,Negative
239,1.0,worse come package didnt arrive didnt move using service arrived using severe express ninja service change name slow ninja ...,Negative
258,1.0,disappointed many time delivery expedition really long even though sent seller monday bandung friday afternoon courier telephoned asking address ...,Negative
261,1.0,umpteenth time disappointed xpress ninja package always take long time pick ask pickup thursday hasnt picked yet tlp c already ad dont change ...,Negative
297,1.0,many new expedition time disappointed package picked according schedule took directly partner turned took long time pick huftt ...,Negative
301,1.0,long pickup long delivery courier gave fake report pick operating hour pm pick day disappointed ...,Negative
303,1.0,disappointing expecting ninja service fast turned far expected disappointing fact package took long time arrive even ninja service ...,Negative
325,1.0,last year using ninja express buy red onion bekasi bekasi eeeh package strayed north jakarta complaint etc finally arrived day later dont think onion one ...,Negative
328,1.0,really bad shopping online using courier feel like shopping abroad even shopping abroad long using xpress ninja ...,Negative
330,1.0,long oath annoying ordered yesterday doesnt arrive ...,Negative
339,1.0,package sent dated july estimation received dated july pa july arrived ga package check cek latest news still transit jakarta pa new email dial bale ternal damage package ga ...,Negative
349,5.0,want complain good lazada canceled ninja express courier kendari package already week im late reply chat minute directly returned seller damn ...,Negative
358,1.0,worst shipping service ever many late even many package lost,Negative
383,1.0,kapokkkkkapokkkk us ninjaaaa crazy crazy crazy long time ago already warehouse depokkk kaga sent send want know address kaga visaa let take alone aaaaa kaga use ...,Negative
391,1.0,taking long use ninja like regret use even good arrived still stuck sorting hub got complaint want use eid ...,Negative
402,1.0,regret using hasnt day yet stuff change name dont use express use slow ...,Negative
406,1.0,severe slow first last use slow ninja,Negative
407,1.0,service good long delivery phone instead lifted instead mulu ruin ...,Negative
422,1.0,bad service expedition take long time,Negative
425,1.0,shop online first check expedition push ninja express worst expedition long time ...,Negative
431,1.0,aseli first time using long time status unclear call center called star talk 1/2 star ill give star ...,Negative
442,1.0,completely disappointing delivery service enter shopee marketplace order good city pasuruan jakarta day new item picked entered hun sorting pasuruan day later ...,Negative
452,1.0,express ninja turtle name crazy day ago still sorting hub status slow even though order used another courier expedition arrived kapok use ninja express ...,Negative
464,1.0,slow customer complain work,Negative
499,1.0,ugly slow disappointing,Negative
507,1.0,bad delivery poor people close whichever choice long time close ...,Negative
517,1.0,disappointed ninja express courier slow didnt want check receipt didnt work package dont know ...,Negative
545,1.0,bad service slow pick olshop given star star suitable ninja ...,Negative
581,1.0,first time using expedition result unsatisfactory delivery take almost day package arrives damaged want ask accountability admin slow response gosh ...,Negative
614,1.0,really bad shipping service period already day package sent even though seller fast service really long friend try use ...,Negative
631,1.0,kapok using ninja always time even though today information sent late night doesnt arrive time information fails send sent like ...,Negative
634,2.0,like sending long time ago send recipient want criticize sale response document recipient like worn even torn even though cooperated service ...,Negative
637,1.0,bad read review way want register partner seller slow response want swear office immediately sale general os xena warrior ...,Negative
644,1.0,ca n't track package website long delivery time mistake choosing service,Negative
656,1.0,slow already disappointed lambatt really,Negative
665,1.0,use ninja cod service complaint disbursement money quite long old package arrived package lost bill includes weight appropriate kg written kg ...,Negative
685,1.0,want use one service service messy long time c stupid package arrived month later called many time angry sent lazada ...,Negative
689,1.0,dont recommend use delivery courier bad service slow respond customer service delivery time bad worst delivery courier indonesia,Negative
691,1.0,close xpres ninja long service many time spend using ninja service disappointing surgery jne j ...,Negative
718,1.0,ive using messenger long time disappointed order didnt come ...,Negative
751,1.0,oath work slow package antered week right anter never pake expedition like intention work ...,Negative
753,1.0,delivery bekasi cikarang maybe day another courier online store would choose another courier slowness sting death give choosing courier ...,Negative
757,1.0,bad expedition estimate late,Negative
779,1.0,problem long delivery normal disappointed one ninjaid courier seemed cheat deliver package night paid thousand courier said ...,Negative
789,1.0,delivery took long time one contact c dont recommend ...,Negative
792,1.0,bad long time status still way hadeeuh employee gave star sure ...,Negative
802,1.0,package delivery failed twice send last night failed lateness next day priority ...,Negative
815,1.0,tried call c waiting long time one pick bad delivery service always wrong pickup month running always wrong reprimanded start ...,Negative
818,1.0,long time playing package status yet afternoon afternoon problem afternoon yet high school ...,Negative
821,3.0,im little disappointed delivery really slow,Negative
837,1.0,first time used ninja really disappointed wouldnt use another delivery service longest one week jakarta ...,Negative
844,1.0,real badly slow ninja nearly week stuff ...,Negative
849,1.0,name express ninja changed snail ninja delivery took long unclear,Negative
856,1.0,wow bad package took really long time stop moving want use work sad,Negative
897,1.0,bro package package really late got email supposed arrive yesterday instead failed send xpress trade hadehhh gimna si ...,Negative
900,1.0,ninja express took long time ship march really bad order old stuff arrives ...,Negative
922,1.0,bad old service like expedition outside city one day city really long ...,Negative
924,1.0,bad service lack information solution late delivery,Negative
927,1.0,longest original shipping expedition disappointed badly ...,Negative
966,1.0,worse come package didnt arrive didnt move using service arrived using severe express ninja service change name slow ninja ...,Negative
985,1.0,disappointed many time delivery expedition really long even though sent seller monday bandung friday afternoon courier telephoned asking address ...,Negative
988,1.0,umpteenth time disappointed xpress ninja package always take long time pick ask pickup thursday hasnt picked yet tlp c already ad dont change ...,Negative
1024,1.0,many new expedition time disappointed package picked according schedule took directly partner turned took long time pick huftt ...,Negative
1028,1.0,long pickup long delivery courier gave fake report pick operating hour pm pick day disappointed ...,Negative
1030,1.0,disappointing expecting ninja service fast turned far expected disappointing fact package took long time arrive even ninja service ...,Negative
1052,1.0,last year using ninja express buy red onion bekasi bekasi eeeh package strayed north jakarta complaint etc finally arrived day later dont think onion one ...,Negative
1055,1.0,really bad shopping online using courier feel like shopping abroad even shopping abroad long using xpress ninja ...,Negative
1057,1.0,long oath annoying ordered yesterday doesnt arrive ...,Negative
1066,1.0,package sent dated july estimation received dated july pa july arrived ga package check cek latest news still transit jakarta pa new email dial bale ternal damage package ga ...,Negative
1076,5.0,want complain good lazada canceled ninja express courier kendari package already week im late reply chat minute directly returned seller damn ...,Negative
1085,1.0,worst shipping service ever many late even many package lost,Negative
1110,1.0,kapokkkkkapokkkk us ninjaaaa crazy crazy crazy long time ago already warehouse depokkk kaga sent send want know address kaga visaa let take alone aaaaa kaga use ...,Negative
1118,1.0,taking long use ninja like regret use even good arrived still stuck sorting hub got complaint want use eid ...,Negative
1129,1.0,regret using hasnt day yet stuff change name dont use express use slow ...,Negative
1133,1.0,severe slow first last use slow ninja,Negative
1134,1.0,service good long delivery phone instead lifted instead mulu ruin ...,Negative
1149,1.0,bad service expedition take long time,Negative
1152,1.0,shop online first check expedition push ninja express worst expedition long time ...,Negative
1158,1.0,aseli first time using long time status unclear call center called star talk 1/2 star ill give star ...,Negative
1169,1.0,completely disappointing delivery service enter shopee marketplace order good city pasuruan jakarta day new item picked entered hun sorting pasuruan day later ...,Negative
1179,1.0,express ninja turtle name crazy day ago still sorting hub status slow even though order used another courier expedition arrived kapok use ninja express ...,Negative
1191,1.0,slow customer complain work,Negative
1226,1.0,ugly slow disappointing,Negative
1234,1.0,bad delivery poor people close whichever choice long time close ...,Negative
1244,1.0,disappointed ninja express courier slow didnt want check receipt didnt work package dont know ...,Negative
1272,1.0,bad service slow pick olshop given star star suitable ninja ...,Negative
1308,1.0,first time using expedition result unsatisfactory delivery take almost day package arrives damaged want ask accountability admin slow response gosh ...,Negative
1341,1.0,really bad shipping service period already day package sent even though seller fast service really long friend try use ...,Negative
1358,1.0,kapok using ninja always time even though today information sent late night doesnt arrive time information fails send sent like ...,Negative
1361,2.0,like sending long time ago send recipient want criticize sale response document recipient like worn even torn even though cooperated service ...,Negative
1364,1.0,bad read review way want register partner seller slow response want swear office immediately sale general os xena warrior ...,Negative
1371,1.0,ca n't track package website long delivery time mistake choosing service,Negative
1383,1.0,slow already disappointed lambatt really,Negative
1392,1.0,use ninja cod service complaint disbursement money quite long old package arrived package lost bill includes weight appropriate kg written kg ...,Negative
1412,1.0,want use one service service messy long time c stupid package arrived month later called many time angry sent lazada ...,Negative
1416,1.0,dont recommend use delivery courier bad service slow respond customer service delivery time bad worst delivery courier indonesia,Negative
1418,1.0,close xpres ninja long service many time spend using ninja service disappointing surgery jne j ...,Negative
1445,1.0,ive using messenger long time disappointed order didnt come ...,Negative
