,rating,reviews,sentiment
0,1.0,pengiriman terburuk paket dibawa kabur kurir status sampai tapi barangnya belum saya terima sampai sekarang akan diselidiki tapi belum ada kejelasan,Neutral
1,1.0,saya berkomentar disini karena smua kurir dan atasan kurir dan pusat tidak merespon paket retur saya yg hilang seharga hari ke ditelpon smuanya gak ada yg berani berbicarakenapa apakah kalian yg ...,Neutral
2,1.0,c call center behalf novi agung good handling complaint officer manner ...,Positive
3,1.0,outrageous ninja company courier salary paid today reason returned doesnt make sense salary returned month come ...,Negative
4,1.0,good morning apologize advance something say delivery estimate etiquette employee,Positive
5,1.0,pls really seller online shopee application seller lazada etc dont use ninja xpress courier good arrive even though urgent unclean expedition ever ...,Positive
6,1.0,disappointed untrustworthy used ninja express expedition twice good exchanged people good ...,Positive
7,1.0,courier delivers good pm ask deliver maybe ill even tell wait package got lost past using ninja good ...,Positive
8,1.0,mr ninja sent package week package hasnt arrived yet anter package go snail ...,Neutral
9,1.0,ninja experes courier payday come month make u balngsakk even though really need clarity ...,Positive
10,1.0,service good courier want call recipient status written failed send even though recipient home ...,Neutral
11,1.0,lazada seller lost lot ninja delivery service trustworthy long hand package always return reason clear week good finally return good ...,Positive
12,5.0,excellent,Positive
13,1.0,sorry want complain item broken complained seller said delivery party please ask responsibility ...,Negative
14,1.0,cc review ninja xpress str pegangsaan dua,Neutral
15,1.0,seller new online shop used expedition really disappointed courier c provide good service package delivered destination ...,Negative
16,1.0,hasnt package arrived yet two week bro whats courier took long arrive ask courier help want use good kamarinyesterday ...,Positive
17,4.0,ok,Positive
18,1.0,package arrived day status failed send continuously even though courier whatsapp want delivered tomorrow shame ...,Negative
19,1.0,courier polite delivery indramayu krangkeng ...,Neutral
20,1.0,sorry service jeleeeeek delivery good destination ...,Positive
21,1.0,slow untrustworthy please monitor express delivery courier ninja past used use lazada using jn come always return using ninja good dented please help ...,Positive
22,1.0,kacaw wes angel,Neutral
23,1.0,jancoook expedition ninja name become bad use ...,Negative
24,1.0,oath work slow package antered week right anter never pake expedition like intention work ...,Negative
25,1.0,waited got work news,Neutral
