,rating,Late reviews,sentiment
40,1.0,application clearcs doesnt helpthe bot answered first ... queuing hour before ... c person really bad first time want try way longer use ...,Negative
48,1.0,contact contacted package late lost c via wa email response paraaaahhhhhh ...,Negative
55,1.0,really bad morning pickup set canceled unilaterally courier couldnt find address pickup courier didnt call wait played cancel say lazy pick ...,Negative
56,1.0,c package late hour still delivered although paxel say delivered proof delivery black picture signature cross company big fraud ...,Negative
67,1.0,severe super duper bad professionalnot timeno nmr contacted cmb via wabut take long time pkbanget recommended ...,Negative
73,1.0,bad service can not contect call center response late,Negative
92,1.0,delivery schedule customer service can not reached via whatsapp slow response entered expedition blacklist anteraja jne ...,Negative
95,1.0,late send package professional give confirmation package arrive customer service cant reached,Negative
132,1.0,package swapped crazy already clear address even though box package tap one jakarta one bandung c one answered phone wa slow response crazy really ...,Negative
137,1.0,disappointing package arrived day late day even though clearly written food first day said lost wrong district google map ...,Negative
140,2.0,took long time send even though jabodetabek fellow though food shipment completely unaware must faster price also cheap expensive even courier also ...,Negative
164,2.0,worse package arrived day later confirmed reason full food package said stored fridge arriving situation longer stressful sour ...,Negative
195,1.0,worst shipping service ever used said day transit day status continues contact via dm answer stuck wait long time taken take ...,Negative
219,1.0,really bad twice packet loss long delay according specified time disappointing thats merchandise professional ...,Negative
223,1.0,repeatedly used paxel time package rejected reason courier waited tll long time even though courier never came wait always prepared package sell frozen ...,Negative
227,1.0,due pandemi covid people keep using shipping delivery paxel seems ready anticipate situation time cancelled order long delayed pick upuntil order track schedule ...,Negative
239,1.0,dont understand purpose application developer owner paxel crash hang error especially promo ad appear going long time case ...,Negative
327,1.0,regret using service item hasnt pickup day day day pickup expedition last long ...,Negative
335,1.0,disappointing item waiting arrive hour computer service took long time answer telephone service ...,Negative
338,5.0,time late still drop ontime keep ...,Negative
