,rating,reviews,sentiment
0,1.0,jasa paket aneh dan ga ada attdnya kalo sudah jam ya dikirm besok aja ga malem malem nyuruh kurirnya kirim menganggu kasih bata pengiriman kalo kira kira kemaleman besok kan bisa,Neutral
1,5.0,thank god good experience paxel time flat rate friendly staff keep good job ...,Positive
2,1.0,x sending frozen food facility arriving destination good melted cold mean stored freezer cant provide freezer dont provide ...,Positive
3,1.0,item lost way kind courier trustworthy work really want sneaky better thief instead pretending courier cheap stuff ...,Positive
4,1.0,package receipt number missing sent wrong courier name ayik dedy pranggodo kind courier doesnt want responsible signature faked know ...,Negative
5,5.0,package delivery service east jakarta area kel balimester close kampung melayu terminal ...,Neutral
6,1.0,customer service never give solution first shipment got damage package please evaluate service,Negative
7,2.0,apps said package already arrive,Neutral
8,1.0,ever received package someone else food package arrived night put terrace without ...,Neutral
9,1.0,slow pick canceled unilaterally reliable,Neutral
10,1.0,unsatisfactory service,Neutral
11,1.0,yesterday sent good via paxel problem today said good could delivered house reach choice take taxi take wasnt informed ...,Positive
12,5.0,package arrived one day,Neutral
13,1.0,lelet,Neutral
14,5.0,well done,Positive
15,1.0,package delivery process currently carried simultaneously package customer si delivery carried relay origin paxel destination paxel home ...,Neutral
16,1.0,recommendation clear cream isnt freezer put cold cupboard dont know courier cant read there element intent ...,Positive
17,1.0,bad expedition said service frozen product tried send ice cream product reach customer complain product arrives damaged liquid submitted ...,Negative
18,1.0,customer service chat wa also bot chat dont number call,Negative
19,1.0,minus star package went stale ordered frozen food wasnt cold result durian stale sour package also damaged ...,Negative
20,1.0,severe banget,Negative
21,1.0,bad delivery food contained hour supposed food got stale delivery delay wasnt clear ive paid lot postage though disappointed service ...,Negative
22,1.0,package said lost even though courier contacted recipient c answer via chat robot even telephone number ...,Negative
23,3.0,service good friendly previously looked service point matraman area turned closed ...,Positive
24,1.0,star give especially bekasi branch office ordered time frozen food arrived hour promised time ...,Positive
25,1.0,send day day even though send yogurt ...,Neutral
26,1.0,copy paste receipt website cant valid estimated pm arrived yet first last use ...,Neutral
27,1.0,paxel good delivery service ok,Positive
28,1.0,phone picked claim clear transaction paid transaction failed ...,Negative
29,1.0,delivery tangsel using day service arrive night later pm right next day noon news use delivery service ...,Neutral
30,1.0,recommended never use service ...,Positive
31,1.0,paxel hq call center difficult contact called several time answer please cooperative ...,Negative
32,1.0,package still transit even though past delivery schedule customer service really cant reached wa really robot doesnt help disappointed deleting app never use ...,Negative
33,5.0,greeting colleague center miss,Positive
34,4.0,good service process implemented,Positive
35,1.0,clothes want wear marriage bad,Negative
36,1.0,package received fake signature already x sent like want claim hard ask ...,Negative
37,1.0,idk item sent day didnt arrive bad service recommended ...,Positive
38,1.0,really bad experience ordered using special service drink easily damaged arrived location day instead arrived tomorrow drink damaged second experience ...,Negative
39,1.0,estimated schedule unclear never even arrived destination ...,Negative
40,1.0,application clearcs doesnt helpthe bot answered first ... queuing hour before ... c person really bad first time want try way longer use ...,Negative
41,1.0,really,Neutral
42,1.0,bad service indeed also havent sent food item time hub c said awb wrong took email ...,Negative
43,1.0,paxel doesnt customer center tell paxel emphaty absolutely empathy frozen food package disappointed service ...,Negative
44,1.0,pickup request suddenly canceled unilaterally reason package ready even though package ready wa courier polite many reason hopefully life ...,Positive
45,1.0,bad service food picked hasnt delivered say one home said wanted send still hasnt delivered whatsapp ...,Negative
46,1.0,sent package theyre perishable food supposed kept chiller freezer got customer complaint one food got spoiled though always put frozen perishable food freezer ...,Negative
47,1.0,bad order picked difficult contact unprofessional ...,Negative
48,1.0,contact contacted package late lost c via wa email response paraaaahhhhhh ...,Negative
49,1.0,lousy package may hasnt arrived yet even though still jabodetabek contacted c solution got queue number continues yesterday ...,Negative
50,1.0,package sent customer service respond bad hopefully read investor management ...,Negative
51,1.0,package hasnt seen yet rejected came make pickup yet thankfully want try using ...,Positive
52,1.0,contact center unreachable,Neutral
53,1.0,c whatsapp useless courteous courteous reply chat pick phone pickup chat introduce hello paxel courier blah blah immediately called using wa,Positive
54,1.0,c contacted complaint tracking package via wa email sub robot thats answer ask hard tracking item ...,Negative
55,1.0,really bad morning pickup set canceled unilaterally courier couldnt find address pickup courier didnt call wait played cancel say lazy pick ...,Negative
56,1.0,c package late hour still delivered although paxel say delivered proof delivery black picture signature cross company big fraud ...,Negative
57,2.0,disappointing service reliable contact support also difficult reach get info package package late sent customer home youre done pray god one paxel team wil help,Positive
58,1.0,really hard contact customer service,Negative
59,1.0,courier wasnt clear package didnt pick status changed picked ...,Negative
60,1.0,service correct c number never responded dm read ...,Positive
61,1.0,ordered courier may arrived may still havent received may previously used courier service always time collection ...,Neutral
62,1.0,choose paxel service arrives tomorrow confirmation paxel customer look news paxel package supposed received ...,Neutral
63,1.0,bad day sameday food delivery arrive responsibility told wait customer service ...,Negative
64,1.0,sent package may may arrived yet estimated arrival may destination sending bekasi area feel like sending ...,Positive
65,1.0,paaaarrrrrrraaaahhh hero whose name herlambang responsible canceling reason natural disaster confirmation lazy courier paxel kapok using paxel paraaaaaah ...,Positive
66,1.0,service good meday day arrived already contacted c chat answered machine solution use contact head office one pick ...,Positive
67,1.0,severe super duper bad professionalnot timeno nmr contacted cmb via wabut take long time pkbanget recommended ...,Negative
68,1.0,whereas still eaiting unntil sign delivery,Neutral
69,5.0,send pm jakarta afternoon arrived surabaya ...,Neutral
70,1.0,bad service heronya like lazy contact sender shipment rejected detrimental customer customer service polite still incomplete complaint ...,Negative
71,1.0,super service parah item often late good pickup arriving status change rejec reason good ready kuralas courier standby waiting courier come good already ...,Positive
72,1.0,serious service customer service unproffesional respond ...,Negative
73,1.0,bad service can not contect call center response late,Negative
74,1.0,courier disappoints chosen pick jm courier asked pickup time delayed promise breaking fast pickup already jm ...,Negative
75,1.0,horrible c take package nyasar c ga cooperative hq number can not contacted ...,Negative
76,2.0,terrible oath expedition picked north jakarta arrived paxel point pondok chili continued check see complain first move ...,Negative
77,1.0,keep getting trouble complained many time never improved customer service doesnt help either ...,Negative
78,1.0,expedition unclear telephone number contacted wow never reply worry sender receiver courier responsible company courier willing ...,Positive
79,1.0,c call center wa c active courier doesnt find address transaction fail courier doesnt find address address finished ...,Negative
80,2.0,number always busy,Positive
81,5.0,paxelbox able store package safely without worry ...,Positive
82,1.0,send banner arrive frozen complaint hard correct ...,Negative
83,1.0,irresponsible item almost lost mobile phone c answer phone reply wa come one phone location ask ...,Negative
84,1.0,danger original courier sent person addressed status written received person concerned ...,Negative
85,1.0,phone number listed hq branch phone want file payment complaint using shopee somehow doesnt link shipment processed shopepay balance ...,Negative
86,1.0,bad service,Negative
87,1.0,recommendation certain delivery sameday today march still hasnt arrived destination asked answer try maximize good send good ...,Positive
88,2.0,customer service really unreliable whatsapp gadibalesreply email instead told use whatsapp call point directly area call also one pick wow really disappointed ...,Positive
89,5.0,dont need afraid need something sudden send using mobile fast safe plus affordable shipping ...,Positive
90,1.0,sent package paxil thursday february picked oclock night today february hasnt arrived even though distance ive contacted customer service ...,Neutral
91,1.0,delivery package day completed either really bad wa told queue order steady ...,Negative
92,1.0,delivery schedule customer service can not reached via whatsapp slow response entered expedition blacklist anteraja jne ...,Negative
93,1.0,cheater need use service day discourse h gak sampe sampe bos ...,Negative
94,1.0,long delivery want complain must via wa thats queue say can not complain ...,Neutral
95,1.0,late send package professional give confirmation package arrive customer service cant reached,Negative
96,1.0,bad service dont use expedition anymore,Negative
97,1.0,day row paxel disappointed sending jabodetabek hour good havent arrived today status package taken paxel come ...,Negative
98,1.0,call center service bad giving cheap price completely ignoring customer service day package arrive wait ...,Negative
99,1.0,good sent hour content food complaint wa chat answered standard answer delivery status unsuccessful send recipient could ...,Negative
100,1.0,paraah star give big wrong package taken real item hasnt delivered day c also doesnt help ...,Negative
101,5.0,waiter friendly,Positive
102,1.0,severe,Negative
103,5.0,security cooperative helpful tell need staff received also welcome ...,Positive
104,5.0,used paxel jabodetabek area time always satisfied good wait home send good arrive according promised hour another cheap price ...,Positive
105,1.0,detailed description good number contacted customer service number complaint item sent didnt arrive ...,Positive
106,1.0,bad service first last experience chat c pun ga day dari mana,Negative
107,1.0,hour later response hq kind service paxel give trauma,Positive
108,1.0,worst service ever given u promote sameday delivery yet hour later package didnt arrive destination also customer service seemed like robot telephone number called please improve service,Positive
109,1.0,delivery pm pm canceled reason address complete application written item already printed paper big gaban detail c service via ...,Neutral
110,1.0,paxel courier sent wrong package since november solution even though compensated customer loss whereas customer package ...,Negative
111,5.0,reasonable,Neutral
112,1.0,shocked stopping complaint stilled paxel beautiful application tp bad service enough enough last time used service amat todk responsible please pack package ni ...,Neutral
113,5.0,excellent,Positive
114,5.0,good service,Positive
115,5.0,work lot friend new people met ...,Positive
