,index,rating,caption,middle,reviews
0,0,1.0,"Lemot banget Sudah 3 hari diam dtmpt padahal jark rumah sm tokonya cm 4 jam,untuk shoppe express kl blm siap untuk mnjadi jasa kurir jgan dipaksakan ksian konsumen",,"Lemot banget Sudah 3 hari diam dtmpt padahal jark rumah sm tokonya cm 4 jam,untuk shoppe express kl blm siap untuk mnjadi jasa kurir jgan dipaksakan ksian konsumen"
1,2,1.0,"di shopee paket telah diterima oleh saya, padahal kantor saya tutup jam 5 sore tapi bukti fotonya jam 22.26 dan keliatan bgt yg ngefoto kurirnya sendiri. sampe sekarang blm ada ke saya barangnya.",,"di shopee paket telah diterima oleh saya, padahal kantor saya tutup jam 5 sore tapi bukti fotonya jam 22.26 dan keliatan bgt yg ngefoto kurirnya sendiri. sampe sekarang blm ada ke saya barangnya."
2,3,1.0,"Ini jasa kirim yg buruk banget!! Kmrn tb2 ada pemberitahuan paket sudh d terima oleh nama saya sndiri tp pas saya cek foto timestampnya bukan d daerah rmh saya! Kurirnya asal naroh paket d rumah orang dan asall bgt nulis penerimanya, wktu …",,"Ini jasa kirim yg buruk banget!! Kmrn tb2 ada pemberitahuan paket sudh d terima oleh nama saya sndiri tp pas saya cek foto timestampnya bukan d daerah rmh saya! Kurirnya asal naroh paket d rumah orang dan asall bgt nulis penerimanya, wktu …"
3,4,1.0,Kurir gk jelas...paket blm di kirim tpi di aplikasi di input sudah di trima pembeli... Kurir di hubungi kapan di kirim malah bilang santai sampai 2 hari gk di …,,Kurir gk jelas...paket blm di kirim tpi di aplikasi di input sudah di trima pembeli... Kurir di hubungi kapan di kirim malah bilang santai sampai 2 hari gk di …
4,6,1.0,"(Translated by Google) I swear this is really slow motion, lol, gjls  (Original) …"," I swear this is really slow motion, lol, gjls  (Original"," I swear this is really slow motion, lol, gjls  "
5,7,1.0,"(Translated by Google) On Shopee it says the package was received, but no one in the same house as neighbors received it. WHAT TO DO?! UDH TLP CS EVEN WERE TOLD TO REPLY FOR A REFUND, TP TOLD TO ATTACH EVIDENCE, WHAT PROOF …"," On Shopee it says the package was received, but no one in the same house as neighbors received it. WHAT TO DO?! UDH TLP CS EVEN WERE TOLD TO REPLY FOR A REFUND, TP TOLD TO ATTACH EVIDENCE, WHAT PROOF …"," On Shopee it says the package was received, but no one in the same house as neighbors received it. WHAT TO DO?! UDH TLP CS EVEN WERE TOLD TO REPLY FOR A REFUND, TP TOLD TO ATTACH EVIDENCE, WHAT PROOF …"
6,9,1.0,"(Translated by Google) The slowest delivery service in Indonesia, the goods have been picked up for up to 3 days and have not been deposited to the sorter, the courier is also slow, the status of the goods is being delivered by the courier …"," The slowest delivery service in Indonesia, the goods have been picked up for up to 3 days and have not been deposited to the sorter, the courier is also slow, the status of the goods is being delivered by the courier …"," The slowest delivery service in Indonesia, the goods have been picked up for up to 3 days and have not been deposited to the sorter, the courier is also slow, the status of the goods is being delivered by the courier …"
7,10,1.0,(Translated by Google) The security guard at the post likes to pay for parking  (Original) …, The security guard at the post likes to pay for parking  (Original, The security guard at the post likes to pay for parking  
8,11,1.0,"(Translated by Google) Only gragra is wrong, it's just right next to the original turn left it's a block on the right saying it's not really good,,,,, but I'm sorry, if there's no one, a lot of people ... …"," Only gragra is wrong, it's just right next to the original turn left it's a block on the right saying it's not really good,,,,, but I'm sorry, if there's no one, a lot of people ... …"," Only gragra is wrong, it's just right next to the original turn left it's a block on the right saying it's not really good,,,,, but I'm sorry, if there's no one, a lot of people ... …"
9,12,1.0,(Translated by Google) Really long transit.. 12 hours still doesn't move  (Original) …, Really long transit.. 12 hours still doesn't move  (Original, Really long transit.. 12 hours still doesn't move  
10,13,1.0,"(Translated by Google) SHIPPING SERVICE IS THE BEST, if I could choose I would definitely choose J*T but since shopee couldn't choose an expedition and unfortunately got this one, oh my, it's so close but it didn't arrive, please fix it, …"," SHIPPING SERVICE IS THE BEST, if I could choose I would definitely choose J*T but since shopee couldn't choose an expedition and unfortunately got this one, oh my, it's so close but it didn't arrive, please fix it, …"," SHIPPING SERVICE IS THE BEST, if I could choose I would definitely choose J*T but since shopee couldn't choose an expedition and unfortunately got this one, oh my, it's so close but it didn't arrive, please fix it, …"
11,14,1.0,(Translated by Google) Shopee express is really fast like a snail caterpillar. It's bad if there is an assessment worse than 1 star I'll give it …, Shopee express is really fast like a snail caterpillar. It's bad if there is an assessment worse than 1 star I'll give it …, Shopee express is really fast like a snail caterpillar. It's bad if there is an assessment worse than 1 star I'll give it …
12,16,1.0,(Translated by Google) Minus delivery service  (Original) jasa pengiriman Minus, Minus delivery service  (Original, Minus delivery service  
13,18,1.0,(Translated by Google) 1 city to 1 week.. ShopeeExpress is super slow  (Original) …, 1 city to 1 week.. ShopeeExpress is super slow  (Original, 1 city to 1 week.. ShopeeExpress is super slow  
14,26,1.0,(Translated by Google) package arrived long  (Original) paket datangnya lama, package arrived long  (Original, package arrived long  
15,27,1.0,"(Translated by Google) Super slow at 6:54 am, the goods are under the courier until 17:37. The package hasn't arrived yet, where to go...sorry about using shopee express services. For those who have never used shopee express services, think …"," Super slow at 6:54 am, the goods are under the courier until 17:37. The package hasn't arrived yet, where to go...sorry about using shopee express services. For those who have never used shopee express services, think …"," Super slow at 6:54 am, the goods are under the courier until 17:37. The package hasn't arrived yet, where to go...sorry about using shopee express services. For those who have never used shopee express services, think …"
16,28,1.0,Barang tidak sampai tp di aplikasi sdh di terima dengan bukti terima org lain.. Parah penipuan ini.,,Barang tidak sampai tp di aplikasi sdh di terima dengan bukti terima org lain.. Parah penipuan ini.
17,29,1.0,"(Translated by Google) The goods did not arrive...the report failed to send. Fail how in my house there are always people. If you haven't sent it, say you haven't sent it yet. Just this once, use shopee express …"," The goods did not arrive...the report failed to send. Fail how in my house there are always people. If you haven't sent it, say you haven't sent it yet. Just this once, use shopee express …"," The goods did not arrive...the report failed to send. Fail how in my house there are always people. If you haven't sent it, say you haven't sent it yet. Just this once, use shopee express …"
18,30,1.0,"(Translated by Google) I have one order, at 12 noon on the delivery status, the package will be sent to the recipient's address, and at 21:17 the status changes, my package has been received, even though I did not receive the item.. …"," I have one order, at 12 noon on the delivery status, the package will be sent to the recipient's address, and at 21:17 the status changes, my package has been received, even though I did not receive the item.. …"," I have one order, at 12 noon on the delivery status, the package will be sent to the recipient's address, and at 21:17 the status changes, my package has been received, even though I did not receive the item.. …"
19,32,1.0,"(Translated by Google) I swear the package was slow, the courier brought it to your address from 7 in the morning, until the evening the courier didn't show up even though the warehouse is close to home …"," I swear the package was slow, the courier brought it to your address from 7 in the morning, until the evening the courier didn't show up even though the warehouse is close to home …"," I swear the package was slow, the courier brought it to your address from 7 in the morning, until the evening the courier didn't show up even though the warehouse is close to home …"
20,33,1.0,"(Translated by Google) Until now, my package hasn't arrived in a very long time, even though it's been a day when it's stated that the package is being delivered by the courier. But didn't come …"," Until now, my package hasn't arrived in a very long time, even though it's been a day when it's stated that the package is being delivered by the courier. But didn't come …"," Until now, my package hasn't arrived in a very long time, even though it's been a day when it's stated that the package is being delivered by the courier. But didn't come …"
21,34,1.0,"(Translated by Google) Disappointing, Paraaahhhhh The item has been in SBY but 2 times the delivery has been canceled …"," Disappointing, Paraaahhhhh The item has been in SBY but 2 times the delivery has been canceled …"," Disappointing, Paraaahhhhh The item has been in SBY but 2 times the delivery has been canceled …"
22,35,1.0,(Translated by Google) Very long delivery.  (Original) Lama amat pengirimannya., Very long delivery.  (Original, Very long delivery.  
23,36,1.0,"(Translated by Google) The delivery took a long time and the courier arrived until 11 pm while sleeping again. Even though it was the same as Surabaya, it came 3 days, it was crazy, it was fixed again before opening shopeeexprss. Thank you …"," The delivery took a long time and the courier arrived until 11 pm while sleeping again. Even though it was the same as Surabaya, it came 3 days, it was crazy, it was fixed again before opening shopeeexprss. Thank you …"," The delivery took a long time and the courier arrived until 11 pm while sleeping again. Even though it was the same as Surabaya, it came 3 days, it was crazy, it was fixed again before opening shopeeexprss. Thank you …"
24,37,1.0,"(Translated by Google) I don't intend to make a delivery service, it's better not to do it first, cook the package under the courier at 06:15 am waiting for it until 17:00 it doesn't arrive, just close the delivery service, tahikkk …"," I don't intend to make a delivery service, it's better not to do it first, cook the package under the courier at 06:15 am waiting for it until 17:00 it doesn't arrive, just close the delivery service, tahikkk …"," I don't intend to make a delivery service, it's better not to do it first, cook the package under the courier at 06:15 am waiting for it until 17:00 it doesn't arrive, just close the delivery service, tahikkk …"
25,38,1.0,(Translated by Google) very long delivery  (Original) pengiriman lama bnget, very long delivery  (Original, very long delivery  
26,39,1.0,"(Translated by Google) I'm so confused what to say for this Expedition, 1. Deliver goods to someone else's address/home. (which is not my address) and just put it there who knows who received it, but it was written that I received …"," I'm so confused what to say for this Expedition, 1. Deliver goods to someone else's address/home. (which is not my address"," I'm so confused what to say for this Expedition, 1. Deliver goods to someone else's address/home. "
27,40,1.0,"(Translated by Google) slow delivery, same time with Surabaya area, up to 3 days wkwkwkwk what kind of expedition are you trying …"," slow delivery, same time with Surabaya area, up to 3 days wkwkwkwk what kind of expedition are you trying …"," slow delivery, same time with Surabaya area, up to 3 days wkwkwkwk what kind of expedition are you trying …"
28,41,1.0,(Translated by Google) Lemottttttttttttt  (Original) Lemottttttttttttt, Lemottttttttttttt  (Original, Lemottttttttttttt  
29,42,1.0,"(Translated by Google) The slowest delivery service ever. The name is express, the delivery quality is slow …"," The slowest delivery service ever. The name is express, the delivery quality is slow …"," The slowest delivery service ever. The name is express, the delivery quality is slow …"
30,43,1.0,"(Translated by Google) How about this, yesterday's 1 item arrived together, the 1st one was not sent, it's been 3 days, it's not clear how long it's been …"," How about this, yesterday's 1 item arrived together, the 1st one was not sent, it's been 3 days, it's not clear how long it's been …"," How about this, yesterday's 1 item arrived together, the 1st one was not sent, it's been 3 days, it's not clear how long it's been …"
31,44,1.0,"(Translated by Google) If you send it, don't take too long  (Original) …"," If you send it, don't take too long  (Original"," If you send it, don't take too long  "
32,45,1.0,(Translated by Google) Super poll sluggish  (Original) Leletnya super poll, Super poll sluggish  (Original, Super poll sluggish  
