,rating,reviews,sentiment
0,1.0,shope expres tai barang saya bisa ilang gitu gmna ceritanya woi ga amanah bgt kapok bgt pake shope expres,Neutral
1,1.0,ngga ada pergerakan selama sehari padahal udah di bandung dan aku pengiriman ke cimahi loh,Neutral
2,1.0,lama banget di gudang dc bandung paket saya di apain si disitu biasanya jakartabandung sehari nyampe kalo pake ekspedisi jt aku aja buru buru ini ke seller untuk dikirim saat itu juga eh malah lamanya di ekspedisi baru kali ini pake ...,Positive
3,1.0,lilaaaaaaaa barg mau pake hari ini g boasanya juga sehari dateng pagi ini baru first mile hub ga ancurrrr,Neutral
4,1.0,kacaauu kurir nyaa ga amanah,Neutral
5,4.0,nan,Neutral
6,1.0,bintang bgt hrsnya pengiriman nya bisa dua minggu,Neutral
7,2.0,nan,Neutral
8,1.0,udh barang ngga sampai tp kertrang nya barang terima oleh pemilik akun,Neutral
9,5.0,nan,Neutral
10,4.0,nan,Neutral
11,1.0,courier initial confirmation package put carelessly recipient question something lost ...,Negative
12,1.0,pengiriman super lama parah banget dari jumat siang di input barang sampe bandung sabtu subuh jam malah dikirim kurir hari minggu jam pagi dan belon sampe sampe siang ini kerjaan jadi ngegantung karena paket sparepart belon keterima,Positive
13,1.0,bad choose minus minus star value choose minus star ...,Negative
14,1.0,better delete courier expedition shopee shame customer disappointed ...,Negative
15,1.0,worst shipping service expedition archipelago delivery durable like pounded first night courier doesnt attitude doesnt excuse doesnt scream package go ...,Negative
16,3.0,nan,Neutral
17,1.0,sdh hari diterima kurir tp gak k alamat yg dituju hari pertama gagal dg alasan penerima tdk b dihubungi pdhal gak ad yg menghubungi sy alasan ngasal nih biasanya kurir dg jasa ekspedisi lain sllu wa sy jika diperlukan ...,Neutral
18,1.0,status received even though item received photo evidence courier hand haixx bad x shopee courier ...,Negative
19,1.0,im really lazy shopee express forget dont replace one ordered wont want use shopee express messy long delivery courier dropped point lazy pick ...,Negative
20,4.0,receipt number please send want use sent ...,Positive
21,3.0,im used knowing shopee exspress miss cake hadeuhhhh ...,Negative
22,5.0,great,Positive
23,1.0,day package courier package sent destination ...,Neutral
24,1.0,almost week item stuck really annoyed ...,Negative
25,3.0,nan,Neutral
26,1.0,long time stored long time sent address tired shopping shopee ...,Negative
27,1.0,long stupid courier,Negative
28,1.0,courier wasnt polite swore attitude playing sneaking house even though terrace house really new shoe dirty even though call package ...,Negative
29,1.0,please include branch office phonewhatsapp number ask courier number courier didnt confirmcall information received fact package ...,Positive
30,1.0,nan,Neutral
31,1.0,nan,Neutral
32,1.0,package playing taro people home like ...,Positive
33,1.0,whats package three day stuck bitch ...,Negative
34,1.0,missing photo put good crazy greatest expedition ...,Positive
