,word,count,clean1,Sentiment
0,call,25,call,Neutral
1,delivery,22,delivery,Neutral
2,bad,20,bad,Negative
3,day,14,day,Neutral
4,item,12,item,Neutral
5,service,10,service,Neutral
6,arrived,8,arrived,Neutral
7,still,8,still,Neutral
8,send,8,send,Neutral
9,yet,7,yet,Neutral
10,received,7,received,Neutral
11,person,7,person,Neutral
12,sent,7,sent,Neutral
13,terrible,7,terrible,Negative
14,number,7,number,Positive
15,work,6,work,Neutral
16,customer,6,customer,Neutral
17,havent,6,havent,Neutral
18,slow,6,slow,Neutral
19,check,6,check,Neutral
20,kerry,6,kerry,Neutral
21,product,6,product,Neutral
22,employee,6,employee,Neutral
23,staff,6,staff,Neutral
24,one,6,one,Neutral
25,contact,6,contact,Neutral
26,today,6,today,Neutral
27,dont,5,dont,Neutral
28,pick,5,pick,Neutral
29,since,5,since,Neutral
30,called,5,called,Neutral
31,stuff,5,stuff,Neutral
32,center,5,center,Neutral
33,company,5,company,Neutral
34,parcel,4,parcel,Neutral
35,box,4,box,Neutral
36,like,4,like,Positive
37,cant,4,cant,Neutral
38,shipping,4,shipping,Neutral
39,know,4,know,Neutral
40,tell,4,tell,Neutral
41,time,4,time,Neutral
42,answer,4,answer,Neutral
43,rotten,4,rotten,Negative
44,claim,4,claim,Neutral
45,place,4,place,Neutral
46,worst,4,worst,Negative
47,man,3,man,Neutral
48,calling,3,calling,Neutral
49,morning,3,morning,Neutral
50,jan,3,jan,Neutral
51,told,3,told,Neutral
52,address,3,address,Neutral
53,branch,3,branch,Neutral
54,u,3,u,Neutral
55,phone,3,phone,Neutral
56,deliver,3,deliver,Neutral
57,bangkok,3,bangkok,Neutral
58,come,3,come,Neutral
59,inform,3,inform,Neutral
60,ask,3,ask,Neutral
61,table,3,table,Neutral
62,hasnt,2,hasnt,Neutral
63,shipped,2,shipped,Neutral
64,closed,2,closed,Neutral
65,even,2,even,Neutral
66,though,2,though,Neutral
67,contacted,2,contacted,Neutral
68,total,2,total,Neutral
69,amount,2,amount,Neutral
70,baht,2,baht,Neutral
71,much,2,much,Neutral
72,broken,2,broken,Negative
73,every,2,every,Neutral
74,take,2,take,Neutral
75,destination,2,destination,Neutral
76,pay,2,pay,Negative
77,arrive,2,arrive,Neutral
78,wrong,2,wrong,Negative
79,area,2,area,Neutral
80,transport,2,transport,Neutral
81,management,2,management,Neutral
82,rayong,2,rayong,Neutral
83,province,2,province,Neutral
84,went,2,went,Neutral
85,doesnt,2,doesnt,Neutral
86,well,2,well,Positive
87,speaks,2,speaks,Neutral
88,met,2,met,Neutral
89,many,2,many,Neutral
90,trust,2,trust,Positive
91,make,2,make,Neutral
92,look,2,look,Neutral
93,poor,2,poor,Negative
94,put,2,put,Neutral
95,blame,2,blame,Negative
96,badly,2,badly,Negative
97,difficult,2,difficult,Negative
98,hang,2,hang,Neutral
99,receive,2,receive,Neutral
100,lot,2,lot,Neutral
101,irresponsible,2,irresponsible,Negative
102,suck,2,suck,Negative
103,system,2,system,Neutral
104,delivered,2,delivered,Neutral
105,shoot,2,shoot,Negative
106,july,2,july,Neutral
107,back,2,back,Neutral
108,confused,2,confused,Negative
109,money,2,money,Neutral
110,status,2,status,Neutral
111,can,2,,Neutral
112,not,2,,Neutral
113,going,2,going,Neutral
114,waited,2,waited,Neutral
115,talking,2,talking,Neutral
116,useless,2,useless,Negative
117,close,2,close,Neutral
118,find,2,find,Neutral
119,according,2,according,Neutral
120,let,2,let,Neutral
121,wait,2,wait,Neutral
122,fifty,2,fifty,Neutral
123,hotline,2,hotline,Neutral
124,warehouse,2,warehouse,Neutral
125,form,1,form,Neutral
126,sign,1,sign,Neutral
127,receives,1,receives,Neutral
128,habit,1,habit,Neutral
129,order,1,order,Neutral
130,sender,1,sender,Neutral
131,think,1,think,Neutral
132,shouldnt,1,shouldnt,Neutral
133,ugly,1,ugly,Negative
134,act,1,act,Neutral
135,almost,1,almost,Neutral
136,intentionally,1,intentionally,Neutral
137,collected,1,collected,Neutral
138,waiting,1,waiting,Neutral
139,online,1,online,Neutral
140,riding,1,riding,Neutral
141,motorcycle,1,motorcycle,Neutral
142,trying,1,trying,Neutral
143,expensive,1,expensive,Neutral
144,fee,1,fee,Neutral
145,friend,1,friend,Positive
146,written,1,written,Neutral
147,really,1,really,Neutral
148,lat,1,lat,Neutral
149,krabang,1,krabang,Neutral
150,compete,1,compete,Neutral
151,weak,1,weak,Negative
152,khao,1,khao,Neutral
153,chamao,1,chamao,Neutral
154,interested,1,interested,Positive
155,meet,1,meet,Neutral
156,bangkapi,1,bangkapi,Neutral
157,district,1,district,Neutral
158,ramkhamhaeng,1,ramkhamhaeng,Neutral
159,speak,1,speak,Neutral
160,bluntly,1,bluntly,Neutral
161,beat,1,beat,Neutral
162,flash,1,flash,Neutral
163,speedy,1,speedy,Neutral
164,disaster,1,disaster,Negative
165,provide,1,provide,Neutral
166,good,1,good,Positive
167,freight,1,freight,Neutral
168,forwarders,1,forwarders,Neutral
169,aware,1,aware,Neutral
170,worker,1,worker,Neutral
171,inattentive,1,inattentive,Neutral
172,youre,1,youre,Neutral
