,word,count,clean1,Sentiment
0,many,2,many,Neutral
1,go,2,go,Neutral
2,worth,1,worth,Positive
3,zero,1,zero,Neutral
4,star,1,star,Neutral
5,looted,1,looted,Neutral
6,recieved,1,recieved,Neutral
7,broken,1,broken,Negative
8,box,1,box,Neutral
9,haldf,1,haldf,Neutral
10,stuff,1,stuff,Neutral
11,got,1,got,Neutral
12,stolen,1,stolen,Negative
13,indian,1,indian,Neutral
14,team,1,team,Neutral
15,siam,1,siam,Neutral
16,shipping,1,shipping,Neutral
17,extremely,1,extremely,Neutral
18,slow,1,slow,Neutral
19,provide,1,provide,Neutral
20,feedback,1,feedback,Neutral
21,one,1,one,Neutral
22,telephone,1,telephone,Neutral
23,number,1,number,Positive
24,call,1,call,Neutral
25,unanswered,1,unanswered,Neutral
26,response,1,response,Neutral
27,time,1,time,Neutral
28,appalling,1,appalling,Negative
29,day,1,day,Neutral
30,without,1,without,Neutral
31,reply,1,reply,Neutral
32,never,1,never,Neutral
33,use,1,use,Neutral
34,ill,1,ill,Negative
35,obviously,1,obviously,Neutral
36,recommend,1,recommend,Positive
