,word,count,Sentiment
0,...,23,Neutral
1,jne,16,Neutral
2,slow,15,Neutral
3,batam,13,Neutral
4,long,12,Neutral
5,delivery,12,Neutral
6,bad,11,Negative
7,package,8,Neutral
8,service,8,Neutral
9,time,8,Neutral
10,use,6,Neutral
11,good,6,Positive
12,week,6,Neutral
13,really,5,Neutral
14,customer,5,Neutral
15,dont,5,Neutral
16,using,5,Neutral
17,day,4,Neutral
18,still,4,Neutral
19,want,4,Positive
20,first,4,Neutral
21,work,3,Neutral
22,send,3,Neutral
23,crazy,3,Negative
24,took,3,Neutral
25,even,3,Neutral
26,longer,3,Neutral
27,one,3,Neutral
28,shop,3,Neutral
29,disappointed,3,Negative
30,please,3,Positive
31,shopee,3,Neutral
32,item,3,Neutral
33,overload,3,Negative
34,reason,3,Neutral
35,july,3,Neutral
36,better,2,Positive
37,jakarta,2,Neutral
38,place,2,Neutral
39,didnt,2,Neutral
40,order,2,Neutral
41,stuff,2,Neutral
42,already,2,Neutral
43,know,2,Neutral
44,expedition,2,Neutral
45,option,2,Neutral
46,another,2,Neutral
47,sent,2,Neutral
48,people,2,Neutral
49,many,2,Neutral
50,complaining,2,Negative
51,poor,2,Negative
52,doesnt,2,Neutral
53,answer,2,Neutral
54,hasnt,2,Neutral
55,also,2,Neutral
56,online,2,Neutral
57,late,2,Neutral
58,dec,2,Neutral
59,super,2,Positive
60,delivering,2,Neutral
61,na,2,Neutral
62,worst,2,Negative
63,njir,1,Neutral
64,point,1,Neutral
65,useless,1,Negative
66,contact,1,Neutral
67,picked,1,Neutral
68,complained,1,Negative
69,told,1,Neutral
70,wait,1,Neutral
71,document,1,Neutral
72,incidentally,1,Neutral
73,include,1,Neutral
74,taxable,1,Neutral
75,drop,1,Negative
76,shipping,1,Neutral
77,counter,1,Neutral
78,sorting,1,Neutral
79,process,1,Neutral
80,tiban,1,Neutral
81,center,1,Neutral
82,edannnnn,1,Neutral
83,since,1,Neutral
84,moving,1,Neutral
85,never,1,Neutral
86,worked,1,Neutral
87,slowly,1,Neutral
88,period,1,Neutral
89,delayed,1,Negative
90,right,1,Neutral
91,thing,1,Neutral
92,consumer,1,Neutral
93,satisfied,1,Positive
94,get,1,Neutral
95,loss,1,Negative
96,anymore,1,Neutral
97,close,1,Neutral
98,wont,1,Neutral
99,last,1,Neutral
100,regular,1,Neutral
101,pekanbaru,1,Neutral
102,tracking,1,Neutral
103,yet,1,Neutral
104,come,1,Neutral
105,huh,1,Neutral
106,sorted,1,Neutral
107,phone,1,Neutral
108,rejected,1,Negative
109,continued,1,Neutral
110,professional,1,Neutral
111,choice,1,Neutral
112,go,1,Neutral
113,detained,1,Negative
114,follow,1,Neutral
115,holding,1,Neutral
116,pay,1,Negative
117,attention,1,Neutral
118,arrival,1,Neutral
119,followup,1,Neutral
120,exchanged,1,Neutral
121,must,1,Neutral
122,complain,1,Negative
123,satisfying,1,Positive
124,severe,1,Negative
125,lose,1,Negative
126,month,1,Neutral
127,cancel,1,Negative
128,coyyyy,1,Neutral
129,make,1,Neutral
130,anyone,1,Neutral
131,cool,1,Positive
132,regret,1,Negative
133,suggest,1,Neutral
134,seller,1,Neutral
135,buyer,1,Neutral
136,arrived,1,Neutral
137,contacted,1,Neutral
138,response,1,Neutral
139,stop,1,Negative
140,think,1,Neutral
141,due,1,Neutral
142,fact,1,Neutral
143,purchased,1,Neutral
144,including,1,Neutral
145,tp,1,Neutral
146,every,1,Neutral
147,call,1,Neutral
148,ever,1,Neutral
149,often,1,Neutral
150,delivered,1,Neutral
151,afternoon,1,Neutral
152,evening,1,Neutral
153,office,1,Neutral
154,closed,1,Neutral
155,address,1,Neutral
156,included,1,Neutral
157,cellphone,1,Neutral
158,moved,1,Neutral
159,courier,1,Neutral
160,given,1,Neutral
161,flawed,1,Negative
162,said,1,Neutral
163,understand,1,Neutral
164,condition,1,Neutral
165,blablabla,1,Neutral
166,whatever,1,Neutral
167,job,1,Neutral
168,mean,1,Neutral
169,arrive,1,Neutral
170,guy,1,Neutral
171,longest,1,Neutral
172,youre,1,Neutral
173,quickly,1,Neutral
174,losing,1,Negative
175,shipment,1,Neutral
176,abroad,1,Neutral
177,fix,1,Neutral
178,whats,1,Neutral
179,fate,1,Neutral
180,aware,1,Neutral
181,wan,1,Neutral
182,shopping,1,Neutral
183,would,1,Neutral
184,freak,1,Negative
185,gon,1,Neutral
186,tell,1,Neutral
187,waiting,1,Neutral
188,nonsense,1,Negative
189,disappointing,1,Negative
190,damaged,1,Negative
191,hadeh,1,Neutral
192,little,1,Neutral
193,bit,1,Neutral
194,respond,1,Neutral
195,jnt,1,Neutral
196,cant,1,Neutral
197,responsible,1,Positive
198,difficult,1,Negative
199,operate,1,Neutral
200,always,1,Neutral
201,stuck,1,Negative
202,made,1,Neutral
203,worse,1,Negative
204,overlod,1,Neutral
205,accept,1,Positive
206,end,1,Neutral
207,accommodated,1,Neutral
208,nothing,1,Neutral
209,finished,1,Neutral
210,profit,1,Positive
211,disappoint,1,Negative
212,stay,1,Neutral
213,flight,1,Neutral
214,annoying,1,Negative
