,rating,Late reviews,sentiment
6,1.0,njir bad really slow point use jne ...,Negative
12,1.0,better use jne useless slow work contact picked complained told wait ...,Negative
15,1.0,send document incidentally include taxable good crazy long drop shipping jne counter day still sorting process jne tiban center edannnnn ...,Negative
33,1.0,bad long day since package moving ...,Negative
53,1.0,jne never worked slowly good period jakarta delayed day place right thing consumer satisfied ...,Negative
116,1.0,bad service slow delivery,Negative
131,1.0,took long get loss customer took long customer didnt want order anymore close dont want send good wont even last week ...,Negative
148,1.0,delivery slow use regular jne batam pekanbaru week package tracking yet come batam bad ...,Negative
157,1.0,service bad slow delivery huh,Negative
164,1.0,jne really bad stuff already day still sorted batam longer using jne really dont know service expedition option send another one shop dont use ...,Negative
171,1.0,crazy package already week still sent phone rejected continued work people professional slow another choice shop better go ...,Negative
217,1.0,disappointed package week detained batam follow holding please pay attention many customer complaining long arrival ...,Negative
237,1.0,poor service complaining long followup good exchanged must complain place satisfying ...,Negative
288,1.0,severe long delivery,Negative
290,1.0,poor delivery doesnt want lose month time customer cancel coyyyy long shopee item answer doesnt make anyone cool ...,Negative
320,1.0,regret using expedition option suggest seller buyer use service item hasnt arrived long time also contacted response ...,Negative
335,1.0,jne batam overload stop first think package due fact many people disappointed item purchased online long time including tp jne jakarta delivery ...,Negative
336,1.0,service bad every time call one ever answer package often delivered late afternoon evening office closed package address also included cellphone ...,Negative
396,1.0,longer using jne batam order shopee dec dec hasnt moved jne batam crazy first time using courier time given ...,Negative
402,1.0,flawed said please understand condition blablabla whatever job late mean work slow didnt arrive week slow guy ...,Negative
403,1.0,really bad first time shop shopee delivery batam use jne longest youre quickly losing shipment abroad please fix dont know whats fate ...,Negative
407,1.0,super slow delivering time aware wan na online shopping batam delivering using jne would freak slow delivery service one reason gon na tell overload even waiting week nonsense,Negative
453,1.0,delivery batam took long disappointing,Negative
464,1.0,jne bad super bad good damaged delivery slow hadeh ...,Negative
509,3.0,bad little bit slow respond,Negative
516,1.0,jne even jnt batam cant responsible delivery longer difficult operate ...,Negative
537,1.0,stuff always stuck long batam worst worst ...,Negative
541,1.0,delivery slow made disappointed,Negative
544,1.0,worse slow package service overlod dont accept first end accommodated nothing finished want profit disappoint customer ...,Negative
548,1.0,good sent july july july still stay batam reason overload reason slow flight really annoying ...,Negative
