,word,count,Sentiment
0,...,50,Neutral
1,long,32,Neutral
2,package,20,Neutral
3,day,19,Neutral
4,delivery,18,Neutral
5,time,17,Neutral
6,slow,15,Neutral
7,service,11,Neutral
8,bad,11,Negative
9,even,11,Neutral
10,express,11,Neutral
11,use,10,Neutral
12,expedition,10,Neutral
13,good,10,Positive
14,really,10,Neutral
15,jt,10,Positive
16,courier,9,Neutral
17,sent,8,Neutral
18,still,8,Neutral
19,arrived,8,Neutral
20,disappointed,7,Negative
21,item,6,Neutral
22,arrive,6,Neutral
23,though,6,Neutral
24,take,6,Neutral
25,shipping,6,Neutral
26,dont,6,Neutral
27,want,5,Positive
28,using,5,Neutral
29,jakarta,5,Neutral
30,lose,5,Negative
31,took,5,Neutral
32,j,5,Neutral
33,worst,4,Negative
34,destination,4,Neutral
35,fast,4,Neutral
36,c,4,Neutral
37,already,4,Neutral
38,give,4,Neutral
39,hasnt,3,Neutral
40,received,3,Neutral
41,delayed,3,Negative
42,wait,3,Neutral
43,often,3,Neutral
44,late,3,Neutral
45,turn,3,Neutral
46,worse,3,Negative
47,many,3,Neutral
48,im,3,Neutral
49,delivered,3,Neutral
50,didnt,3,Neutral
51,crazy,3,Negative
52,sorting,3,Neutral
53,bandung,3,Neutral
54,usually,3,Neutral
55,drop,3,Negative
56,new,3,Neutral
57,solution,3,Positive
58,make,3,Neutral
59,longest,3,Neutral
60,dc,3,Neutral
61,move,3,Neutral
62,one,3,Neutral
63,next,3,Neutral
64,said,3,Neutral
65,regular,3,Neutral
66,need,3,Neutral
67,jnt,3,Neutral
68,seller,3,Neutral
69,later,2,Neutral
70,unprofessional,2,Negative
71,customer,2,Neutral
72,company,2,Neutral
73,problem,2,Negative
74,say,2,Neutral
75,almost,2,Neutral
76,month,2,Neutral
77,know,2,Neutral
78,irresponsible,2,Negative
79,address,2,Neutral
80,week,2,Neutral
81,lost,2,Negative
82,complained,2,Negative
83,call,2,Neutral
84,update,2,Neutral
85,period,2,Neutral
86,center,2,Neutral
87,much,2,Neutral
88,phone,2,Neutral
89,receipt,2,Neutral
90,always,2,Neutral
91,shipment,2,Neutral
92,whats,2,Neutral
93,let,2,Neutral
94,close,2,Neutral
95,yet,2,Neutral
96,application,2,Neutral
97,choice,2,Neutral
98,thats,2,Neutral
99,slowly,2,Neutral
100,jne,2,Neutral
101,doesnt,2,Neutral
102,point,2,Neutral
103,monday,2,Neutral
104,city,2,Neutral
105,door,2,Neutral
106,people,2,Neutral
107,first,2,Neutral
108,longer,2,Neutral
109,grogol,2,Neutral
110,twice,2,Neutral
111,wrong,2,Negative
112,warehouse,2,Neutral
113,told,2,Neutral
114,send,2,Neutral
115,must,2,Neutral
116,star,2,Neutral
117,expensive,2,Neutral
118,disappointing,2,Negative
119,instead,2,Neutral
120,sorry,2,Negative
121,lazy,2,Negative
122,youll,1,Neutral
123,regret,1,Negative
124,experience,1,Neutral
125,december,1,Neutral
