,word,count,Sentiment
0,...,90,Neutral
1,long,62,Neutral
2,time,58,Neutral
3,package,48,Neutral
4,service,48,Neutral
5,ninja,48,Neutral
6,delivery,38,Neutral
7,slow,32,Neutral
8,bad,30,Negative
9,use,28,Neutral
10,courier,26,Neutral
11,expedition,22,Neutral
12,day,22,Neutral
13,disappointed,22,Negative
14,really,22,Neutral
15,using,22,Neutral
16,express,20,Neutral
17,want,20,Positive
18,even,20,Neutral
19,like,14,Positive
20,one,14,Neutral
21,took,14,Neutral
22,arrived,14,Neutral
23,sent,14,Neutral
24,late,12,Neutral
25,dont,12,Neutral
26,star,12,Neutral
27,pick,12,Neutral
28,many,12,Neutral
29,work,10,Neutral
30,send,10,Neutral
31,first,10,Neutral
32,arrive,10,Neutral
33,didnt,10,Neutral
34,though,10,Neutral
35,already,10,Neutral
36,disappointing,10,Negative
37,week,8,Neutral
38,another,8,Neutral
39,c,8,Neutral
40,status,8,Neutral
41,still,8,Neutral
42,always,8,Neutral
43,yet,8,Neutral
44,afternoon,8,Neutral
45,jakarta,8,Neutral
46,name,8,Neutral
47,order,8,Neutral
48,seller,8,Neutral
49,take,8,Neutral
50,good,8,Positive
51,crazy,8,Negative
52,bekasi,6,Neutral
53,online,6,Neutral
54,night,6,Neutral
55,failed,6,Negative
56,last,6,Neutral
57,pickup,6,Neutral
58,stuff,6,Neutral
59,instead,6,Neutral
60,xpress,6,Neutral
61,old,6,Neutral
62,city,6,Neutral
63,information,6,Neutral
64,shipping,6,Neutral
65,change,6,Neutral
66,picked,6,Neutral
67,new,6,Neutral
68,complaint,6,Negative
69,later,6,Neutral
70,shopping,6,Neutral
71,july,6,Neutral
72,check,6,Neutral
73,worst,6,Negative
74,ago,6,Neutral
75,kaga,6,Neutral
76,sorting,6,Neutral
77,close,6,Neutral
78,response,6,Neutral
79,oath,4,Neutral
80,give,4,Neutral
81,choosing,4,Neutral
82,problem,4,Negative
83,recommend,4,Positive
84,way,4,Neutral
85,gave,4,Neutral
86,call,4,Neutral
87,wrong,4,Negative
88,month,4,Neutral
89,im,4,Neutral
90,used,4,Neutral
91,longest,4,Neutral
92,badly,4,Negative
93,unclear,4,Negative
94,got,4,Neutral
95,email,4,Neutral
96,yesterday,4,Neutral
97,arrives,4,Neutral
98,come,4,Neutral
99,severe,4,Negative
100,address,4,Neutral
101,ask,4,Neutral
102,hasnt,4,Neutral
103,directly,4,Neutral
104,partner,4,Neutral
105,turned,4,Neutral
106,fast,4,Neutral
107,onion,4,Neutral
108,abroad,4,Neutral
109,doesnt,4,Neutral
110,dated,4,Neutral
111,pa,4,Neutral
112,ga,4,Neutral
113,complain,4,Negative
114,lazada,4,Neutral
115,lost,4,Negative
116,know,4,Neutral
117,regret,4,Negative
118,hub,4,Neutral
119,called,4,Neutral
120,pasuruan,4,Neutral
121,kapok,4,Neutral
122,customer,4,Neutral
123,recipient,4,Neutral
124,sale,4,Neutral
125,kg,4,Neutral
126,antered,2,Neutral
127,right,2,Neutral
128,anter,2,Neutral
129,never,2,Neutral
130,pake,2,Neutral
131,intention,2,Neutral
132,cikarang,2,Neutral
133,maybe,2,Neutral
134,store,2,Neutral
135,would,2,Neutral
136,choose,2,Neutral
137,slowness,2,Neutral
138,sting,2,Neutral
139,death,2,Negative
140,estimate,2,Neutral
141,normal,2,Neutral
142,ninjaid,2,Neutral
143,seemed,2,Neutral
144,cheat,2,Negative
145,deliver,2,Neutral
146,paid,2,Neutral
147,thousand,2,Neutral
148,said,2,Neutral
149,contact,2,Neutral
150,hadeeuh,2,Neutral
151,employee,2,Neutral
152,sure,2,Positive
153,twice,2,Neutral
154,lateness,2,Neutral
155,next,2,Neutral
156,priority,2,Neutral
157,tried,2,Neutral
158,waiting,2,Neutral
159,running,2,Neutral
160,reprimanded,2,Neutral
161,start,2,Neutral
162,playing,2,Positive
163,high,2,Neutral
164,school,2,Neutral
165,little,2,Neutral
166,wouldnt,2,Neutral
167,real,2,Neutral
168,nearly,2,Neutral
169,changed,2,Neutral
170,snail,2,Neutral
171,wow,2,Positive
172,stop,2,Negative
173,moving,2,Neutral
174,sad,2,Negative
175,bro,2,Neutral
176,supposed,2,Neutral
177,trade,2,Neutral
178,hadehhh,2,Neutral
179,gimna,2,Neutral
180,si,2,Neutral
181,ship,2,Neutral
182,march,2,Neutral
183,outside,2,Neutral
184,lack,2,Negative
185,solution,2,Positive
186,original,2,Positive
187,worse,2,Negative
188,move,2,Neutral
189,monday,2,Neutral
190,bandung,2,Neutral
191,friday,2,Neutral
192,telephoned,2,Neutral
193,asking,2,Neutral
194,umpteenth,2,Neutral
195,thursday,2,Neutral
196,tlp,2,Neutral
197,ad,2,Neutral
198,according,2,Neutral
199,schedule,2,Neutral
200,huftt,2,Neutral
201,fake,2,Negative
202,report,2,Neutral
203,operating,2,Neutral
204,hour,2,Neutral
205,pm,2,Neutral
206,expecting,2,Neutral
207,far,2,Neutral
208,expected,2,Neutral
209,fact,2,Neutral
210,year,2,Neutral
211,buy,2,Neutral
212,red,2,Neutral
213,eeeh,2,Neutral
214,strayed,2,Neutral
215,north,2,Neutral
216,etc,2,Neutral
217,finally,2,Neutral
218,think,2,Neutral
219,feel,2,Neutral
220,annoying,2,Negative
221,ordered,2,Neutral
222,estimation,2,Neutral
223,received,2,Neutral
224,cek,2,Neutral
