,word,count,Sentiment
0,...,20,Neutral
1,time,11,Neutral
2,package,11,Neutral
3,long,9,Neutral
4,day,9,Neutral
5,service,7,Neutral
6,late,6,Neutral
7,bad,5,Negative
8,courier,5,Neutral
9,even,5,Neutral
10,though,5,Neutral
11,c,4,Neutral
12,really,4,Neutral
13,via,4,Neutral
14,response,4,Neutral
15,pickup,4,Neutral
16,paxel,4,Neutral
17,first,3,Neutral
18,hour,3,Neutral
19,wait,3,Neutral
20,delivery,3,Neutral
21,one,3,Neutral
22,disappointing,3,Negative
23,food,3,Neutral
24,said,3,Neutral
25,application,2,Neutral
26,answered,2,Neutral
27,longer,2,Neutral
28,contact,2,Neutral
29,contacted,2,Neutral
30,lost,2,Negative
31,wa,2,Neutral
32,address,2,Neutral
33,call,2,Neutral
34,say,2,Neutral
35,pick,2,Neutral
36,still,2,Neutral
37,delivered,2,Neutral
38,take,2,Neutral
39,can,2,Neutral
40,not,2,Neutral
41,schedule,2,Neutral
42,customer,2,Neutral
43,reached,2,Positive
44,slow,2,Neutral
45,expedition,2,Neutral
46,send,2,Neutral
47,professional,2,Neutral
48,arrive,2,Neutral
49,crazy,2,Negative
50,arrived,2,Neutral
51,took,2,Neutral
52,also,2,Neutral
53,reason,2,Neutral
54,situation,2,Neutral
55,shipping,2,Neutral
56,used,2,Neutral
57,answer,2,Neutral
58,keep,2,Neutral
59,using,2,Neutral
60,order,2,Neutral
61,item,2,Neutral
62,clearcs,1,Neutral
63,doesnt,1,Neutral
64,helpthe,1,Neutral
65,bot,1,Neutral
66,queuing,1,Neutral
67,before,1,Neutral
68,person,1,Neutral
69,want,1,Positive
70,try,1,Neutral
71,way,1,Neutral
72,use,1,Neutral
73,email,1,Neutral
74,paraaaahhhhhh,1,Neutral
75,morning,1,Neutral
76,set,1,Neutral
77,canceled,1,Neutral
78,unilaterally,1,Neutral
79,couldnt,1,Neutral
80,find,1,Neutral
81,didnt,1,Neutral
82,played,1,Positive
83,cancel,1,Negative
84,lazy,1,Negative
85,although,1,Neutral
86,proof,1,Neutral
87,black,1,Neutral
88,picture,1,Neutral
89,signature,1,Neutral
90,cross,1,Neutral
91,company,1,Neutral
92,big,1,Neutral
93,fraud,1,Negative
94,severe,1,Negative
95,super,1,Positive
96,duper,1,Neutral
97,professionalnot,1,Neutral
98,timeno,1,Neutral
99,nmr,1,Neutral
100,cmb,1,Neutral
101,wabut,1,Neutral
102,pkbanget,1,Neutral
103,recommended,1,Positive
104,contect,1,Neutral
105,center,1,Neutral
106,whatsapp,1,Neutral
107,entered,1,Neutral
108,blacklist,1,Neutral
109,anteraja,1,Neutral
110,jne,1,Neutral
111,give,1,Neutral
112,confirmation,1,Neutral
113,cant,1,Neutral
114,swapped,1,Neutral
115,already,1,Neutral
116,clear,1,Positive
117,box,1,Neutral
118,tap,1,Neutral
119,jakarta,1,Neutral
120,bandung,1,Neutral
121,phone,1,Neutral
122,clearly,1,Positive
123,written,1,Neutral
124,wrong,1,Negative
125,district,1,Neutral
126,google,1,Neutral
127,map,1,Neutral
128,jabodetabek,1,Neutral
129,fellow,1,Neutral
130,shipment,1,Neutral
131,completely,1,Neutral
132,unaware,1,Negative
133,must,1,Neutral
134,faster,1,Neutral
135,price,1,Neutral
136,cheap,1,Neutral
137,expensive,1,Neutral
138,worse,1,Negative
139,later,1,Neutral
140,confirmed,1,Neutral
141,full,1,Neutral
142,stored,1,Neutral
143,fridge,1,Neutral
144,arriving,1,Neutral
145,stressful,1,Negative
146,sour,1,Neutral
147,worst,1,Negative
148,ever,1,Neutral
149,transit,1,Neutral
150,status,1,Neutral
151,continues,1,Neutral
152,dm,1,Neutral
153,stuck,1,Negative
154,taken,1,Neutral
155,twice,1,Neutral
156,packet,1,Neutral
157,loss,1,Negative
158,delay,1,Negative
159,according,1,Neutral
160,specified,1,Neutral
161,thats,1,Neutral
162,merchandise,1,Neutral
163,repeatedly,1,Neutral
164,rejected,1,Negative
165,waited,1,Neutral
166,tll,1,Neutral
167,never,1,Neutral
168,came,1,Neutral
169,always,1,Neutral
170,prepared,1,Positive
171,sell,1,Neutral
172,frozen,1,Neutral
173,due,1,Neutral
174,pandemi,1,Neutral
175,covid,1,Neutral
176,people,1,Neutral
177,seems,1,Neutral
178,ready,1,Positive
179,anticipate,1,Neutral
180,cancelled,1,Negative
181,delayed,1,Negative
182,upuntil,1,Neutral
183,track,1,Neutral
184,dont,1,Neutral
185,understand,1,Neutral
186,purpose,1,Neutral
187,developer,1,Neutral
188,owner,1,Neutral
189,crash,1,Negative
190,hang,1,Neutral
191,error,1,Negative
192,especially,1,Neutral
193,promo,1,Neutral
194,ad,1,Neutral
195,appear,1,Neutral
196,going,1,Neutral
197,case,1,Neutral
198,regret,1,Negative
199,hasnt,1,Neutral
200,last,1,Neutral
201,waiting,1,Neutral
202,computer,1,Neutral
203,telephone,1,Neutral
204,drop,1,Negative
205,ontime,1,Neutral
