,word,count,Sentiment
0,...,58,Neutral
1,long,50,Neutral
2,time,40,Neutral
3,really,26,Neutral
4,delivery,25,Neutral
5,package,25,Neutral
6,bad,20,Negative
7,shopee,19,Neutral
8,express,19,Neutral
9,bandung,17,Neutral
10,day,17,Neutral
11,courier,16,Neutral
12,service,15,Neutral
13,slow,15,Neutral
14,even,14,Neutral
15,arrived,12,Neutral
16,item,12,Neutral
17,dont,11,Neutral
18,sent,10,Neutral
19,took,10,Neutral
20,using,9,Neutral
21,expedition,9,Neutral
22,though,9,Neutral
23,use,8,Neutral
24,disappointed,8,Negative
25,want,7,Positive
26,still,7,Neutral
27,late,6,Neutral
28,take,6,Neutral
29,waiting,6,Neutral
30,im,5,Neutral
31,lazy,5,Negative
32,one,5,Neutral
33,address,5,Neutral
34,estimated,5,Neutral
35,doesnt,5,Neutral
36,didnt,5,Neutral
37,send,5,Neutral
38,tired,4,Negative
39,ive,4,Neutral
40,used,4,Neutral
41,know,4,Neutral
42,night,4,Neutral
43,good,4,Positive
44,right,4,Neutral
45,swear,4,Negative
46,already,4,Neutral
47,please,4,Positive
48,arrive,4,Neutral
49,hub,4,Neutral
50,crazy,4,Negative
51,sending,4,Neutral
52,stupid,3,Negative
53,review,3,Neutral
54,negative,3,Negative
55,regret,3,Negative
56,first,3,Neutral
57,last,3,Neutral
58,like,3,Positive
59,hour,3,Neutral
60,always,3,Neutral
61,stuck,3,Negative
62,taking,3,Neutral
63,come,3,Neutral
64,slowest,3,Neutral
65,failed,3,Negative
66,name,3,Neutral
67,morning,3,Neutral
68,much,3,Neutral
69,ordered,2,Neutral
70,point,2,Neutral
71,yet,2,Neutral
72,week,2,Neutral
73,worse,2,Negative
74,shipping,2,Neutral
75,call,2,Neutral
76,also,2,Neutral
77,status,2,Neutral
78,home,2,Neutral
79,every,2,Neutral
80,problem,2,Negative
81,lost,2,Negative
82,disappointing,2,Negative
83,warehouse,2,Neutral
84,instead,2,Neutral
85,delivered,2,Neutral
86,strange,2,Negative
87,wait,2,Neutral
88,go,2,Neutral
89,clear,2,Positive
90,city,2,Neutral
91,whats,2,Neutral
92,dc,2,Neutral
93,there,2,Neutral
94,change,2,Neutral
95,changed,2,Neutral
96,going,2,Neutral
97,evening,2,Neutral
98,complaint,2,Negative
99,others,2,Neutral
100,move,2,Neutral
101,shoppe,2,Neutral
102,came,2,Neutral
103,date,2,Neutral
104,actually,2,Neutral
105,company,2,Neutral
106,close,2,Neutral
107,anymore,2,Neutral
108,many,2,Neutral
109,give,2,Neutral
110,need,2,Neutral
111,bekasi,2,Neutral
112,stay,2,Neutral
113,gatau,2,Neutral
114,bdg,2,Neutral
115,order,2,Neutral
116,forget,1,Negative
117,replace,1,Neutral
118,wont,1,Neutral
119,messy,1,Negative
120,dropped,1,Neutral
121,pick,1,Neutral
122,stored,1,Neutral
123,shopping,1,Neutral
124,huh,1,Neutral
125,maybe,1,Neutral
126,feedback,1,Neutral
127,foam,1,Neutral
128,consumer,1,Neutral
129,inputfeed,1,Neutral
130,kdp,1,Neutral
131,fixed,1,Neutral
132,wow,1,Positive
133,makassar,1,Neutral
134,keep,1,Neutral
135,njirr,1,Neutral
136,useless,1,Negative
137,bgst,1,Neutral
138,experience,1,Neutral
139,impolite,1,Negative
140,language,1,Neutral
141,high,1,Neutral
142,tone,1,Neutral
143,road,1,Neutral
144,knock,1,Neutral
145,door,1,Neutral
146,management,1,Neutral
147,c,1,Neutral
148,never,1,Neutral
149,responds,1,Neutral
150,answered,1,Neutral
151,transported,1,Neutral
152,department,1,Neutral
153,away,1,Neutral
154,regular,1,Neutral
155,period,1,Neutral
156,thats,1,Neutral
157,noon,1,Neutral
158,update,1,Neutral
159,tell,1,Neutral
160,deposited,1,Neutral
161,office,1,Neutral
162,least,1,Neutral
163,let,1,Neutral
164,via,1,Neutral
165,whatsapp,1,Neutral
166,chat,1,Neutral
167,markerplace,1,Neutral
168,marketplace,1,Neutral
169,bother,1,Negative
170,joining,1,Neutral
171,performance,1,Neutral
172,chaotic,1,Negative
173,match,1,Neutral
174,estimate,1,Neutral
175,greedy,1,Negative
176,since,1,Neutral
177,unprofessional,1,Negative
178,progressed,1,Neutral
179,sorting,1,Neutral
180,received,1,Neutral
181,twice,1,Neutral
182,hello,1,Neutral
183,passed,1,Neutral
184,hasnt,1,Neutral
185,feel,1,Neutral
186,another,1,Neutral
187,longest,1,Neutral
188,working,1,Neutral
189,workplace,1,Neutral
190,food,1,Neutral
191,getting,1,Neutral
192,uninstalled,1,Neutral
193,tokped,1,Neutral
194,byee,1,Neutral
195,stop,1,Negative
196,forced,1,Negative
197,people,1,Neutral
198,play,1,Positive
199,pdhl,1,Neutral
200,jktbdg,1,Neutral
201,weird,1,Negative
202,stock,1,Neutral
203,north,1,Neutral
204,seller,1,Neutral
205,poor,1,Negative
206,buy,1,Neutral
207,store,1,Neutral
208,cant,1,Neutral
209,choose,1,Neutral
210,yesterday,1,Neutral
211,arriving,1,Neutral
212,returned,1,Neutral
213,although,1,Neutral
214,significant,1,Positive
215,follow,1,Neutral
216,worst,1,Negative
217,among,1,Neutral
218,usually,1,Neutral
219,location,1,Neutral
220,le,1,Neutral
221,ganyampe,1,Neutral
222,get,1,Neutral
223,example,1,Neutral
224,woooyy,1,Neutral
225,may,1,Neutral
226,sorry,1,Negative
227,nyesallll,1,Neutral
228,worker,1,Neutral
229,news,1,Neutral
230,shop,1,Neutral
231,according,1,Neutral
232,halu,1,Neutral
233,god,1,Positive
234,checked,1,Neutral
235,receipt,1,Neutral
236,trowel,1,Neutral
237,irresponsible,1,Negative
238,trustworthy,1,Positive
239,riandy,1,Neutral
240,alfauzi,1,Neutral
241,cikalong,1,Neutral
242,path,1,Neutral
243,work,1,Neutral
244,intention,1,Neutral
245,courage,1,Positive
246,compete,1,Neutral
247,start,1,Neutral
248,next,1,Neutral
249,spread,1,Neutral
250,casually,1,Positive
251,amp,1,Neutral
252,recommended,1,Positive
253,taken,1,Neutral
254,longer,1,Neutral
255,najisss,1,Neutral
256,amy,1,Neutral
257,bagong,1,Neutral
258,ahhh,1,Neutral
259,employee,1,Neutral
260,dajjals,1,Neutral
261,child,1,Neutral
262,continues,1,Neutral
263,fail,1,Negative
264,said,1,Neutral
265,recipient,1,Neutral
266,fails,1,Negative
267,impression,1,Positive
268,broken,1,Negative
269,sale,1,Neutral
270,mah,1,Neutral
271,bdgbdg,1,Neutral
272,abroad,1,Neutral
273,reason,1,Neutral
274,canceled,1,Neutral
275,complain,1,Negative
276,tracked,1,Neutral
277,wasnt,1,Neutral
278,duhh,1,Neutral
279,gimna,1,Neutral
280,yes,1,Positive
281,monopoly,1,Neutral
282,managed,1,Neutral
283,must,1,Neutral
284,patient,1,Neutral
285,ugly,1,Negative
286,beud,1,Neutral
287,ga,1,Neutral
288,professional,1,Neutral
289,judge,1,Neutral
290,possible,1,Neutral
291,star,1,Neutral
292,ill,1,Negative
293,different,1,Neutral
294,adding,1,Neutral
295,shipment,1,Neutral
296,can,1,Neutral
297,not,1,Neutral
298,today,1,Neutral
299,later,1,Neutral
300,parahhhh,1,Neutral
301,jkt,1,Neutral
302,terua,1,Neutral
303,run,1,Neutral
304,surabaya,1,Neutral
305,open,1,Neutral
306,set,1,Neutral
307,j,1,Neutral
308,jne,1,Neutral
309,havent,1,Neutral
310,number,1,Positive
311,brought,1,Neutral
312,show,1,Neutral
313,true,1,Positive
314,sop,1,Neutral
315,deliver,1,Neutral
316,prioritize,1,Neutral
317,lose,1,Negative
318,competition,1,Neutral
319,disappointedaaaaaaa,1,Neutral
320,pwolll,1,Neutral
321,slowttttttttttt,1,Neutral
322,oath,1,Neutral
323,annoyed,1,Negative
324,sbys,1,Neutral
325,admin,1,Neutral
326,chatting,1,Neutral
327,reply,1,Neutral
328,given,1,Neutral
329,spare,1,Neutral
330,online,1,Neutral
331,tight,1,Neutral
332,thought,1,Neutral
333,po,1,Negative
334,indonesia,1,Neutral
335,fact,1,Neutral
336,slower,1,Neutral
337,contact,1,Neutral
338,customer,1,Neutral
339,bondo,1,Neutral
340,cook,1,Neutral
341,say,1,Neutral
342,buyer,1,Neutral
343,reschedule,1,Neutral
344,ask,1,Neutral
345,direschedule,1,Neutral
346,padhal,1,Neutral
347,house,1,Neutral
348,easy,1,Positive
349,find,1,Neutral
350,within,1,Neutral
351,insufficient,1,Neutral
352,repair,1,Neutral
353,disappoint,1,Negative
354,cstmers,1,Neutral
355,badly,1,Negative
356,confirmation,1,Neutral
357,sender,1,Neutral
