,rating,Late reviews,sentiment
19,1.0,im really lazy shopee express forget dont replace one ordered wont want use shopee express messy long delivery courier dropped point lazy pick ...,Negative
26,1.0,long time stored long time sent address tired shopping shopee ...,Negative
27,1.0,long stupid courier,Negative
50,5.0,review negative huh ive using shopee express long time maybe negative feedback foam consumer used inputfeed shopee express kdp fixed ...,Negative
53,1.0,wow package bandung makassar sent yet keep long njirr really regret using useless expedition first last time using shopee express bgst ...,Negative
74,1.0,long time like package arrived week really worse estimated,Negative
80,1.0,bad shipping took long,Negative
90,1.0,bad experience first time courier doesnt know address late night call impolite language high tone also ordered take package road ...,Negative
91,1.0,bad service long time waiting package ...,Negative
98,1.0,item status arrived delivery package hour stupid ive home late night one knock door stupid management courier ...,Negative
101,1.0,really bad service every time problem c never responds even answered take long time transported department really good shopee express lost item ...,Negative
106,1.0,always slow always disappointing,Negative
107,1.0,package stuck warehouse instead delivered right away strange wait long time regular period take day thats right ...,Negative
121,1.0,bad service item arrived noon update late didnt even tell item deposited office even though item waiting least let know via whatsapp chat ...,Negative
132,1.0,swear delivery service long bad,Negative
149,1.0,want markerplace go marketplace dont bother joining expedition performance chaotic bad slow doesnt match estimate dont greedy ...,Negative
208,1.0,really bad shopee express long time since delivery courier clear point really bad ...,Negative
213,1.0,slow unprofessional,Negative
245,1.0,tired taking long,Negative
261,1.0,delivery progressed day bandung still sorting even though delivery city day item received disappointed twice delivery slow ...,Negative
271,1.0,bad slow delivery,Negative
277,1.0,hello courier package passed day hasnt arrived feel like use another service longest day already working day whats bad workplace ...,Negative
288,1.0,package im still bandung dc there change come im tired using please send package taking long even food getting ...,Negative
291,1.0,took long time arrive tired waiting package arrived uninstalled shopee changed tokped byee ...,Negative
292,1.0,package stop forced use shopee expedition expedition good people waiting dont play long really delivery ...,Negative
327,1.0,long time swear pdhl jktbdg really long time wait really weird ...,Negative
331,1.0,really bad even though bandung bandung delivery took long whats going courier even though item going used stock item north bandung bad hub ...,Negative
343,1.0,take long time seller already poor buy shopee store cant choose delivery service ...,Negative
368,1.0,delivery service disappointing time express took long time arrive last yesterday good delivered hour waiting arriving evening instead returned ...,Negative
383,1.0,slow although complaint already significant follow ...,Negative
401,1.0,worst delivery service slowest courier among others ...,Negative
409,1.0,delivery take long time usually status changed sent location le hour arrived day ganyampe get lost example ...,Negative
418,1.0,woooyy package didnt move may still bandung dc time really bad long time ...,Negative
428,1.0,slow sorry really nyesallll slow,Negative
457,1.0,swear shoppe express lazy worker lazy last estimated item day came there news yet crazy really long using express shop disappointed ...,Negative
462,1.0,estimated date arrived arrived long arrived even though item want use according estimated date disappointed express halu ...,Negative
464,3.0,took long time god package didnt arrive checked receipt courier delivery failed even courier came ...,Negative
492,1.0,package stuck bandung week even though sent package arrived one actually stuck long time ...,Negative
535,1.0,bad trowel irresponsible trustworthy name riandy alfauzi cikalong path please dont work ...,Negative
544,1.0,intention company sending long time dont courage compete dont start company next time change name shopee slow spread casually ...,Negative
560,1.0,amp really strange close long,Negative
577,1.0,recommended delivery bandung bandung taken long time first time use delivery service im disappointed longer ...,Negative
578,1.0,bad service sending package bandung bandung took long time ...,Negative
579,1.0,najisss amy used use shopee express long time really bagong dont want use shopee express anymore ahhh employee dajjals child ...,Negative
584,1.0,sending continues fail sending take long time,Negative
659,1.0,said express slow package already bandung hub even though want sent recipient address fails day impression ...,Negative
665,1.0,broken sale using courier mah long,Negative
694,1.0,bdgbdg crazy took long time go abroad,Negative
699,1.0,long delivery many reason package didnt arrive every time sent sent late night canceled sent know disappointed many time complain ...,Negative
743,1.0,took long time really disappointed package tracked day package still hub wasnt sent duhh gimna ...,Negative
755,1.0,give negative review expedition yes name also monopoly item managed shoppe must come long time patient ...,Negative
757,1.0,ugly beud long ga professional judge review possible give star ill ...,Negative
781,1.0,dont need use shopee express anymore regret using shipping service different expedition ive used long time adding shipment clear can not ...,Negative
785,1.0,service really bad item arrived long,Negative
816,1.0,really disappointed courier took long send ...,Negative
825,1.0,bekasi bandung bekasi today morning bandung day later still stay hub bandung gatau want send estimated day even day arrived complaint ...,Negative
828,1.0,parahhhh jkt bdg day terua always come crazy late courier express ...,Negative
868,1.0,worse delivery took really long time run like surabaya bdg ...,Negative
869,1.0,really bad package doesnt stay day doesnt move please open delivery service set right one package taking long ...,Negative
896,1.0,long regret using shopee express service know using j jne ...,Negative
906,1.0,long time bandung havent sent order number day ...,Negative
949,1.0,swear package slow courier brought address morning evening courier didnt show even though warehouse close home ...,Negative
990,1.0,expedition really crazy expedition bad service really slow true one sop expedition deliver good long time prioritize ...,Negative
997,1.0,delivery shopee slowest others right lose competition ...,Negative
1014,1.0,disappointedaaaaaaa pwolll package slowttttttttttt gatau really need bad oath im lazy ...,Negative
1026,1.0,really annoyed disappointed shopee express sbys delivery really slow admin chatting dont reply dont call given spare order online tight still ...,Negative
1031,1.0,thought po indonesia slowest fact shopee express much much much slower ...,Negative
1064,1.0,courier doesnt want contact customer bondo cook ive waiting package morning late night actually say buyer reschedule even though ask direschedule ...,Negative
1092,1.0,slow send time failed padhal house easy find ...,Negative
1097,1.0,long delivery delivery still within city day failed send address insufficient time ...,Negative
1102,1.0,delivery long please repair disappoint cstmers ...,Negative
1103,1.0,badly slow confirmation sender problem ...,Negative
