,word,count,Sentiment
0,the,20,Neutral
1,is,9,Neutral
2,very,8,Neutral
3,to,7,Neutral
4,a,6,Neutral
5,not,6,Neutral
6,…,6,Neutral
7,it,5,Neutral
8,up,5,Neutral
9,service,4,Neutral
10,as,4,Neutral
11,for,3,Neutral
12,item,3,Neutral
13,be,3,Neutral
14,so,3,Neutral
15,will,3,Neutral
16,use,3,Neutral
17,delivery,3,Neutral
18,call,3,Neutral
19,and,3,Neutral
20,Waiting,2,Neutral
21,delivered,2,Neutral
22,long,2,Neutral
23,of,2,Neutral
24,But,2,Neutral
25,Very,2,Neutral
26,slow.,2,Neutral
27,pay,2,Negative
28,it's,2,Neutral
29,Call,2,Neutral
30,number,2,Positive
31,but,2,Neutral
32,Why,2,Neutral
33,rotten,2,Negative
34,deliver,2,Neutral
35,time.,1,Neutral
36,Need,1,Neutral
37,order,1,Neutral
38,on,1,Neutral
39,day,1,Neutral
40,didn't,1,Neutral
41,catch,1,Neutral
42,"Later,",1,Neutral
43,anymore.,1,Neutral
44,"disappointed,",1,Negative
45,If,1,Neutral
46,destination,1,Neutral
47,"collected,",1,Neutral
48,pick,1,Neutral
49,since,1,Neutral
50,"morning,",1,Neutral
51,still,1,Neutral
52,haven't,1,Neutral
53,arrived.,1,Neutral
54,online,1,Neutral
55,check,1,Neutral
56,riding,1,Neutral
57,motorcycle.,1,Neutral
58,We,1,Neutral
59,are,1,Neutral
60,trying,1,Neutral
61,expensive,1,Neutral
62,shipping,1,Neutral
63,"fee,",1,Neutral
64,Lat,1,Neutral
65,Krabang,1,Neutral
66,"area,",1,Neutral
67,"slow,",1,Neutral
68,can't,1,Neutral
69,compete,1,Neutral
70,with,1,Neutral
71,other,1,Neutral
72,"transport,",1,Neutral
73,management,1,Neutral
74,weak!!!!,1,Negative
75,"Terrible,",1,Negative
76,slow,1,Neutral
77,"delivery,",1,Neutral
78,"available,",1,Neutral
79,closed.,1,Neutral
80,difficult,1,Negative
81,"contact,",1,Neutral
82,1217,1,Neutral
83,Pick,1,Neutral
84,hang,1,Neutral
85,Can't,1,Neutral
86,contact,1,Neutral
87,Delivery,1,Neutral
88,any,1,Neutral
89,leave,1,Negative
90,message,1,Neutral
91,receive,1,Neutral
92,it.,1,Neutral
93,Hang,1,Neutral
94,immediately.,1,Neutral
95,"sucks,",1,Negative
96,Kerry,1,Neutral
97,"Fireworks,",1,Neutral
98,stuff,1,Neutral
99,doesn't,1,Neutral
100,in,1,Neutral
101,system.,1,Neutral
102,It,1,Neutral
103,says,1,Neutral
104,phone,1,Neutral
105,correct.,1,Neutral
106,does,1,Neutral
107,take,1,Neutral
108,deliver?,1,Neutral
109,Summary,1,Neutral
110,items,1,Neutral
111,delivered.,1,Neutral
112,Slow,1,Neutral
113,nation,1,Neutral
114,The,1,Neutral
115,staff,1,Neutral
116,"terrible,",1,Negative
117,transportation,1,Neutral
118,extremely,1,Neutral
119,"bad,",1,Negative
120,more,1,Neutral
121,you,1,Neutral
122,every,1,Neutral
123,"day,",1,Neutral
124,worse,1,Negative
125,according,1,Neutral
126,"center,",1,Neutral
127,wait,1,Neutral
128,Contact,1,Neutral
129,did,1,Neutral
130,late,1,Neutral
131,worst,1,Negative
132,week.,1,Neutral
133,You,1,Neutral
134,high,1,Neutral
135,price,1,Neutral
136,slow!,1,Neutral
