,word,count,Sentiment
0,many,2,Neutral
1,go,2,Neutral
2,Siam,1,Neutral
3,Shipping,1,Neutral
4,are,1,Neutral
5,extremely,1,Neutral
6,slow,1,Neutral
7,to,1,Neutral
8,provide,1,Neutral
9,feedback.,1,Neutral
10,Only,1,Neutral
11,one,1,Neutral
12,telephone,1,Neutral
13,number,1,Positive
14,so,1,Neutral
15,calls,1,Neutral
16,unanswered.,1,Neutral
17,Response,1,Neutral
18,time,1,Neutral
19,is,1,Neutral
20,appalling,1,Negative
21,as,1,Neutral
22,days,1,Neutral
23,by,1,Neutral
24,without,1,Neutral
25,any,1,Neutral
26,reply.,1,Neutral
27,I,1,Neutral
28,will,1,Neutral
29,never,1,Neutral
30,use,1,Neutral
31,them,1,Neutral
32,again.,1,Neutral
