,word,count,Sentiment
0,the,6,Neutral
1,to,4,Neutral
2,very,3,Neutral
3,be,3,Neutral
4,item,3,Neutral
5,…,2,Neutral
6,for,2,Neutral
7,delivered,2,Neutral
8,will,2,Neutral
9,use,2,Neutral
10,Can,1,Neutral
11,you,1,Neutral
12,change,1,Neutral
13,gate,1,Neutral
14,again?,1,Neutral
15,The,1,Neutral
16,door,1,Neutral
17,is,1,Neutral
18,difficult,1,Negative
19,open.,1,Neutral
20,Prolonged,1,Neutral
21,fixed.,1,Neutral
22,Waiting,1,Neutral
23,a,1,Neutral
24,long,1,Neutral
25,time.,1,Neutral
26,Need,1,Neutral
27,order,1,Neutral
28,so,1,Neutral
29,on,1,Neutral
30,day,1,Neutral
31,of,1,Neutral
32,But,1,Neutral
33,it,1,Neutral
34,didn't,1,Neutral
35,catch,1,Neutral
36,up,1,Neutral
37,"Later,",1,Neutral
38,not,1,Neutral
39,service,1,Neutral
40,anymore.,1,Neutral
41,Very,1,Neutral
42,"disappointed,",1,Negative
