,rating,reviews,sentiment
0,1.0," The transport arrived, did not call to tell. throw things away bad …",Negative
1,4.0, Slow delivery. Improve it  ,Positive
2,1.0," Lost things, but no responsibility Be careful, others. The number affixed to the label What do you have for cats? Called and no one picked up. …",Negative
3,1.0," Very bad, according to the parcel for 6 days already. Told to pay, but the recipient has to postpone it to the next day? Call the next day and tell the staff that they need to be quarantined. Working very late, told …",Negative
4,1.0," Ordered items from Shopee, items arrived at the branch, the status was being delivered. If it's being delivered, you have to wait 3 more days to receive the item, but inform you that it's delivering every day The …",Neutral
5,1.0, Lottery  ,Neutral
6,4.0, You can park your car in front of the store.  ,Neutral
7,1.0," Ordering things from a shoppee, what would be like to be classified as wrongly every time, wasted time until the delivery was lured on the 5th day, I do not know what to wait for. …",Negative
8,1.0," Very bad, the number provided was not stuck. Even if stuck, there is no receiver I like the pickle of the main branch. …",Negative
9,1.0," Very bad, the delivery man spoke very badly, his behavior was not good at all. Like going to ask The driver drove a tricycle and delivered to Lerdsin. Could be …",Negative
10,1.0," What is the unsuccessful parcel delivery due to the recipient postponement of the shipment? Crazy? Who did you postpone? Calling, do not call. Security at the building, there is no deposit. Very bad. …",Negative
11,1.0, The company is about to go bankrupt and the staff tell us all things do not deliver. To the warehouse as the nation The call was followed and not delivered. …,Negative
12,1.0," Transport quality is very poor, even the most star should not be washed. How to postpone the delivery of your own, not calling and calling and not picking up The Sathorn branch calls won't be connected. It is the …",Negative
13,1.0," If you call, you can't contact as if you turned off your phone. The transmission went wrong …",Negative
14,1.0," Give 0 stars, but the system is forced to choose 1 star, people send things quickly, but the delivery person does not actually send, no contact, but informs in the system that cannot be contacted Recipient has …",Negative
15,1.0," Waiting for the pick up all day, but go up to update in shopping at 8 o'clock that customers postpone the pick up We hurriedly told the shop that we did not postpone the appointment, why the items did not deliver. In …",Negative
16,1.0," The item should arrive from 28/10/2020, no calls, not delivered at the address. But write down the follow-up that the recipient has postponed the appointment So what is it for three times? If the service is so bad, it …",Negative
17,3.0, Closes a little early and the shop sign is not clear. But Nong is good service Delivery to customers quickly And like the notification system I'd like you to extend the closing hours and make a clear sign. 5 stars …,Positive
18,1.0," Transportation is extremely bad. Can't send in time or get stuck in trouble, no call, tell me a word, I want to postpone it. Without a work ethic Suck up 👎🏻👎🏻👎🏻👎🏻👎🏻 …",Negative
19,1.0," No wonder why the delivery doesn't get late The product that is sent has to tell the front of the box what is inside. That is, if an employee is picking up something, they can watch it. This has been sent …",Neutral
20,2.0," The signs of the shop are not gradually clear, difficult to see, not very good management. Today it comes to deliver goods at 9.30 and the store has not opened yet. …",Positive
21,5.0," Lovely staff, polite speech, resolve problems quickly. We have a delivery issue. Please add Line and send the address. In a few hours, she sent me a new parcel number. ",Positive
22,1.0," The service does not matter, the book to pick up the parcel does not come, no customer contact, and when the call is followed, the answer is persistent. Improve it. …",Positive
23,1.0," Not successful But didn't see anyone coming And then said that we postponed the product receipt Even though the product hasn't been delivered yet, terrible. …",Positive
24,1.0, Delivery is very slow. The item arrived at the destination branch for several days. But refused to deliver Why are you pickle? …,Negative
25,1.0," Unable to reach the number, but there was no one answering. Very slow delivery. The item is not delivered. But the delivery is unsuccessful. Confused. Even though there are people 24 hours a day. …",Negative
26,1.0," Poor Poor everthing worst service Did not come to receive the product, so determined the booking with the shopee like this many times In addition, the phone number that is signed is not true in the world. Call …",Negative
27,1.0," Wrong life. Change. Try to go to the best express service. The service is terrible. Especially the women at the Sathorn branch, people who wear glasses This manners are superb. …",Positive
28,1.0, Why did you pick up the slow pickle?  ,Neutral
29,1.0," Terrible, terrible. Not necessary. Not used. But it can not be changed, calling several times, saying to come to pick up the item, not to book Lazada up for a long time and said that if wanting to receive the product, …",Negative
30,1.0," Called to pick up the product, did not pick up Call to ask for an address but not to pick up …",Neutral
31,1.0," Didn't call the item for a long time, why not pay for the customer to order later until all the delivery, and why do you open 3 to provide such a bad service? I wouldn't be angry. …",Negative
32,1.0, Can't connect at all Appointment doesn't come  ,Neutral
33,1.0," Worst. If not ready to service, should not open the service. …",Negative
34,1.0," The package was delivered very slowly. I do not understand how to manage the system, even after checking the status of the item has arrived at the destination branch for many days already. But haven't received …",Neutral
35,5.0," Use the service for the second time. Service is very good, fast, inexpensive, in case of heavy weight products. Ordered from Sukhothai, 29 April - 1 May. 2 days to reach. Very good. Before sending an SMS notification …",Positive
36,1.0, This is too bad.  ,Negative
37,1.0," Very slow delivery !!!! While typing this, it's still not …",Neutral
38,1.0," The item arrived for several days, still not delivered.  ",Neutral
39,1.0,What a bad service company.  Never can trust their words.   Both Phone and LINE cannot be reached.   Very poor customer service.  They dont know what they are doing.  Never use this company,Negative
40,1.0, Do not pay  ,Negative
41,1.0," What time do you open ?? Take good, storefront 8:00 Google 8:30 8:50 What is the sign for ""Staff to stay""? …",Positive
42,3.0," The goods had arrived a long time but didn't want to reach the destination. Too bad, but in the end, they were confused. …",Negative
43,1.0," Send the parcels from Hua Hin to Bangkok, stay at the Sathorn branch for 6 days and contact whichever way is not very bad. Do not recommend to use the service at all. …",Negative
44,1.0, late  ,Neutral
45,1.0, Ordered at the destination branch Each time since waiting for 7 days still haven't received the item at all Being excluded from anything …,Positive
46,1.0, Delivery is very slow. No one answered. Will be the first and last service …,Neutral
47,1.0," Called and did not answer, will follow the package jerk  ",Negative
48,1.0," Seems not going to survive if the service is still like this. Delivering parcels late, slow delivery, closing for unknown reasons Is to understand that Lek organization has just entered into a new business, but if not …",Positive
49,1.0, Poor one word  ,Negative
50,5.0," Oh, I'll try to answer the question. Please give the staff time to study the details more fluently. Sorry for the late reply, everyone. …",Negative
51,1.0," Slow delivery, customers wait a long time.  ",Neutral
52,1.0, Employees to enter or not to receive the product are not informed. Calls can never be contacted. Called did not answer. and will give you a phone number for........ …,Positive
53,1.0, Worst branch in bass  ,Negative
54,1.0," It is a branch that I want to contact very much. Don't come and send anything or anything. Move to send to another place. Called 10 times no one answering the call Who will use the service, think carefully, your stuff …",Positive
55,1.0," Very bad service, I sent the product in 7 days and it still hasn't arrived. together in Bangkok Very difficult to contact the branch The number given to call is not a single number. The delivery date continues with …",Negative
56,1.0," Sucks, another confirmation.  ",Negative
57,5.0, good  ,Positive
58,1.0, It's been 5 days. Sending items from Sukhothai. It says 2 days. It's full here. On the 5th. Today the items are still here. Called yesterday and said not enough staff Is it still there? …,Neutral
59,1.0, Items arrived at the branch 2 days ago and still not delivered until now. In the system it says that the officers are not enough?...I want to go crazy. The phone went off and there was no one answering. Call the call …,Negative
60,1.0," provided number Is it really usable? Or give it to just complete the number, can't be contacted The product should have been delivered from 29/5 until now, still not received. …",Positive
61,1.0, Very bad call all day no one answer Plus turn off the device The attendant must have a call to say that he or she will come and deliver. But there was none this time. We sat in bed for 3 days without going anywhere. …,Negative
62,1.0, The item bounced back three days ago. I don't know when I'll get it. …,Positive
63,1.0," Service is very bad, very bad, it is a shop in Shopee, specified to be sent to Best Express this branch, 7 days have passed, do not deliver and return the product back to the shop, the customer is very good, happy to …",Positive
64,1.0," Very bad, this branch delivers goods late, no calls to inform customers. Scroll in the system and scroll again. …",Negative
65,1.0, Very bad. Service is very bad.  ,Negative
66,1.0, Can't contact at all Which number do I need to contact?  ,Negative
67,1.0," Very difficult to contact, does not answer the phone, answer the phone very difficult, will go to receive the product, hurriedly bounce back to the warehouse Difficult to contact, can't ask at all. …",Negative
68,1.0, Awful. Waiting for the call but no one called me. That's it. Huay Sud Nawamin branch …,Negative
69,1.0," I will say that it is a very bad branch. If not necessary, do not use this branch. Appointment for pick up from Monday 29/03/64 until 31/03/64 now have not come to receive the item. Called, no one answered the call. …",Negative
70,1.0," That is, if there are no people, this branch will be closed. Worst, the call is not accepted. …",Negative
71,1.0," Master, there is no one to take it. Is it okay? The status of the delivery is being delivered, when in the evening it shows that the delivery is not successful 3 times There was no master to wait all day. I …",Positive
72,1.0," Desperate is the most isolated transport, slow delivery, lost items, have to sit by the goods, have to sit and hope that the goods will arrive or not. That is, if you choose not to use the service, absolutely …",Positive
73,1.0," In the best system express that it has been But the receptionist said that he had not received it Got a contact number Try to contact both the delivery staff number And branch numbers No one took it. Very bad, very …",Positive
74,1.0, The path is not known But didn't call Bringing things back to the warehouse as before. …,Neutral
75,1.0," Delivery is terrible, call at 4: 10 minutes To come to deliver And then we get off work at 4 o'clock, sit and wait for half an hour, there is no sign, then when calling 4-5 calls to answer And when receiving, told …",Negative
76,1.0," The worst, delivered fresh goods in 3 days to get the item. Given the call center to follow the items, they haven't sent yet But showed up to pretend that he had sent it but couldn't contact No one contacted them. And …",Negative
77,1.0," For the first time using Best Because Shopee forced to choose Otherwise, we will not scratch. The result is very bad. Status is traveling from …",Negative
78,1.0," Terrible delivery matter Train some staff. Customers pay for delivery, if not ready, then close. Waste of time and feeling bad The truth should be even negative, should not give a star at all. …",Negative
79,1.0," Terrible thing came to this branch from 2 days ago. Showing that it came out, but failed for 2 days without giving a reason Even though there are always people waiting to receive the goods and not being contacted When …",Negative
80,1.0," Order from the 13 day, the deadline is on the 15th. Until now, he still didn't have any items. I don't know why so long Call to say that I will send as soon as possible. …",Neutral
81,1.0," Terrible, bad service, unable to order, contacted items, shut down Didn't contact me on what day to deliver Up to the status of bringing to pay from morning Until halftime, there is no sign Reading some reviews is …",Negative
82,1.0, Give a call back But didn't answer the call at all  ,Neutral
83,1.0," Alright, alright, alright. Ee chip is lost, work is bad. Of the last 5 days, Mao didn't come Do not pick up anything for 5 days. Called the call center and said Call me back There is no …",Negative
