,rating,Reviews,Sentiment
0,4.0, good  ,Positive
1,4.0, Easy to contact. Strict anti-Covid-19 measures.  ,Positive
2,5.0,"Well organized, friendly staff, very helpful, excellent service.",Positive
3,5.0, To be a global integrated logistics company  ,Neutral
4,3.0,Well after a lot of looking i find out the Bangkok call centre number thats not listed is 1782 .,Positive
5,5.0,"Good service. Remember to bring passport for id if you are foreigner, or as a minimum have a copy on your phone. Worked for me once when I forgot....",Positive
6,1.0,All Telefon Nr. do mit Work. No-one picked up. Also No Response by E Mail.,Neutral
7,5.0,Great Service.,Positive
8,5.0, Good  ,Positive
9,4.0, good service  ,Positive
10,5.0, The rubber is leaking  ,Neutral
11,5.0, Delivery of goods to customers  ,Positive
12,5.0,World class services,Neutral
13,4.0, Live parking  ,Neutral
14,5.0, Good job if getting a job directly  ,Positive
15,1.0, The service has Huai Maew staff.  ,Neutral
16,3.0, Fair  ,Positive
17,4.0, It is very difficult to recommend if you need to use the SMS instead. …,Neutral
18,4.0," Good service, provide information and recommend good services …",Positive
19,2.0, Fair  ,Positive
20,4.0," Good service, great help  ",Positive
21,1.0,Really bad service!!!!!!!!!!!!!!,Negative
22,1.0,really bad Service not correct declaration better use DHL,Negative
23,5.0, International courier companies with branches all over the world …,Neutral
24,4.0, good service  ,Positive
25,5.0,Good staff,Positive
26,5.0,good,Positive
27,5.0,Friendly staffs,Positive
28,5.0, Air delivery  ,Neutral
29,1.0, Can you change the gate again? The door is very difficult to open. Prolonged to be fixed. …,Negative
30,5.0, good  ,Positive
31,4.0, Submit  ,Neutral
32,4.0, The entrance is a bit mysterious.  ,Neutral
33,5.0,"Nice, helpful staff that speaks English well. I was the only person there, which was nice. I came to print documents & mail off an envelope to the USA.",Positive
34,5.0," The service staff is very good. Find all customers. Help, rumor recommends cute. …",Positive
35,5.0,A very good experience at this location. The employees were very friendly and helpful. The employees are a credit to the FedEx business. I recommend them for quick deliveries around the world,Positive
36,5.0,"Super professional! They kept apologizing for all the bureaucratic Bs, but it's not on them. They were very polite, and we felt like they addressed all our questions and concerns really well. Thank you. You're amazing!",Positive
37,5.0, Excellent service staff  ,Positive
38,5.0,Staff very helpful.thank you,Neutral
39,1.0,Sent my father's watch to UK they lost it at Stansted ??????   .   Will delete this when and if the find it.  Lost since 22 Nov 2020 when it disappeared from their system ????,Negative
40,5.0,"It's a FEDX. Easy to find. English spoken. It's, also, US prices.",Positive
41,5.0,All went well and fast,Positive
42,2.0,Expensive,Neutral
43,5.0, Staff are very kind and professional 👍  ,Positive
44,5.0, Is at work  ,Neutral
45,5.0,Great services,Positive
46,5.0,Good,Positive
47,5.0," Convenient, ample parking Friendly staff, polite, clean place. …",Positive
