,rating,reviews,sentiment,Country,Company 
0,1,Staff attitude is awful. Do  yourself a favor and drive to Sukhumvit 71 branch or Kluaynamthai branch. Miles better in service and with way more space to work with.,Positive,TH,Kerry 
1,4,very good service Maybe not many people He also came to help us pack. I haven't found it in other branches. …,Positive,TH,Kerry 
2,4,Friendly staff.,Positive,TH,Kerry 
3,4,"In the Bangchak On Nut 19 gas station, parcel delivery service or products that weigh less than 50 kilograms. There is a box for the product to serve according to the size, starting price 10 baht or you can put the …",Neutral,TH,Kerry 
4,4,Good service,Positive,TH,Kerry 
5,1,Staff without service mind,Neutral,TH,Kerry 
6,4,delivery of goods and packages international work standards Trust in quality and service …,Positive,TH,Kerry 
7,5,good service,Positive,TH,Kerry 
8,4,I take good care,Positive,TH,Kerry 
9,5,There are not many people.,Neutral,TH,Kerry 
10,5,fast,Neutral,TH,Kerry 
11,3,"The service staff is good, but The place is a bit cramped. …",Positive,TH,Kerry 
12,5,fast service,Neutral,TH,Kerry 
13,5,"Very tight, afraid of being a cluster of clutter, ok, should sterilize the place after use …",Positive,TH,Kerry 
14,5,good service,Positive,TH,Kerry 
15,1,Master does not accept,Positive,TH,Kerry 
16,5,The female staff is small but very strong. Help lift a large parcel box for good service. …,Positive,TH,Kerry 
17,5,The service staff is very good.,Positive,TH,Kerry 
18,5,good service,Positive,TH,Kerry 
19,5,"Good job, fast",Positive,TH,Kerry 
20,3,My sister in Korat sent mangoes to Sent on Friday 14 May '64 until Tuesday 18 May '64. Haven't received any mangoes yet. Fear the rotten mango first. Therefore went to …,Negative,TH,Kerry 
21,5,Good service staff,Positive,TH,Kerry 
22,5,"The staff are good, serving and giving very good advice. There is a parking lot in the pump. …",Positive,TH,Kerry 
23,3,"Service efficiency needs to be improved Change is not ready, missing 5S …",Positive,TH,Kerry 
24,5,Very help full in packing and completing forms for international package via dhl.,Positive,TH,Kerry 
25,2,"Service is not very good, staff do not care, speak not well. Fling face This is compared to another kerry branch in On Nut. If it is updated then will add more stars. …",Positive,TH,Kerry 
26,5,Service is very good.,Positive,TH,Kerry 
27,5,"Convenient, with parking",Neutral,TH,Kerry 
