,rating,reviews,sentiment
0,5.0, Can send everything  ,Neutral
1,3.0, reach the destination quickly  ,Neutral
2,5.0," Well, the service staff is very good. Please continue to be good like this. …",Positive
3,5.0, Good  ,Positive
4,5.0, The staff members are willing to serve. everyone is smiling give advice every step of the way great service …,Positive
5,4.0, Good location  ,Positive
6,5.0,Best!,Positive
7,5.0,Best,Positive
8,5.0, Can enter in 2 ways  ,Neutral
9,4.0, The shop is spacious. There is a modest car park. Employees sometimes need a lot of service. Maybe a little slow But there are many service drop boxes Suitable for people who drop a lot. …,Negative
10,4.0," The location is large, the service is good, fast, there is a box with a box to put the parcel, the price is affordable and the shipping cost is not expensive too. …",Positive
11,5.0," Good service, good manners  ",Positive
12,5.0, great service  ,Positive
13,5.0, good service  ,Positive
14,1.0," Parking problems a lot, the staff is not polite.  ",Negative
15,5.0," The service is very good, I like it.  ",Positive
16,5.0, Very good service will  ,Positive
17,5.0," Good service, fast  ",Positive
18,5.0," Big center, good service, good informative staff  ",Positive
19,5.0," Good service, the children take care of the customers and speak sweet. …",Positive
20,5.0, Good service staff  ,Positive
21,4.0," Shop big, convenient, complete  ",Neutral
22,5.0, good  ,Positive
23,5.0," Good service staff, lovely everyone.  ",Positive
24,4.0," Good service, further development  ",Positive
25,5.0, The receptionist is very good.  ,Positive
26,5.0, Can send everything  ,Neutral
27,3.0, reach the destination quickly  ,Neutral
28,5.0," Well, the service staff is very good. Please continue to be good like this. …",Positive
29,5.0, Good  ,Positive
30,5.0, The staff members are willing to serve. everyone is smiling give advice every step of the way great service …,Positive
31,4.0, Good location  ,Positive
32,5.0,Best!,Positive
33,5.0,Best,Positive
34,5.0, Can enter in 2 ways  ,Neutral
35,4.0, The shop is spacious. There is a modest car park. Employees sometimes need a lot of service. Maybe a little slow But there are many service drop boxes Suitable for people who drop a lot. …,Negative
36,4.0," The location is large, the service is good, fast, there is a box with a box to put the parcel, the price is affordable and the shipping cost is not expensive too. …",Positive
37,5.0," Good service, good manners  ",Positive
38,5.0, great service  ,Positive
39,5.0, good service  ,Positive
40,1.0," Parking problems a lot, the staff is not polite.  ",Negative
41,5.0," The service is very good, I like it.  ",Positive
42,5.0, Very good service will  ,Positive
43,5.0," Good service, fast  ",Positive
44,5.0," Big center, good service, good informative staff  ",Positive
45,5.0," Good service, the children take care of the customers and speak sweet. …",Positive
46,5.0, Good service staff  ,Positive
47,4.0," Shop big, convenient, complete  ",Neutral
48,5.0, good  ,Positive
49,5.0," Good service staff, lovely everyone.  ",Positive
50,4.0," Good service, further development  ",Positive
51,5.0, The receptionist is very good.  ,Positive
