,rating,Reviews,Sentiment
0,5.0, Thank you very much  ,Positive
1,1.0,Always wrong delivery!!!  How do you even train your staff? How could you even deliver wrong address every time????? Please train your worker!!!!!!!!,Negative
2,1.0, The delivery man is very bad. It's the worst transport.  ,Negative
3,1.0, Please call the recipient and send it to the recipient's hand. …,Positive
4,5.0," I don't know what other people's are, but mine, 1 day, received items. Very fast delivery. …",Neutral
5,1.0, Where do  ,Neutral
6,1.0," At first the app said it was shipping. Call the center to ask and tell them it's in the warehouse. After a while, I called to say that I will send it to you today 2/2/65 A few minutes passed. say send failed Allow …",Negative
7,1.0, It's been in Rattanathibet for a long time. will claim to open the new year But others can send it. Can you add staff? will be able to do more efficiently …,Positive
8,1.0, Delivered more than 2 days ago and still haven't received it. …,Neutral
9,1.0,"I don’t like this ninja Van company delivery staff…. The staff should have common sense that the item is heavy or not… if the item is heavy, they need to put on the floor. Not inside the small basket… my small basket is already crooked, …",Positive
10,1.0,Worst company I have dealt with.  delay in delivery.  Difficulty communicating with support,Negative
11,1.0, .2 This item is from another seller...just the wrong postcode...but only delivered to..Ninja..I just bounced back..... …,Negative
12,1.0, send past the specified date  ,Neutral
13,1.0," Very slow. From Bangkok, it takes almost 4 days to deliver. If it's fish, it's marinated until it's salty. …",Neutral
14,1.0," The worst, the worst, the delivery does not reach the customer's hand. Thomas came only for 4 seconds. and leave it to someone else Then Master tells us one more time. claiming that we can't contact us and hurry back …",Negative
15,1.0, Rattaphum Branch  ,Neutral
16,1.0," The service is very bad, the staff sign their own but do not receive the item. …",Negative
17,1.0," Rama 4 branch, why do you keep stuff? Why didn't you send it and tell me the wrong address, some wrong phone number? The status check is up but I can't contact the recipient. What is it? I'm waiting for items. Hurry …",Negative
18,2.0, Order online from the shop and deliver with this company. I encountered the problem of failing to send all 4 rounds. It's very bad. Very slow. I don't understand how to fail. …,Negative
19,1.0," Very bad, hit things back, didn't say a word.  ",Negative
20,1.0," Waiting for the parcel for a long time, the staff said the car was broken, so they didn't come to deliver the items on the scheduled day and wait for the next day delivery like this? Is there only one sender? …",Negative
21,1.0, Paid but didn't get the product and the staff came in to pick up the items in the house and left. …,Neutral
22,1.0," It's a very poor management company. The delivery worker is very tired and tired. Only a few baht per piece. If you have a holiday, you can't stop. You get broken. No reason. Telling the reason is like sending it to a …",Negative
