,rating,reviews,sentiment
0,5.0, The head office comes to contact for a very good service. …,Positive
1,5.0," The Thai Post Co., Ltd. is excellent.  ",Positive
2,5.0," state enterprise network coverage Serving the people, building the country, enhancing the state …",Neutral
3,1.0," The number 1545 called and no operator answered the call. No matter how many years, it's the same, never adjusted, giving Dao-0. …",Negative
4,5.0, It's very quiet today.  ,Neutral
5,5.0," Submit registration documents At Minburi P.O. To Kasikorn Securities Kasikorn Bank Building, Phahonyothin Road Since May 7, 64 …",Negative
6,5.0," Why is the work so bad? It is unlikely that the customer is often blamed. Called many times, said that it started working at 8.00 but started to check 8.30. The system said that it can be contacted at 8.00 onwards, …",Negative
7,1.0, Updating transportation service information is important. Must focus on practice to be current …,Positive
8,5.0," Service is friendly, convenient, fast, cheap, can track status throughout the office. …",Positive
9,5.0," I would like to recommend Using a domestic delivery box See south korea Domestic delivery He will be able to use any box. Old box, new box Will shoe box Old box Any defense That can be wrapped in a package that can be …",Positive
10,5.0, workplace  ,Neutral
11,5.0, One of my pride in working with this organization  ,Positive
12,5.0," Express delivery, fast delivery, trust Thailand Post  ",Positive
13,1.0," Very bad, EMS status up. During transportation for 3 days a day, do not move, call to the branch that pay all day, can not continue thinking, do not answer the call, busy ",Negative
14,1.0," Actually, I don't want it to be washed by the stars. Is being a star? It's difficult to get in touch. Meaning to talk to the staff, not blind, sorry for the bad service Not thinking of improving …",Negative
15,4.0," Morning and evening, when going in and out of government work, don't pass. The traffic is very tight. …",Neutral
16,1.0," This is enough ... There is a problem, difficult to contact. Cannot even be contacted ... desperately bad, Thailand Post ไปรษณีย์ …",Negative
17,5.0,Excellence service.,Positive
18,1.0, Transported around in a loop as if it were not working  ,Neutral
19,1.0, Sparrow has not been delivered in 7 days. Good but your mouth doesn't send it. Better to use kerry or flash …,Positive
20,1.0," These days the shipping is very bad. Delivery from Bangkok Ladprao to Bangkok Bangkapi From the 3rd day, now the 9th day of still next to the EMS, trying to contact, …",Negative
21,1.0, Two days waiting for the item. The item is still at the same place. …,Neutral
22,1.0," Improve the service a little Very bad, very bad, very bad. There are phone numbers, but not calls. Then what should you write? What documents are not issued, must call to ask themselves. Pathum Post several times …",Negative
23,4.0," Does the Thai Post have a project to help pay for the costs of delivering goods from a community enterprise? Name of Ban Khlong Sip Sam Herbal Community Enterprise, Khao Sam Sam Subdistrict, Khao Chakan District, Sa …",Positive
24,1.0, The goods arrive soon. But without any notification calls While also leaving things with people we don't know anymore And don't send sms to customers at all If you are not convenient to call or have to hurry to …,Positive
25,1.0," I'm sorry, you guys take sleeping pills and come to work? Call in hours, no answer And there are a lot of advertisements while waiting in line Here you guys do the freight transportation business. Or selling …",Negative
26,5.0, Solid foundation  ,Positive
27,5.0, The most reliable in transportation  ,Neutral
28,5.0, The service is very good and is a business for Thai people. …,Positive
29,1.0," I am very poor in Hua Lo, Chonburi. The staff will collect documents sent once a month on the 26th day, causing many different rights from companies such as cars, cards, etc. …",Negative
30,5.0,👌👌👌,Neutral
31,5.0, Good delivery  ,Positive
32,5.0," Convenient location for parking, delivery of goods Good service staff …",Positive
33,5.0, Is a good looking workplace Have the best communication system in the country …,Positive
34,5.0," Polite service, ensure safety  ",Positive
35,5.0,😘,Neutral
36,5.0, Because the delivery is the heart of the business  ,Positive
37,5.0, There is a very good security.  ,Positive
38,5.0, Postal services that address Thai society  ,Neutral
39,5.0," Head Office, Thai Post Company Limited Laksi Post Office Center Acting as a mail forwarder EMS post office serves to send EMS postage to work 24 hours …",Negative
40,5.0, Deposit products at affordable prices The head of the pick-up department is very good. Tech Care and customer care are very good. …,Positive
41,5.0," Good service, attentive staff  ",Positive
42,5.0, Second home  ,Neutral
43,5.0, As a career  ,Neutral
44,5.0, good service  ,Positive
45,5.0, Good service  ,Positive
46,5.0, Send parcel  ,Neutral
47,5.0," Spacious, shady, nice weather  ",Positive
48,5.0, tight  ,Neutral
49,5.0, good service  ,Positive
50,5.0, There are some wandering cars because the location is very wide. But there is a convenient parking space …,Neutral
51,5.0, good service  ,Positive
52,3.0, run  ,Neutral
53,5.0, I provide a service to drive mail and parcels to Thailand Post. …,Neutral
54,5.0," Network throughout Thailand, linking all over the world, with fast delivery of standardized services …",Neutral
55,4.0, headquarters  ,Neutral
56,5.0, the best  ,Positive
57,5.0, The head office has many ways. From Chaengwattana Road  ,Neutral
58,5.0," Thailand Post Co., Ltd. is the largest post and parcel center in Thailand and the first in Thailand to do this kind of activity. Mailing activities until 2018 for a total of 136 years. The post office is a postal and …",Positive
59,5.0," Outstanding safety, excellent.  ",Positive
60,1.0," On Sunday, EMS came from Laksi ",Neutral
61,5.0, Thailand Post Office There is a red box located at the entrance. …,Neutral
62,3.0," Poor service, difficult to fight with the private sector. …",Negative
63,3.0, Transportation service  ,Neutral
64,5.0, fast  ,Neutral
65,4.0, Dee Ngam Rama 10  ,Neutral
66,5.0, Like most  ,Positive
67,5.0, Flowers at the foot of the footpath But beautiful heart Especially purple Can't wait to take a picture. …,Positive
68,3.0, Far  ,Neutral
69,5.0, At work  ,Neutral
70,1.0, Calls never received  ,Neutral
71,5.0,Very good,Positive
72,3.0, Thai Post Office  ,Neutral
73,5.0," Spacious place, easy to travel, if you are a little deep Not on the main road …",Positive
74,4.0, Spacious place But at the parking lot  ,Neutral
75,5.0," Good service, fast, fast  ",Positive
76,5.0, Beautiful girl  ,Positive
77,4.0,Good,Positive
78,5.0," The place is clean, beautiful, the garden is very beautiful. …",Positive
79,4.0, User friendly  ,Positive
80,5.0, Come every day to work for Thai people  ,Neutral
81,5.0,"Fast and Secure service, all staff works enthusiatically",Positive
82,5.0, Used to work here  ,Neutral
83,5.0, Thai for Thai  ,Neutral
84,3.0," Difficult to contact, the location sign is not clear, but can ask the security guard. …",Positive
85,5.0, Carpet  ,Neutral
86,1.0, Visit  ,Neutral
87,5.0, Is the breadbasket of the family  ,Neutral
88,1.0," Tell the Samsen Post Office Improve the service a little. Very desperate. Desperate. Slowly. Quick, straight, Kenmin knows. …",Positive
89,5.0, very good service  ,Positive
90,5.0, Excellent  ,Positive
91,5.0, work  ,Neutral
92,1.0," The staff in the front of the post office in Laksi, the service is terrible, speaks badly when every delivery is like begging to send, so cannot speak. …",Negative
93,1.0," Laksi Post Office You guys chopped masters. Let's throw it away. Master went, no one answered the call. What are you doing? Ordering EMS, you are late. I haven't got any items yet. So busy doing things each other, …",Neutral
94,5.0, Very spacious  ,Neutral
95,5.0, A lot of space  ,Neutral
96,4.0, Friendly .. convenient .. safe  ,Positive
97,5.0, There is a lot of understanding here.  ,Neutral
98,1.0, very slow  ,Neutral
99,4.0, Good service  ,Positive
100,1.0," Poor service, delayed delivery throughout When asked, there was no delivery staff. One week. Delivery 2 times. Documents sometimes need to use express. The problem of lack of responsibility Poor summary …",Negative
101,5.0, Good service with international standards  ,Positive
102,4.0, Postal and logistics services  ,Neutral
103,5.0,so good,Positive
104,4.0, Part-time also provides a good service  ,Positive
105,5.0," Beautiful location, beautiful staff, good service Traveling conveniently Highway A4 …",Positive
106,1.0, Cock head Thai post. Free delivery. I do not have to pay for the shipping cost from abroad. 3000 ฿ You work very well. …,Positive
107,5.0, Is an excellent agency in providing services The place is organized. …,Positive
108,1.0," May i ask My friend sent items from Thailand to America. So now is set to weeks Normally, the given time is to receive 10-14 days. When calling to notify the tracking number with the staff, it can only be checked at …",Positive
109,5.0, A little wide  ,Neutral
110,1.0," Work very badly, send motorcycles from other provinces But documented with lost car keys Like this, who is responsible The shipping cost is not cheap. …",Negative
111,5.0," Beautiful place, shady trees Great service  ",Positive
112,4.0," All other services are all good except ""pay at office"". Very slow. Very slow. …",Positive
113,1.0," What is the call to hundreds of calls, not receiving calls, there are numbers for * Calling during business hours is very annoying. …",Negative
114,1.0," Sent it wrong, the house was unable to find the cock  ",Negative
115,1.0," Phasicharoen District has a lot of work. I wasted money to send ems. Expensive, but very waste. My 2 days have not arrived yet. Said that he had prepared to pay since 09.00 when he went to watch again at 17.04 minutes …",Negative
116,1.0," Awesome. It seems like it was missed because the sender pushed the Thai Post to deliver on the date 17-4-2017 until the date 21-4-2017 is still in the same place. Summary of shipping, specify the delivery 5-7 days. …",Positive
117,1.0," Very bad, picking things from April 7 until now, the date of April 21, still in the same place. …",Negative
118,1.0," Very bad work Send EMS to pay Not sent from abroad Work to develop some. Waiting to pay since April 11 This 19 April, haven't received any EMS packages yet. …",Negative
119,5.0, Lovely personnel .... The executives have a good vision.  ,Positive
120,1.0," Pak Kret post office should improve. EMS, not normal delivery The shipping cost is expensive. But the delivery is very slow What is the phone number to do? Call to call. Never busy. Call the EMS officer. Directly, not …",Positive
121,1.0, funnel  ,Neutral
122,1.0," Take the item to the destination, Si, buffalo, soak for damn. What a long wait. I have to pay for delivery. Not free delivery. …",Positive
123,1.0," Waiting for a very long time. Receive the system. Day 3, Monday. Closing the bag. Still not received Package status remains the same. Sor. Por. Laksi closed the bag and threw it for 5 days. Call to check if it was …",Neutral
124,1.0, Saw on the website that the house was closed ,Neutral
125,1.0," Very long time. Status since yesterday Sunday still understands But this is Monday until 2pm, and hasn't arrived yet What is the delivery status? What is preserved for doing little work or what? EMS is express Do you …",Neutral
126,1.0, Tuesday 14 March 2017 15:32:36 hrs. Sisaket is accepted into the system. Thursday 16 March 2017 …,Positive
127,5.0, Add a car to provide transportation services for mailing items. …,Neutral
128,1.0," Delivery is very slow. Prepaid status from 6 o'clock in the morning until half of each o'clock I haven't sent it yet. If being a vice city not over 9 o'clock, then Improve the delivery service too …",Positive
129,3.0,job order,Neutral
130,5.0," Head Office, Thai Post Company Limited, near Government Center Chaengwattana Laksi Call Center 1545 Under the building, there is a post office. In the corner near the cafeteria …",Negative
131,4.0, headquarters  ,Neutral
132,1.0," Check the material number of the product that has been set up since Wednesday. At this time, Thursday is not a laundry item. Waiting for a long time …",Positive
133,1.0," Still not of In spite of checking the parcel number, Laksi postal address since 5 am yesterday This is the size of the EMS. …",Negative
134,5.0, Very clean. The place is very functional.  ,Positive
135,3.0, good  ,Positive
136,5.0, Send happiness throughout Thailand Send far all over the world …,Positive
137,4.0," EMS parcel delivery The post office has improved. Today, there is a call to send the staff to call. I think this is a very good thing that you do. The owner of Phasdee doesn't have to waste time. I gave 4 stars. …",Positive
138,1.0,600++ baht in taxis to get here. Why can't you deliver to the door like you are paid to?,Negative
139,5.0," Send Ems Fast, Don't Throw !!!!  ",Neutral
140,4.0, Postal headquarters  ,Neutral
141,1.0," Send the registration letter from Sunday 6/11/2016, registration number RL2823 12100 TH, until the recipient has not received it yet. Do not know why ",Positive
142,3.0, Oppa operator with the call does not master the ten round anyway. According to rat me of …,Neutral
143,4.0,Head office.,Neutral
144,4.0," Thai Post Company Limited - Postage for our Thai people who change the pattern to ""Limited company"" for flexibility in management Faster service …",Negative
145,1.0, Call never get employees to go anywhere. Call 100 calls …,Neutral
146,5.0, Parcel delivery  ,Neutral
147,1.0," The service is very bad. Call to cut off the line. When the call is not counted Mother used to send the goods before noon at Pathum Come to send Diamond Tomorrow can be, but why did 1 day 59 send before pouring from …",Negative
148,1.0," Damn. Delayed descent, no delivery Leisurely The goods have not been stopped. …",Negative
149,3.0," Disturb the postage Part of Tha Nam O Sub-district Phayuha Khiri District Nakhon Sawan Province 2 months ago, letters and documents, invoices, receipts have never been received, which is impossible. Call to ask at …",Negative
150,1.0," Order of 7/7/16 Wait until 12/7/16 not yet available. Go to check, tell the house, close 7/7/16 ",Neutral
